candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,selection_objective
natural_full_finetune_w32_c1.0_step0,marked_fp32_fallback,natural_full_finetune,32,1.0,0,120.0,1.0,120.0,120.0,0.0,0.003911114429683948,True,0.0,0.0,0.003911114429683948,0.08379290832090192,,0.01229040526177414
natural_full_finetune_w32_c1.0_step50,natural_full_finetune,natural_full_finetune,32,1.0,50,38.283119201660156,0.9854487180709839,33.25137710571289,33.241485595703125,0.0,0.003868949178922776,True,3.9504737651441245e-05,0.0001823631539082271,0.003868949178922776,0.0730366445495747,,0.011172613633880247
natural_full_finetune_w32_c1.0_step100,natural_full_finetune,natural_full_finetune,32,1.0,100,37.31940460205078,0.9819995760917664,32.67433547973633,32.637550354003906,0.0,0.0037738912055829132,True,4.8302852428605546e-05,0.00022154583311930764,0.0037738912055829132,0.07104755588807166,,0.01087864679439008
natural_full_finetune_w32_c1.0_step150,natural_full_finetune,natural_full_finetune,32,1.0,150,36.693538665771484,0.9773157238960266,31.86417007446289,31.531543731689453,0.0,0.003724064377365721,True,4.891546377621126e-05,0.00025914491343428383,0.003724064377365721,0.07029359342413954,,0.010753423719779675
natural_full_finetune_w32_c1.0_step200,natural_full_finetune,natural_full_finetune,32,1.0,200,36.074790954589844,0.9736531972885132,31.439355850219727,31.256296157836914,0.0,0.0037037772203802888,True,4.287043029762572e-05,0.0002918001395300962,0.0037037772203802888,0.06884560466278344,,0.010588337686658632
natural_full_finetune_w32_c1.0_step250,natural_full_finetune,natural_full_finetune,32,1.0,250,35.49329376220703,0.9686433672904968,30.644182205200195,30.632678985595703,0.0,0.0037084428113303147,True,4.90828805595811e-05,0.0003364522686752025,0.0037084428113303147,0.06796080581261776,,0.010504523392592093
natural_full_finetune_w32_c1.0_step300,natural_full_finetune,natural_full_finetune,32,1.0,300,35.354248046875,0.9676872491836548,30.603912353515625,30.43205451965332,0.0,0.003647045861271181,True,5.305314580255072e-05,0.0003486608096864074,0.003647045861271181,0.06758038650150411,,0.010405084511421591
natural_full_finetune_w32_c1.0_step350,natural_full_finetune,natural_full_finetune,32,1.0,350,35.230613708496094,0.9668614268302917,30.402385711669922,30.32904815673828,0.0,0.0036654812583947205,True,6.034968773747096e-05,0.0003584868180041667,0.0036654812583947205,0.06689351805835031,,0.01035483306422975
natural_full_finetune_w32_c1.0_step400,natural_full_finetune,natural_full_finetune,32,1.0,400,35.09053421020508,0.9653431177139282,30.4886531829834,30.21177101135254,0.0,0.0036428916018849122,True,5.5098635766626106e-05,0.0003684511095343623,0.0036428916018849122,0.06663864231086336,,0.010306755832971248
natural_full_finetune_w32_c1.0_step450,natural_full_finetune,natural_full_finetune,32,1.0,450,35.034950256347656,0.9648788571357727,30.358285903930664,30.09964942932129,0.0,0.0036426313154152012,True,5.7432091944065176e-05,0.00037420491426018996,0.0036426313154152012,0.06628206741879694,,0.010270838057294895
