step,applied,reason,block,spectral_loss,adversarial_loss,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,grad_norm,learning_rate
1,True,,conv_in,0.0,0.0,,,3.4534878068370745e-05,0.0,0.0,3.4534878068370745e-05,0.0,0.0,8.573956620239187e-07,0.01
2,True,,conv_in,0.0,0.0,,,5.032216722611338e-05,0.0,0.0,5.032216722611338e-05,0.0,0.0,9.916976750901085e-07,0.01
3,True,,conv_in,0.0,0.0,,,3.188209666404873e-05,0.0,0.0,3.188209666404873e-05,0.0,0.0,9.204221669278922e-07,0.01
4,True,,conv_in,0.0,0.0,,,6.774291978217661e-05,0.0,0.0,6.774291978217661e-05,0.0,0.0,2.7487444640428293e-06,0.01
5,True,,conv_in,0.0,0.0,,,5.660733950207941e-05,0.0,0.0,5.660733950207941e-05,0.0,0.0,1.4485430028798874e-06,0.01
6,True,,conv_in,0.0,0.0,,,4.89101730636321e-05,0.0,0.0,4.89101730636321e-05,0.0,0.0,1.2373806157484069e-06,0.01
7,True,,conv_in,0.0,0.0,,,2.9231123335193843e-05,0.0,0.0,2.9231123335193843e-05,0.0,0.0,7.295499244719394e-07,0.01
8,True,,conv_in,0.0,0.0,,,4.567662108456716e-05,0.0,0.0,4.567662108456716e-05,0.0,0.0,1.0400644896435551e-06,0.01
9,True,,conv_in,0.0,0.0,,,3.844297680188902e-05,0.0,0.0,3.844297680188902e-05,0.0,0.0,1.6418814539065352e-06,0.01
10,True,,conv_in,0.0,0.0,,,4.8755708121461794e-05,0.0,0.0,4.8755708121461794e-05,0.0,0.0,1.5566787396892323e-06,0.01
11,True,,conv_in,0.0,0.0,,,2.7561285605770536e-05,0.0,0.0,2.7561285605770536e-05,0.0,0.0,7.100151151462342e-07,0.01
12,True,,conv_in,0.0,0.0,,,5.511481867870316e-05,0.0,0.0,5.511481867870316e-05,0.0,0.0,2.179767989218817e-06,0.01
13,True,,conv_in,0.0,0.0,,,4.27534687332809e-05,0.0,0.0,4.27534687332809e-05,0.0,0.0,1.7504009974800283e-06,0.01
14,True,,conv_in,0.0,0.0,,,2.7852818675455637e-05,0.0,0.0,2.7852818675455637e-05,0.0,0.0,6.443386268983886e-07,0.01
15,True,,conv_in,0.0,0.0,,,3.684050534502603e-05,0.0,0.0,3.684050534502603e-05,0.0,0.0,8.081382816271798e-07,0.01
16,True,,up_blocks.0,0.0,0.0,,,0.0030119859147816896,0.0,0.0,0.0030119859147816896,0.0,0.0,3.3256619644816965e-05,0.01
17,True,,up_blocks.0,0.0,0.0,,,0.0026576807722449303,0.0,0.0,0.0026576807722449303,0.0,0.0,2.9012569939368404e-05,0.01
18,True,,up_blocks.0,0.0,0.0,,,0.0033123663160949945,0.0,0.0,0.0033123663160949945,0.0,0.0,4.1227398469345644e-05,0.01
19,True,,up_blocks.0,0.0,0.0,,,0.0025627678260207176,0.0,0.0,0.0025627678260207176,0.0,0.0,5.121990034240298e-05,0.01
20,True,,up_blocks.0,0.0,0.0,,,0.0024651293642818928,0.0,0.0,0.0024651293642818928,0.0,0.0,3.407493932172656e-05,0.01
21,True,,up_blocks.0,0.0,0.0,,,0.002549209864810109,0.0,0.0,0.002549209864810109,0.0,0.0,3.9765767724020407e-05,0.01
22,True,,up_blocks.0,0.0,0.0,,,0.0023290757089853287,0.0,0.0,0.0023290757089853287,0.0,0.0,3.685889168991707e-05,0.01
23,True,,up_blocks.0,0.0,0.0,,,0.0023857909254729748,0.0,0.0,0.0023857909254729748,0.0,0.0,4.030367563245818e-05,0.01
24,True,,up_blocks.0,0.0,0.0,,,0.0024803848937153816,0.0,0.0,0.0024803848937153816,0.0,0.0,5.2289127779658884e-05,0.01
25,True,,up_blocks.0,0.0,0.0,,,0.002406755229458213,0.0,0.0,0.002406755229458213,0.0,0.0,3.195604949723929e-05,0.01
26,True,,up_blocks.0,0.0,0.0,,,0.00250054057687521,0.0,0.0,0.00250054057687521,0.0,0.0,2.8281960112508386e-05,0.01
27,True,,up_blocks.0,0.0,0.0,,,0.0020048385486006737,0.0,0.0,0.0020048385486006737,0.0,0.0,2.8964655939489603e-05,0.01
