candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,selection_objective
natural_full_finetune_w32_c1.0_step0,marked_fp32_fallback,natural_full_finetune,32,1.0,0,120.0,1.0,120.0,120.0,0.0,0.004692412019358017,True,0.0,0.0,0.004692412019358017,0.08533385768532753,,,0.013225797787890771
natural_full_finetune_w32_c1.0_step10,natural_full_finetune,natural_full_finetune,32,1.0,10,51.6534309387207,0.9994437098503113,49.20911407470703,49.11289596557617,0.0,0.004667981312377378,True,2.672248092494556e-06,7.335425937071704e-06,0.004667981312377378,0.08272516597062349,,,0.012940497909439727
natural_full_finetune_w32_c1.0_step20,natural_full_finetune,natural_full_finetune,32,1.0,20,43.92908477783203,0.9966994524002075,41.83699035644531,41.50506591796875,0.0,0.004637894046027213,True,1.5610537661814306e-05,4.316518179621198e-05,0.004637894046027213,0.0795173317193985,,,0.012589627217967064
natural_full_finetune_w32_c1.0_step30,natural_full_finetune,natural_full_finetune,32,1.0,30,41.177520751953125,0.9939541816711426,38.43983459472656,38.33879852294922,0.0,0.004608650197042152,True,2.68535407485615e-05,8.38343659779639e-05,0.004608650197042152,0.07773977648466826,,,0.012382627845508979
natural_full_finetune_w32_c1.0_step40,natural_full_finetune,natural_full_finetune,32,1.0,40,39.943016052246094,0.9917541742324829,36.69990921020508,36.622100830078125,0.0,0.004602673597401008,True,3.2855514700713687e-05,0.00011422846946516075,0.004602673597401008,0.07669629994779825,,,0.012272303592180834
natural_full_finetune_w32_c1.0_step50,natural_full_finetune,natural_full_finetune,32,1.0,50,39.926361083984375,0.9920085072517395,36.72349166870117,36.641239166259766,0.0,0.004575411265250295,True,3.49677070062171e-05,0.00011447953347669682,0.004575411265250295,0.07605057395994663,,,0.012180468661244958
natural_full_finetune_w32_c1.0_step60,natural_full_finetune,natural_full_finetune,32,1.0,60,39.76586151123047,0.9915332794189453,36.49332809448242,36.41227340698242,0.0,0.004573077376699075,True,3.75009760773537e-05,0.00011887563068739837,0.004573077376699075,0.0756340328603983,,,0.012136480662738905
natural_full_finetune_w32_c1.0_step70,natural_full_finetune,natural_full_finetune,32,1.0,70,39.73759841918945,0.991205096244812,36.394039154052734,36.36740493774414,0.0,0.0045703563111601396,True,3.700632805703208e-05,0.0001200338730996009,0.0045703563111601396,0.07538467049598693,,,0.012108823360758834
natural_full_finetune_w32_c1.0_step80,natural_full_finetune,natural_full_finetune,32,1.0,80,39.61380386352539,0.9907879829406738,36.20322036743164,36.19500732421875,0.0,0.004571473761461675,True,3.739017306543246e-05,0.00012393475353746907,0.004571473761461675,0.075205984339118,,,0.012092072195373477
natural_full_finetune_w32_c1.0_step90,natural_full_finetune,natural_full_finetune,32,1.0,90,39.5972785949707,0.990654468536377,36.17455291748047,36.15513229370117,0.0,0.004568900162121281,True,3.680667732623988e-05,0.00012447985081962543,0.004568900162121281,0.07511457838118077,,,0.012080358000239358
natural_full_finetune_w32_c1.0_step100,natural_full_finetune,natural_full_finetune,32,1.0,100,39.597129821777344,0.9905930757522583,36.14508056640625,36.121028900146484,0.0,0.004567602433962747,True,3.608794168030727e-05,0.00012468115473893704,0.004567602433962747,0.07504095770418644,,,0.012071698204381393
