step,applied,reason,block,spectral_loss,adversarial_loss,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,grad_norm,learning_rate
1,True,,,0.0,0.0,,,0.000613343552686274,0.02967427484691143,3.8182650996532175e-07,0.00358153460547328,0.0,0.0,4.163437188253738e-05,0.0001
2,True,,,0.0,0.0,,,0.0036031948402523994,0.08902187645435333,2.0625434160592704e-07,0.012505794875323772,0.0,2.381640162862908e-10,4.4270749640418217e-05,0.0002
3,True,,,0.0,0.0,,,0.0024804009590297937,0.05233472213149071,6.760888936696574e-06,0.007727394811809063,0.0,1.645907188319029e-09,4.080690996488556e-05,0.00030000000000000003
4,True,,,0.0,0.0,,,0.0020024750847369432,0.11847557127475739,2.1043710773938074e-07,0.013850453309714794,0.0,5.577058814765223e-09,0.0001771910028764978,0.0004
5,True,,,0.0,0.0,,,0.002468275371938944,0.0760616660118103,6.13135034654988e-06,0.010086704976856709,0.0,1.5465724700902683e-08,4.6937133447499946e-05,0.0005
6,True,,,0.0,0.0,,,0.005462175235152245,0.06829595565795898,3.569079467524716e-07,0.012292483821511269,0.0,3.769442358247943e-08,4.359095692052506e-05,0.0006000000000000001
7,True,,,0.0,0.0,,,0.0028490270487964153,0.08671853691339493,6.185371717037924e-07,0.01152211893349886,0.0,7.287767544994495e-08,4.5340235374169424e-05,0.0007
8,True,,,0.0,0.0,,,0.0034688476007431746,0.05687399581074715,1.4468936342382221e-06,0.009159142151474953,0.0,1.221747112367666e-07,5.203048203838989e-05,0.0008
9,True,,,0.0,0.0,,,0.0003225316177122295,0.051454830914735794,1.7373660909925093e-07,0.005468363873660564,0.0,1.871427457444952e-07,7.750058284727857e-05,0.0009000000000000001
10,True,,,0.0,0.0,,,0.0016100670909509063,0.04713728278875351,6.718454642395955e-06,0.006337235681712627,0.0,2.724329135617154e-07,3.436447150306776e-05,0.001
11,True,,,0.0,0.0,,,0.0006981332553550601,0.03807242587208748,2.2243552848522086e-06,0.004509828519076109,0.0,3.7793532214891457e-07,5.1876217185053974e-05,0.001
12,True,,,0.0,0.0,,,0.0015284300316125154,0.06228330358862877,2.8364860327201313e-07,0.007757332641631365,0.0,4.939117275171157e-07,7.201451808214188e-05,0.0009997196780178901
13,True,,,0.0,0.0,,,0.0033511079382151365,0.061331868171691895,7.637257795067853e-07,0.009485828690230846,0.0,6.174366831146472e-07,5.3125604608794674e-05,0.0009988790613178436
14,True,,,0.0,0.0,,,0.001029851264320314,0.07177070528268814,2.942834385066817e-07,0.008207517676055431,0.0,7.494350597880839e-07,5.783949018223211e-05,0.000997479197203592
15,True,,,0.0,0.0,,,0.0011500807013362646,0.08991922438144684,9.004754133457027e-07,0.01014381367713213,0.0,8.951808467827505e-07,8.163657912518829e-05,0.0009955218297315045
16,True,,,0.0,0.0,,,0.0029178669210523367,0.07413427531719208,1.5762821021780837e-06,0.010334457270801067,0.0,1.0529005294301896e-06,5.8446410548640415e-05,0.0009930093975377126
17,True,,,0.0,0.0,,,0.005165944341570139,0.1114492118358612,3.140833655379538e-07,0.016311505809426308,0.0,1.2158918707427802e-06,5.244658677838743e-05,0.0009899450307998714
18,True,,,0.0,0.0,,,0.0018494883552193642,0.0769023597240448,8.297793101519346e-07,0.009541397914290428,0.0,1.3839213579558418e-06,5.822904495289549e-05,0.0009863325473373496
19,True,,,0.0,0.0,,,0.0009277622448280454,0.06771236658096313,7.950342478579842e-06,0.0077149150893092155,0.0,1.5671690789531567e-06,7.204958092188463e-05,0.0009821764478547008
20,True,,,0.0,0.0,,,0.0017363140359520912,0.0578659288585186,4.19894092829054e-07,0.0075237643904984,0.0,1.7652604356044321e-06,4.8516958486288786e-05,0.0009774819103343458
21,True,,,0.0,0.0,,,0.00131862738635391,0.05935784429311752,1.4357931377162458e-06,0.007257303223013878,0.0,1.970878429347067e-06,4.192435153527185e-05,0.0009722547835854532
22,True,,,0.0,0.0,,,0.003329224418848753,0.06644396483898163,6.120229727457627e-07,0.009974866174161434,0.0,2.172720996895805e-06,4.563022594084032e-05,0.0009665015799570495
23,True,,,0.0,0.0,,,0.004853821825236082,0.13365769386291504,5.630840314552188e-05,0.018332233652472496,0.0,2.379156512688496e-06,0.00012163521751062945,0.0009602294672244439
24,True,,,0.0,0.0,,,0.0011090313782915473,0.06021638587117195,2.6232005438941997e-06,0.007135943043977022,0.0,2.61060927186918e-06,8.200469164876267e-05,0.0009534462596590728
25,True,,,0.0,0.0,,,0.00557065149769187,0.07453479617834091,5.842335326633474e-07,0.013025328516960144,0.0,2.8566832952492405e-06,3.7851579691050574e-05,0.0009461604082928911
26,True,,,0.0,0.0,,,0.004380982369184494,0.1285942792892456,1.1213476227567298e-06,0.017242684960365295,0.0,3.1036461223266087e-06,0.00011314564471831545,0.0009383809903894379
27,True,,,0.0,0.0,,,0.003709756303578615,0.0427999421954155,3.1347616413768264e-07,0.00799041148275137,0.0,3.3636601983744185e-06,4.5905278966529295e-05,0.0009301176981346969
28,True,,,0.0,0.0,,,0.008529584854841232,0.10352976620197296,1.0866441698453855e-05,0.01890433020889759,0.0,3.6233921036910033e-06,5.679391324520111e-05,0.00092138082656184
29,True,,,0.0,0.0,,,0.00279107759706676,0.06448449194431305,5.140680059412261e-07,0.009240593761205673,0.0,3.8905759538465645e-06,5.1501006964826956e-05,0.0009121812607248966
30,True,,,0.0,0.0,,,0.006296110339462757,0.124855637550354,3.037119142845768e-07,0.018782321363687515,0.0,4.1595694710849784e-06,0.00011343347432557493,0.0009025304621373337
31,True,,,0.0,0.0,,,0.0034328007604926825,0.11721596866846085,5.332561840987182e-07,0.015155509114265442,0.0,4.459529918676708e-06,9.57445299718529e-05,0.0008924404544924355
32,True,,,0.0,0.0,,,0.0021229104604572058,0.06030386686325073,1.0178237062064e-06,0.008155380375683308,0.0,4.79501613881439e-06,4.520452057477087e-05,0.00088192380868328
33,True,,,0.0,0.0,,,0.0013134933542460203,0.05885433405637741,5.603171189250133e-07,0.007200099062174559,0.0,5.131000307301292e-06,4.208910104352981e-05,0.0008709936271409712
