candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,selection_objective,code_change_fraction_vs_rtn,code_offset_rms,code_offset_ge_one_fraction
natural_residual_qat_w8_c1.0_step0,rtn_fallback,natural_residual_qat,8,1.0,0,57.088462829589844,0.9997348785400391,53.132598876953125,52.35213851928711,0.0,0.0046882540482329205,True,3.0203195748867985e-07,2.307051457250964e-06,0.0046882540482329205,0.08544022031128407,0.031969076651148495,,0.04520135273050982,0.0,0.0,0.0
natural_residual_qat_w8_c1.0_step10,natural_residual_qat,natural_residual_qat,8,1.0,10,56.2216796875,0.999697208404541,52.2122688293457,51.67249298095703,0.0,0.004671165207400918,True,3.612102666750161e-07,2.800077106712706e-06,0.004671165207400918,0.08536143656820058,0.031769175385124984,,0.04497648424934596,0.0006904819165356457,0.0009383811207798367,0.0
natural_residual_qat_w8_c1.0_step20,natural_residual_qat,natural_residual_qat,8,1.0,20,53.771240234375,0.9995459318161011,49.83505630493164,49.460445404052734,0.0,0.004644180674222298,True,5.30171975299254e-07,4.901627391973307e-06,0.004644180674222298,0.08512219898402691,0.03148805407108739,,0.044644454643712375,0.0015821470879018307,0.002197715511227123,0.0
natural_residual_qat_w8_c1.0_step30,natural_residual_qat,natural_residual_qat,8,1.0,30,50.915985107421875,0.999207615852356,46.964298248291016,46.69502639770508,0.0,0.004618457323522307,True,8.979756913163329e-07,9.551097718940582e-06,0.004618457323522307,0.08495374992489815,0.031184082187246533,,0.04429791450325866,0.002505519660189748,0.0035193766214708447,0.0
natural_residual_qat_w8_c1.0_step40,natural_residual_qat,natural_residual_qat,8,1.0,40,48.91916275024414,0.9987770915031433,44.872005462646484,44.67872619628906,0.0,0.004598910079221241,True,1.303276673070286e-06,1.525308739473985e-05,0.004598910079221241,0.08488757461309433,0.03095712441718206,,0.04404479195771273,0.0033504124730825424,0.004718191469351116,0.0
natural_residual_qat_w8_c1.0_step50,natural_residual_qat,natural_residual_qat,8,1.0,50,47.788902282714844,0.9984390139579773,43.689117431640625,43.53797912597656,0.0,0.004586306642158889,True,1.73543015478117e-06,1.9820028614958574e-05,0.004586306642158889,0.08486640062183141,0.03081963788717985,,0.043892584591521885,0.003984982147812843,0.005599470141725216,0.0
natural_residual_qat_w8_c1.0_step60,natural_residual_qat,natural_residual_qat,8,1.0,60,47.1836051940918,0.9982123374938965,43.04045867919922,42.94033432006836,0.0,0.004575694189406931,True,2.0143167262176576e-06,2.285552995999751e-05,0.004575694189406931,0.08484052419662476,0.030727366893552245,,0.043787113502621655,0.004416225012391806,0.006199878319291426,0.0
natural_residual_qat_w8_c1.0_step70,natural_residual_qat,natural_residual_qat,8,1.0,70,46.87264633178711,0.9980660676956177,42.6920166015625,42.60490798950195,0.0,0.004569259865093045,True,2.113446851126355e-06,2.4606950364614023e-05,0.004569259865093045,0.08480876181274652,0.030669407243840395,,0.04371954329020809,0.004676535725593567,0.006561194186434869,0.0
natural_residual_qat_w8_c1.0_step80,natural_residual_qat,natural_residual_qat,8,1.0,80,46.7049560546875,0.997977077960968,42.51614761352539,42.42619323730469,0.0,0.004566353833070025,True,2.2021371449909567e-06,2.5601745619496796e-05,0.004566353833070025,0.08475429657846689,0.03063829243183136,,0.04368007592274807,0.004843908827751875,0.006795654860479881,0.0
natural_residual_qat_w8_c1.0_step90,natural_residual_qat,natural_residual_qat,8,1.0,90,46.597198486328125,0.997918426990509,42.390594482421875,42.30690002441406,0.0,0.004563940022489987,True,2.2511278217507426e-06,2.6272214154232642e-05,0.004563940022489987,0.0847555860877037,0.030615699547342955,,0.04365519817860331,0.004952740855515003,0.006947540893200767,0.0
natural_residual_qat_w8_c1.0_step100,natural_residual_qat,natural_residual_qat,8,1.0,100,46.5140380859375,0.9978729486465454,42.29063034057617,42.22037887573242,0.0,0.004562452720711008,True,2.306242839722472e-06,2.6791466461872913e-05,0.004562452720711008,0.0847534691914916,0.03060119893634692,,0.04363899857620709,0.005023637320846319,0.007046227317349545,0.0
