candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,selection_objective
natural_residual_w4_c1.0_step0,rtn_fallback,natural_residual,4,1.0,0,33.350032806396484,0.9434765577316284,29.57146453857422,28.76714515686035,0.0,0.004856384446611628,True,8.513591728842584e-05,0.0005414434664999135,0.004856384446611628,0.0960454884916544,0.032745962764602156,,0.04720689606037923
natural_residual_w4_c1.0_step10,natural_residual,natural_residual,4,1.0,10,33.179405212402344,0.9393280744552612,29.40349578857422,28.429141998291016,0.10000000149011612,0.004403046728111803,True,5.6561418205092195e-05,0.0005630441824905575,0.004403046728111803,0.09689971059560776,0.029631017183419317,,0.043724034971091896
natural_residual_w4_c1.0_step20,natural_residual,natural_residual,4,1.0,20,32.825767517089844,0.9372254610061646,28.733978271484375,28.14783477783203,0.10000000149011612,0.004332828952465206,True,0.00010314638502677554,0.000619889328663703,0.004332828952465206,0.09113519564270973,0.029236719361506402,,0.04268306787824258
natural_residual_w4_c1.0_step30,natural_residual,natural_residual,4,1.0,30,32.40574264526367,0.9283832311630249,29.04153060913086,27.82295036315918,0.25,0.004373072003363632,True,7.150528326747008e-05,0.0006615120924834628,0.004373072003363632,0.09363621901720762,0.02874216972850263,,0.04247886363358702
natural_residual_w4_c1.0_step40,natural_residual,natural_residual,4,1.0,40,32.945255279541016,0.9346426129341125,29.224666595458984,28.035911560058594,0.15000000596046448,0.0042934417346259576,True,6.1959098547959e-05,0.0005947248922893777,0.0042934417346259576,0.08531303964555263,0.028322796325664968,,0.04114754202484619
natural_residual_w4_c1.0_step50,natural_residual,natural_residual,4,1.0,50,33.11810302734375,0.9343039393424988,29.288928985595703,28.11063575744629,0.10000000149011612,0.004293240705737844,True,4.419599699758692e-05,0.0005722016998333856,0.004293240705737844,0.08372840695083142,0.02840490188682452,,0.04107098328764551
natural_residual_w4_c1.0_step60,natural_residual,natural_residual,4,1.0,60,32.12572479248047,0.9305713772773743,27.64566993713379,27.487829208374023,0.20000000298023224,0.004332700374652632,True,0.00018383263231953607,0.0007288521446753293,0.004332700374652632,0.08410542663186789,0.02805951094487682,,0.04080275398271624
natural_residual_w4_c1.0_step70,natural_residual,natural_residual,4,1.0,70,32.215782165527344,0.9267867207527161,27.737470626831055,27.44000244140625,0.25,0.004292422387516126,True,0.00011506415976327843,0.000705735340307001,0.004292422387516126,0.08572582229971885,0.02813398657599464,,0.04099899119348265
natural_residual_w4_c1.0_step80,natural_residual,natural_residual,4,1.0,80,32.60470199584961,0.9295790791511536,28.299917221069336,27.523786544799805,0.25,0.0043077218200778585,True,7.951506486278959e-05,0.00065307116456097,0.0043077218200778585,0.08144651949405671,0.028065428405534477,,0.040517802175018006
natural_residual_w4_c1.0_step90,natural_residual,natural_residual,4,1.0,90,32.509361267089844,0.9295862913131714,28.16364097595215,27.481420516967773,0.25,0.004379603621782735,True,0.00010459425120643573,0.0006714009767165407,0.004379603621782735,0.08629256784915924,0.02796863061375916,,0.04097749102045782
natural_residual_w4_c1.0_step100,natural_residual,natural_residual,4,1.0,100,32.537864685058594,0.9285367727279663,28.189050674438477,27.627197265625,0.25,0.004305236542131751,True,7.197773975349264e-05,0.0006586360395886004,0.004305236542131751,0.08265736773610115,0.0282001085113734,,0.040771081827115266
