step,applied,reason,block,spectral_loss,adversarial_loss,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,grad_norm,learning_rate
1,True,,,0.0,0.0,,,0.0006133446004241705,0.029674451798200607,3.1430770377482986e-06,0.006343016400933266,0.0027559404261410236,0.0,8.623252142569982e-06,0.01
2,True,,,0.0,0.0,,,0.0036010267212986946,0.08901629596948624,1.6198880530282622e-06,0.04106878489255905,0.028562888503074646,0.0,2.2176149286678992e-05,0.01
3,True,,,0.0,0.0,,,0.002474189503118396,0.052298180758953094,1.3450794540403876e-05,0.02223135717213154,0.014500447548925877,0.0,1.991349199670367e-05,0.01
4,True,,,0.0,0.0,,,0.0020016529597342014,0.11901313066482544,3.221639644834795e-06,0.017310313880443573,0.0034009041264653206,0.0,3.189052949892357e-05,0.01
5,True,,,0.0,0.0,,,0.002454563742503524,0.07598748058080673,3.201874642400071e-05,0.02871795743703842,0.01860060915350914,0.0,1.7237354768440127e-05,0.01
6,True,,,0.0,0.0,,,0.005436138715595007,0.06842809170484543,3.2109337553265505e-06,0.038265410810709,0.025980040431022644,0.0,1.889636041596532e-05,0.01
7,True,,,0.0,0.0,,,0.002827756805345416,0.08699674159288406,1.5668412743252702e-05,0.03048686310648918,0.01892809383571148,0.0,1.505639374954626e-05,0.01
8,True,,,0.0,0.0,,,0.0034449517261236906,0.05690956488251686,1.042969961417839e-05,0.033582787960767746,0.024426018819212914,0.0,2.3144100850913674e-05,0.01
9,True,,,0.0,0.0,,,0.00032072217436507344,0.05125834792852402,1.0922309456873336e-06,0.007648902013897896,0.002200160175561905,0.0,1.4323895811685361e-05,0.01
10,True,,,0.0,0.0,,,0.0015898131532594562,0.0471794568002224,2.46206545853056e-05,0.01744057983160019,0.011083578690886497,0.0,1.0083290362672415e-05,0.01
11,True,,,0.0,0.0,,,0.0006893930258229375,0.037855762988328934,7.835168617020827e-06,0.007525505963712931,0.0030348659493029118,0.0,1.1251218893448822e-05,0.01
12,True,,,0.0,0.0,,,0.0015045496402308345,0.062086641788482666,6.26838573225541e-06,0.01851120963692665,0.010785459540784359,0.0,1.8748711227090098e-05,0.01
13,True,,,0.0,0.0,,,0.0033017946407198906,0.06203233078122139,1.2726414752251003e-05,0.03667645901441574,0.027145979925990105,0.0,1.8169266695622355e-05,0.01
14,True,,,0.0,0.0,,,0.0010224515572190285,0.07156719267368317,1.550276238049264e-06,0.01268891990184784,0.004506648518145084,0.0,1.1746323252737056e-05,0.01
15,True,,,0.0,0.0,,,0.0011335676535964012,0.0901719257235527,7.339675448747585e-06,0.0176085252314806,0.007443085312843323,0.0,1.5818108295206912e-05,0.01
16,True,,,0.0,0.0,,,0.0029073935002088547,0.07532040774822235,1.9657478333101608e-05,0.039654262363910675,0.029175512492656708,0.0,2.0169747585896403e-05,0.01
17,True,,,0.0,0.0,,,0.005099781788885593,0.1123909056186676,1.0065553396998439e-05,0.05238313227891922,0.036024127155542374,0.0,1.7965767256100662e-05,0.01
18,True,,,0.0,0.0,,,0.0018121026223525405,0.07735704630613327,1.016618716676021e-05,0.02284110337495804,0.013272963464260101,0.0,1.4772799659112934e-05,0.01
19,True,,,0.0,0.0,,,0.0009156157611869276,0.06776662170886993,2.120632052537985e-05,0.012026989832520485,0.004292299039661884,0.0,1.2801180673704948e-05,0.01
20,True,,,0.0,0.0,,,0.0016958228079602122,0.057520460337400436,2.1746986931248102e-06,0.017514431849122047,0.010062213987112045,0.0,1.3880313417757861e-05,0.01
21,True,,,0.0,0.0,,,0.0012787324376404285,0.058879636228084564,1.1438057299528737e-05,0.014766767621040344,0.007577194832265377,0.0,1.127713403548114e-05,0.01
22,True,,,0.0,0.0,,,0.0032487947028130293,0.06696631014347076,1.256171799468575e-05,0.028916222974658012,0.01894567348062992,0.0,1.7138818293460645e-05,0.01
23,True,,,0.0,0.0,,,0.004731141030788422,0.13519315421581268,0.00018036624533124268,0.03983572870492935,0.02122453600168228,0.0,2.9140966944396496e-05,0.01
24,True,,,0.0,0.0,,,0.0010716789402067661,0.05946284532546997,2.0113766368012875e-05,0.014415600337088108,0.007357409223914146,0.0,1.873063411039766e-05,0.01
25,True,,,0.0,0.0,,,0.005476461257785559,0.0759560763835907,5.783600499853492e-06,0.045583393424749374,0.032499756664037704,0.0,1.5994533896446228e-05,0.01
26,True,,,0.0,0.0,,,0.004263038747012615,0.12664861977100372,5.0088769967260305e-06,0.04249059036374092,0.025552671402692795,0.0,2.8120130082243122e-05,0.01
27,True,,,0.0,0.0,,,0.0035611004568636417,0.042829785495996475,1.1350572094670497e-05,0.028453264385461807,0.02058648318052292,0.0,2.3353584765573032e-05,0.01
28,True,,,0.0,0.0,,,0.008360392414033413,0.10515182465314865,2.6178844564128667e-05,0.06389371305704117,0.04496578127145767,0.0,2.4243907319032587e-05,0.01
29,True,,,0.0,0.0,,,0.0027139256708323956,0.06564121693372726,2.2009617168805562e-05,0.027709081768989563,0.018387015908956528,0.0,1.6372763639083132e-05,0.01
30,True,,,0.0,0.0,,,0.0061509013175964355,0.12437595427036285,4.5549704736913554e-06,0.04741738736629486,0.028819778934121132,0.0,2.4560507881687954e-05,0.01
31,True,,,0.0,0.0,,,0.0033482161816209555,0.11773906648159027,3.4221134228573646e-06,0.029567042365670204,0.014438075013458729,0.0,1.9713428628165275e-05,0.01
32,True,,,0.0,0.0,,,0.0020751082338392735,0.06148326024413109,1.8304357581655495e-05,0.02173922210931778,0.013479177840054035,0.0,1.1296952834527474e-05,0.01
33,True,,,0.0,0.0,,,0.0012522062752395868,0.05850890278816223,1.2749927009281237e-05,0.014452574774622917,0.007323977537453175,0.0,1.0120703336724546e-05,0.01
34,True,,,0.0,0.0,,,0.0009020193247124553,0.06704192608594894,1.341527695331024e-05,0.011819431558251381,0.004186389036476612,0.0,1.251179855898954e-05,0.01
35,True,,,0.0,0.0,,,0.0035030506551265717,0.042720384895801544,1.4665318303741515e-05,0.027948841452598572,0.020144421607255936,0.0,2.0709758246084675e-05,0.01
36,True,,,0.0,0.0,,,0.0027411235496401787,0.08732350170612335,1.2076503480784595e-05,0.029584575444459915,0.018086949363350868,0.0,1.140759741247166e-05,0.01
37,True,,,0.0,0.0,,,0.0016539995558559895,0.05662421137094498,6.467541243182495e-05,0.01708628423511982,0.009640512987971306,0.0,1.1418328540457878e-05,0.01
38,True,,,0.0,0.0,,,0.003219765145331621,0.06262814253568649,2.1748703147750348e-05,0.0360088013112545,0.026482725515961647,0.0,1.7632602975936607e-05,0.01
39,True,,,0.0,0.0,,,0.0054339757189154625,0.07623308151960373,7.406891381833702e-05,0.045301876962184906,0.03209645301103592,0.0,1.6606340068392456e-05,0.01
40,True,,,0.0,0.0,,,0.0005807332927361131,0.028138630092144012,3.823727820417844e-05,0.006042669527232647,0.002571598393842578,0.0,8.042858098633587e-06,0.01
41,True,,,0.0,0.0,,,0.004623298533260822,0.1337607353925705,3.830878540611593e-06,0.03836856782436371,0.020361535251140594,0.0,2.2591873857891187e-05,0.01
42,True,,,0.0,0.0,,,0.0033226157538592815,0.1155720204114914,4.402825652505271e-05,0.029157288372516632,0.014189415611326694,0.0,1.7983877114602365e-05,0.01
43,True,,,0.0,0.0,,,0.005274863447993994,0.0685918852686882,2.581026819825638e-05,0.03687655180692673,0.02469087764620781,0.0,1.3285747627378441e-05,0.01
44,True,,,0.0,0.0,,,0.0006577784661203623,0.03644778952002525,3.0019640689715743e-05,0.007199406158179045,0.002836809493601322,0.0,9.653882443672046e-06,0.01
45,True,,,0.0,0.0,,,0.008271098136901855,0.10467155277729034,5.023575795348734e-05,0.06281132996082306,0.04397260770201683,0.0,1.9792290913756005e-05,0.01
46,True,,,0.0,0.0,,,0.0019780248403549194,0.11289242655038834,7.760723747196607e-06,0.016580864787101746,0.0032980749383568764,0.0,3.0910290661267936e-05,0.01
47,True,,,0.0,0.0,,,0.0014349836856126785,0.06007663160562515,2.5634633857407607e-05,0.01766171120107174,0.010167794302105904,0.0,1.2054897524649277e-05,0.01
48,True,,,0.0,0.0,,,0.002325352979823947,0.07470688968896866,8.469116437481716e-05,0.02736351639032364,0.01739809289574623,0.0,1.1806472684838809e-05,0.01
49,True,,,0.0,0.0,,,0.0023188632912933826,0.05157366767525673,4.372536932351068e-05,0.020693281665444374,0.013129601255059242,0.0,1.1505248039611615e-05,0.01
50,True,,,0.0,0.0,,,0.0026628291234374046,0.06579220294952393,3.510961323627271e-05,0.027291636914014816,0.017979368567466736,0.0,1.517931650596438e-05,0.01
51,True,,,0.0,0.0,,,0.0017533793579787016,0.07640974223613739,3.088431913056411e-05,0.022162852808833122,0.012706730514764786,0.0,1.3010813745495398e-05,0.01
52,True,,,0.0,0.0,,,0.00346374767832458,0.09015044569969177,6.512985692097573e-06,0.03939143195748329,0.026899613440036774,0.0,1.5090783563209698e-05,0.01
53,True,,,0.0,0.0,,,0.006070413626730442,0.12009622156620026,2.879552630474791e-05,0.04626981168985367,0.028132185339927673,0.0,2.0305624275351875e-05,0.01
54,True,,,0.0,0.0,,,0.002869871910661459,0.07645171880722046,4.404591891216114e-05,0.03953796997666359,0.028934834524989128,0.0,2.3552405764348805e-05,0.01
55,True,,,0.0,0.0,,,0.0010258026886731386,0.05709928274154663,0.00018658398767001927,0.014051899313926697,0.006943000480532646,0.0,1.6501833670190535e-05,0.01
56,True,,,0.0,0.0,,,0.000994066009297967,0.06995055079460144,4.4187778257764876e-05,0.012309910729527473,0.0042324126698076725,0.0,1.0181998732150532e-05,0.01
57,True,,,0.0,0.0,,,0.004180598072707653,0.12156618386507034,1.5753830666653812e-05,0.04088670387864113,0.024517979472875595,0.0,1.9895114746759646e-05,0.01
58,True,,,0.0,0.0,,,0.002037386642768979,0.06153075397014618,1.2271510058781132e-05,0.021394390612840652,0.013179386034607887,0.0,1.0949818715744186e-05,0.01
59,True,,,0.0,0.0,,,0.004983213730156422,0.11407917737960815,3.11952899210155e-05,0.05133547633886337,0.03488195315003395,0.0,1.5113351764739491e-05,0.01
60,True,,,0.0,0.0,,,0.00029908990836702287,0.04897930473089218,4.820571484742686e-05,0.007383455988019705,0.0020900238305330276,0.0,1.4713858945469838e-05,0.01
61,True,,,0.0,0.0,,,0.0031442041508853436,0.06683195382356644,5.1648978114826605e-05,0.027835633605718613,0.017904937267303467,0.0,1.2694503311649896e-05,0.01
62,True,,,0.0,0.0,,,0.0015140934847295284,0.04691380634903908,1.0072503755509388e-05,0.01666824333369732,0.010442623868584633,0.0,7.951036423037294e-06,0.01
63,True,,,0.0,0.0,,,0.003292545210570097,0.05632041022181511,6.886713890708052e-06,0.031679023057222366,0.022740662097930908,0.0,1.4896510947437491e-05,0.01
64,True,,,0.0,0.0,,,0.0010912640718743205,0.08764565736055374,4.12759036407806e-05,0.017057975754141808,0.0071195936761796474,0.0,1.4014067346579395e-05,0.01
65,True,,,0.0,0.0,,,0.0006421926664188504,0.03569599241018295,2.3387812689179555e-05,0.0070456238463521,0.002787056379020214,0.0,8.880409950506873e-06,0.01
66,True,,,0.0,0.0,,,0.0005657148431055248,0.027702128514647484,2.6596977477311157e-05,0.005895853973925114,0.002506732475012541,0.0,7.872209607739933e-06,0.01
67,True,,,0.0,0.0,,,0.00029675711994059384,0.0483059361577034,1.711209915811196e-05,0.0072477515786886215,0.0020861763041466475,0.0,1.4130069757811725e-05,0.01
68,True,,,0.0,0.0,,,0.008201738819479942,0.10421190410852432,2.3819131456548348e-05,0.061991386115550995,0.04332081601023674,0.0,1.8752367395791225e-05,0.01
69,True,,,0.0,0.0,,,0.0014057018561288714,0.05922532454133034,9.25262866076082e-05,0.017559152096509933,0.010045865550637245,0.0,1.1056565199396573e-05,0.01
70,True,,,0.0,0.0,,,0.0010134613839909434,0.05582895129919052,3.736113285413012e-05,0.013534074649214745,0.006862995680421591,0.0,1.3057606338406913e-05,0.01
71,True,,,0.0,0.0,,,0.0009841220453381538,0.0693032443523407,0.00012037902342854068,0.012359918095171452,0.004204713739454746,0.0,1.1933995665458497e-05,0.01
72,True,,,0.0,0.0,,,0.0028423378244042397,0.07600544393062592,6.296454375842586e-05,0.03922963887453079,0.02866082638502121,0.0,2.2545036699739285e-05,0.01
73,True,,,0.0,0.0,,,0.006030259653925896,0.11801043152809143,7.176620783866383e-06,0.0456630177795887,0.027817361056804657,0.0,1.867591345217079e-05,0.01
74,True,,,0.0,0.0,,,0.0022953578736633062,0.07396138459444046,5.9703805163735524e-05,0.02697114832699299,0.017160244286060333,0.0,1.1090703992522322e-05,0.01
75,True,,,0.0,0.0,,,0.0026208660565316677,0.06537578999996185,3.320177711430006e-05,0.026916377246379852,0.01769152842462063,0.0,1.4637554158980493e-05,0.01
76,True,,,0.0,0.0,,,0.00453547528013587,0.13245852291584015,4.5814889745088294e-05,0.03766921907663345,0.019796259701251984,0.0,1.9252192942076363e-05,0.01
77,True,,,0.0,0.0,,,0.0017261204775422812,0.07481992244720459,7.145602285163477e-05,0.021861758083105087,0.012510733678936958,0.0,1.2103778317396063e-05,0.01
78,True,,,0.0,0.0,,,0.0031552016735076904,0.06212317943572998,1.2499089280026965e-05,0.035353656858205795,0.02596113830804825,0.0,1.71352548932191e-05,0.01
79,True,,,0.0,0.0,,,0.004159843549132347,0.11982086300849915,3.521917460602708e-05,0.04046402871608734,0.024251664057374,0.0,1.748858267092146e-05,0.01
