step,applied,reason,block,spectral_loss,adversarial_loss,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,grad_norm,learning_rate
1,True,,,0.0,0.0,,,0.0006133446004241705,0.029674451798200607,3.305106247353251e-06,0.0035874000750482082,0.0,0.0,0.0083125876262784,0.01
2,True,,,0.0,0.0,,,0.0035831029526889324,0.08917603641748428,5.946266810497036e-06,0.012512600049376488,0.0,0.0,0.004171893000602722,0.01
3,True,,,0.0,0.0,,,0.0024602673947811127,0.0524941086769104,1.8203963918494992e-05,0.007746085990220308,0.0,0.0,0.003497003111988306,0.01
4,True,,,0.0,0.0,,,0.001989938784390688,0.11899151653051376,8.085341505648103e-06,0.013905261643230915,0.0,0.0,0.018314335495233536,0.01
5,True,,,0.0,0.0,,,0.002443003235384822,0.07556146383285522,5.019646414439194e-05,0.010099542327225208,0.0,0.0,0.0039125410839915276,0.01
6,True,,,0.0,0.0,,,0.005415678955614567,0.06898099184036255,1.3126931662554853e-05,0.012340031564235687,0.0,0.0,0.003936982247978449,0.01
7,True,,,0.0,0.0,,,0.002822267822921276,0.08741195499897003,3.5281827877042815e-05,0.011634026654064655,0.0,0.0,0.0046478817239403725,0.01
8,True,,,0.0,0.0,,,0.003453061683103442,0.05665969476103783,2.2613448891206644e-05,0.009164257906377316,0.0,0.0,0.006857993081212044,0.01
9,True,,,0.0,0.0,,,0.0003165763337165117,0.05098278075456619,4.520240963756805e-06,0.0054238950833678246,0.0,0.0,0.013333546929061413,0.01
10,True,,,0.0,0.0,,,0.0015952493995428085,0.0467531643807888,3.3638669265201315e-05,0.006337843369692564,0.0,0.0,0.004157012794166803,0.01
11,True,,,0.0,0.0,,,0.00068195367930457,0.036968380212783813,1.5236697436193936e-05,0.004409265238791704,0.0,0.0,0.004462715703994036,0.01
12,True,,,0.0,0.0,,,0.0015005606692284346,0.061898380517959595,1.713260280666873e-05,0.00772466417402029,0.0,0.0,0.007512987591326237,0.01
13,True,,,0.0,0.0,,,0.003316457848995924,0.06132218614220619,2.3807191610103473e-05,0.009496291168034077,0.0,0.0,0.005614350084215403,0.01
14,True,,,0.0,0.0,,,0.0010178600205108523,0.07139834016561508,1.0800675227073953e-05,0.008179294876754284,0.0,0.0,0.0070162503980100155,0.01
15,True,,,0.0,0.0,,,0.0011395394103601575,0.08796434104442596,1.7665488485363312e-05,0.00997130386531353,0.0,0.0,0.007031487766653299,0.01
