candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,selection_objective
natural_rounding_w4_c1.0_step0,rtn_fallback,natural_rounding,4,1.0,0,33.350032806396484,0.9434765577316284,29.57146453857422,28.76714515686035,0.0,0.004856384446611628,True,8.513591728842584e-05,0.0005414434664999135,0.004856384446611628,0.0960454884916544,,,0.014460933295777068
natural_rounding_w4_c1.0_step10,natural_rounding,natural_rounding,4,1.0,10,33.5313835144043,0.9442064166069031,29.588680267333984,28.96247100830078,0.0,0.004600758329615928,True,5.8158469892077845e-05,0.0005157497274922207,0.004600758329615928,0.0904582878574729,,,0.013646587115363219
natural_rounding_w4_c1.0_step20,natural_rounding,natural_rounding,4,1.0,20,33.55672836303711,0.945574164390564,29.45878791809082,28.9372615814209,0.0,0.0046026662486838175,True,7.566223830508534e-05,0.0005202385953452903,0.0046026662486838175,0.08700921554118395,,,0.013303587802802212
natural_rounding_w4_c1.0_step30,natural_rounding,natural_rounding,4,1.0,30,32.88576126098633,0.9396070241928101,29.118799209594727,28.43887710571289,0.0,0.004678749741287902,True,0.00010056259943667101,0.0005944045311480295,0.004678749741287902,0.08722757641226053,,,0.013401507382513956
natural_rounding_w4_c1.0_step40,natural_rounding,natural_rounding,4,1.0,40,33.5748176574707,0.9468735456466675,30.170854568481445,29.070146560668945,0.0,0.004574648608104326,True,7.489765612263e-05,0.0005034963702200912,0.004574648608104326,0.08150039762258529,,,0.012724688370362856
natural_rounding_w4_c1.0_step50,natural_rounding,natural_rounding,4,1.0,50,33.730979919433594,0.945238471031189,30.10492515563965,29.047199249267578,0.0,0.004526040720520541,True,5.6698293246881806e-05,0.0004887310053163674,0.004526040720520541,0.08118730690330267,,,0.012644771410850809
natural_rounding_w4_c1.0_step60,natural_rounding,natural_rounding,4,1.0,60,31.58194923400879,0.9396085739135742,27.48396110534668,26.974878311157227,0.0,0.004831607764936052,True,0.00031864324228081387,0.0008171290406608023,0.004831607764936052,0.07914772033691406,,,0.012746379798627458
natural_rounding_w4_c1.0_step70,natural_rounding,natural_rounding,4,1.0,70,32.527896881103516,0.9410664439201355,28.964141845703125,28.942272186279297,0.0,0.004657128528924659,True,0.00015004390879767016,0.0006241844719625078,0.004657128528924659,0.0818165834993124,,,0.012838786878855899
natural_rounding_w4_c1.0_step80,natural_rounding,natural_rounding,4,1.0,80,33.465232849121094,0.945275604724884,29.23374366760254,28.878629684448242,0.0,0.004567097898689099,True,8.427734592260094e-05,0.0005273719281831291,0.004567097898689099,0.07735037598758936,,,0.012302135497448035
natural_rounding_w4_c1.0_step90,natural_rounding,natural_rounding,4,1.0,90,32.5709228515625,0.9434145092964172,28.626033782958984,28.002622604370117,0.0,0.004729639200377278,True,0.00014222694371710532,0.0006413126429833937,0.004729639200377278,0.08195358384400606,,,0.012924997584777885
natural_rounding_w4_c1.0_step100,natural_rounding,natural_rounding,4,1.0,100,33.041587829589844,0.943408191204071,28.600055694580078,28.58417510986328,0.0,0.004560560139361769,True,9.026888728840277e-05,0.0005716533589293249,0.004560560139361769,0.0786582799628377,,,0.012426388135645538
