step,applied,reason,block,spectral_loss,adversarial_loss,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,grad_norm,learning_rate
1,True,,,0.0,0.0,,,0.0006133446004241705,0.029674451798200607,3.305106247353251e-06,0.0035874000750482082,0.0,0.0,7.508766884711804e-06,0.01
2,True,,,0.0,0.0,,,0.0036018663085997105,0.08902283012866974,1.8068034250973142e-06,0.012507762759923935,0.0,0.0,8.039265594561584e-06,0.01
3,True,,,0.0,0.0,,,0.0024790416937321424,0.05230041220784187,1.4687935617985204e-05,0.007738458923995495,0.0,0.0,7.465564067388186e-06,0.01
4,True,,,0.0,0.0,,,0.0020020119845867157,0.11853913962841034,3.204715085303178e-06,0.013862335123121738,0.0,0.0,3.229863432352431e-05,0.01
5,True,,,0.0,0.0,,,0.0024661854840815067,0.07590705156326294,3.244008621550165e-05,0.01012177113443613,0.0,0.0,8.457113835902419e-06,0.01
6,True,,,0.0,0.0,,,0.005457714200019836,0.06827352195978165,2.7305566163704498e-06,0.012290528044104576,0.0,0.0,7.914704838185571e-06,0.01
7,True,,,0.0,0.0,,,0.0028441310860216618,0.0867268517613411,1.3609121197077911e-05,0.01154403481632471,0.0,0.0,8.279267603938933e-06,0.01
8,True,,,0.0,0.0,,,0.0034666983410716057,0.056826286017894745,9.576257980370428e-06,0.009168479591608047,0.0,0.0,9.580600817571394e-06,0.01
9,True,,,0.0,0.0,,,0.00032084897975437343,0.05110381543636322,1.1274903499725042e-06,0.005433485843241215,0.0,0.0,1.3979331015434582e-05,0.01
10,True,,,0.0,0.0,,,0.0016067817341536283,0.04693234711885452,2.4014574592001736e-05,0.006348045542836189,0.0,0.0,5.9869357755815145e-06,0.01
11,True,,,0.0,0.0,,,0.0006941609899513423,0.037757307291030884,6.851429134258069e-06,0.004483594559133053,0.0,0.0,9.197709914587904e-06,0.01
12,True,,,0.0,0.0,,,0.001524200662970543,0.062240034341812134,3.7929139580228366e-06,0.007755789905786514,0.0,0.0,1.3194421626394615e-05,0.01
13,True,,,0.0,0.0,,,0.003345513716340065,0.06114330142736435,8.841751878208015e-06,0.009477527812123299,0.0,0.0,9.564934771333355e-06,0.01
14,True,,,0.0,0.0,,,0.001027337508276105,0.07126930356025696,1.1435552096372703e-06,0.008156555704772472,0.0,0.0,1.0216169357590843e-05,0.01
15,True,,,0.0,0.0,,,0.0011503758141770959,0.08943889290094376,4.937477115163347e-06,0.010104140266776085,0.0,0.0,1.4615231521020178e-05,0.01
16,True,,,0.0,0.0,,,0.0029136985540390015,0.07397536188364029,1.1135864042444155e-05,0.010333506390452385,0.0,0.0,1.0485256098036189e-05,0.01
17,True,,,0.0,0.0,,,0.005161934997886419,0.11134140193462372,3.970080797444098e-06,0.01630401611328125,0.0,0.0,9.443272574571893e-06,0.01
18,True,,,0.0,0.0,,,0.0018458438571542501,0.07650773227214813,5.961085662420373e-06,0.009508538991212845,0.0,0.0,1.0303703675162978e-05,0.01
19,True,,,0.0,0.0,,,0.0009232497541233897,0.06706573069095612,1.901738141896203e-05,0.007667857687920332,0.0,0.0,1.2325522220635321e-05,0.01
20,True,,,0.0,0.0,,,0.0017325403168797493,0.05748070776462555,1.8423419305690913e-06,0.00748429587110877,0.0,0.0,8.676352081238292e-06,0.01
21,True,,,0.0,0.0,,,0.00131257064640522,0.05920644849538803,9.635357855586335e-06,0.007252486422657967,0.0,0.0,7.600827302667312e-06,0.01
22,True,,,0.0,0.0,,,0.0033242914360016584,0.06624709814786911,6.0785851019318216e-06,0.009961158968508244,0.0,0.0,8.284716386697255e-06,0.01
23,True,,,0.0,0.0,,,0.004847315140068531,0.13287942111492157,0.00018750911112874746,0.018510274589061737,0.0,0.0,2.2586469640373252e-05,0.01
24,True,,,0.0,0.0,,,0.001103234477341175,0.05949997529387474,1.3839458915754221e-05,0.0070809111930429935,0.0,0.0,1.4512748748529702e-05,0.01
25,True,,,0.0,0.0,,,0.005564322229474783,0.07437179237604141,3.1661547836847603e-06,0.013007833622395992,0.0,0.0,6.929841219971422e-06,0.01
26,True,,,0.0,0.0,,,0.004377975128591061,0.12809927761554718,3.354562977619935e-06,0.017194611951708794,0.0,0.0,2.059250618913211e-05,0.01
