step,applied,reason,block,spectral_loss,adversarial_loss,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,grad_norm,learning_rate
1,True,,,0.0,0.0,,,3.7348936530179344e-06,0.0,5.557063786909566e-07,4.846306183026172e-06,0.0,0.0,3.321566452996194e-07,0.01
2,True,,,0.0,0.0,,,0.0001929071149788797,0.0,0.0001316519919782877,0.0004562110989354551,0.0,0.0,9.383988071931526e-06,0.01
3,True,,,0.0,0.0,,,3.1383087844005786e-06,0.0,5.289239197736606e-07,4.1961566239479e-06,0.0,0.0,1.6256736046216247e-07,0.01
4,True,,,0.0,0.0,,,5.113069164508488e-06,0.0,1.5888199413893744e-06,8.290709047287237e-06,0.0,0.0,4.4999202941653493e-07,0.01
5,True,,,0.0,0.0,,,1.2401911590131931e-05,0.0,4.788456863025203e-06,2.1978825316182338e-05,0.0,0.0,6.233520366549783e-07,0.01
6,True,,,0.0,0.0,,,4.524373252934311e-06,0.0,1.9686269752128283e-06,8.461627658107318e-06,0.0,0.0,3.112083675205213e-07,0.01
7,True,,,0.0,0.0,,,1.3145482625986915e-05,0.0,1.4323550203698687e-06,1.601019175723195e-05,0.0,0.0,7.394669410132337e-07,0.01
8,True,,,0.0,0.0,,,8.316133971675299e-06,0.0,2.3004777176538482e-06,1.2917089406982996e-05,0.0,0.0,4.1829974861684605e-07,0.01
9,True,,,0.0,0.0,,,1.9269318727310747e-06,0.0,6.976717372708663e-07,3.322275460959645e-06,0.0,0.0,4.3300184415784315e-07,0.01
10,True,,,0.0,0.0,,,4.664839252654929e-06,0.0,1.7736929294187576e-06,8.212225111492444e-06,0.0,0.0,4.885297926193743e-07,0.01
11,True,,,0.0,0.0,,,1.1849314205392147e-06,0.0,3.8429811866080854e-07,1.9535277715476695e-06,0.0,0.0,3.347567769651505e-07,0.01
12,True,,,0.0,0.0,,,3.3463852560089435e-06,0.0,9.227287591784261e-07,5.191842774365796e-06,0.0,0.0,4.071596038102143e-07,0.01
13,True,,,0.0,0.0,,,1.160551391876652e-06,0.0,5.339731501408096e-07,2.2284975784714334e-06,0.0,0.0,2.8892276304759434e-07,0.01
14,True,,,0.0,0.0,,,8.133203550642065e-07,0.0,2.7532843205335666e-07,1.363977162327501e-06,0.0,0.0,1.8265508572312683e-07,0.01
15,True,,,0.0,0.0,,,3.745793037523981e-06,0.0,1.1622696547419764e-06,6.070332347007934e-06,0.0,0.0,7.100830998751917e-07,0.01
16,True,,,0.0,0.0,,,9.871842848951928e-06,0.0,2.554872480686754e-06,1.4981587810325436e-05,0.0,0.0,5.446954105536861e-07,0.01
17,True,,,0.0,0.0,,,2.7969472284894437e-06,0.0,8.167818350557354e-07,4.430510671227239e-06,0.0,0.0,4.071910666425538e-07,0.01
18,True,,,0.0,0.0,,,3.196653415216133e-05,0.0,1.3806020433548838e-05,5.9578575019259006e-05,0.0,0.0,1.8158521015720908e-06,0.01
19,True,,,0.0,0.0,,,9.388072044203e-07,0.0,2.3528900783276185e-07,1.4093852769292425e-06,0.0,0.0,2.151408011741296e-07,0.01
20,True,,,0.0,0.0,,,2.534691475375439e-06,0.0,6.059255497348204e-07,3.746542461158242e-06,0.0,0.0,2.3412563621150184e-07,0.01
21,True,,,0.0,0.0,,,1.7619095160625875e-05,0.0,1.3571328963735141e-05,4.476175308809616e-05,0.0,0.0,1.8178942582380841e-06,0.01
22,True,,,0.0,0.0,,,1.7949043922271812e-06,0.0,1.0872986422327813e-06,3.969501449319068e-06,0.0,0.0,1.6308793249208975e-07,0.01
23,True,,,0.0,0.0,,,6.412876132344536e-07,0.0,2.756603407760849e-07,1.1926083516300423e-06,0.0,0.0,2.428000698273536e-07,0.01
24,True,,,0.0,0.0,,,1.3976185982755851e-05,0.0,1.124878599512158e-05,3.647375706350431e-05,0.0,0.0,1.5290805777112837e-06,0.01
25,True,,,0.0,0.0,,,3.346498942846665e-06,0.0,8.642823559057433e-07,5.075063654658152e-06,0.0,0.0,3.718873529123812e-07,0.01
26,True,,,0.0,0.0,,,2.3729980966891162e-05,0.0,1.0667564311006572e-05,4.5065109588904306e-05,0.0,0.0,1.2160983260400826e-06,0.01
27,True,,,0.0,0.0,,,8.723334758542478e-06,0.0,2.4404994292126503e-06,1.3604333616967779e-05,0.0,0.0,3.529835339577403e-07,0.01
28,True,,,0.0,0.0,,,1.7321325458397041e-06,0.0,4.976577656634618e-07,2.7274481908534653e-06,0.0,0.0,1.8253426503633818e-07,0.01
29,True,,,0.0,0.0,,,1.7055443095159717e-05,0.0,7.964153155626263e-06,3.2983749406412244e-05,0.0,0.0,1.3316437161847716e-06,0.01
30,True,,,0.0,0.0,,,4.75788601761451e-06,0.0,8.833342235448072e-07,6.524554464704124e-06,0.0,0.0,2.534115992602892e-07,0.01
31,True,,,0.0,0.0,,,6.155710252642166e-06,0.0,3.464308520051418e-06,1.3084327292745002e-05,0.0,0.0,6.151519755803747e-07,0.01
32,True,,,0.0,0.0,,,8.749368134886026e-06,0.0,3.094525254709879e-06,1.4938418644305784e-05,0.0,0.0,4.773853561346186e-07,0.01
33,True,,,0.0,0.0,,,1.7134099834947847e-05,0.0,1.3135140761733055e-05,4.340438317740336e-05,0.0,0.0,1.7778681922209216e-06,0.01
34,True,,,0.0,0.0,,,8.817502816782508e-07,0.0,1.8654537825568696e-07,1.2548409813462058e-06,0.0,0.0,1.9862437738993322e-07,0.01
35,True,,,0.0,0.0,,,8.637418432044797e-06,0.0,2.3686923213972477e-06,1.3374803529586643e-05,0.0,0.0,3.021218617504928e-07,0.01
