method,quality_policy,test_quality_valid,search_quality_valid,selection_status,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,interpretation
marked_reference_test,report,True,,,120.0,1.0,120.0,120.0,0.0,9.728311267281242e-05,True,0.0,
pseudo_target_test,report,True,,,41.63189754486084,0.9925751941275806,,,,,True,,"Direct smoothing hypothesis, not a clean target or quantized model"
fixed_ptq_w8_c1.0_test,report,True,True,selected,56.71290588378906,0.9997084736824036,52.10122299194336,50.79686737060547,0.0,9.830994621097489e-05,True,3.33673686441216e-07,
reconstruction_w8_c1.0_test,report,True,True,selected,57.06342315673828,0.9997199773788452,52.275291442871094,51.17528533935547,0.0,9.626935913729539e-05,True,2.2635672301873912e-07,
block_reconstruction_w8_c1.0_test,report,True,True,selected,58.40682601928711,0.9997957348823547,53.39927673339844,52.62283706665039,0.0,9.846786711477762e-05,True,1.8646050577331154e-07,
fixed_ptq_w4_c1.0_test,report,True,True,selected,33.00245666503906,0.9396127462387085,28.156654357910156,27.755020141601562,0.07000000029802322,0.0005624166216148296,True,8.762289260630496e-05,
reconstruction_w4_c1.0_test,report,True,True,selected,33.743873596191406,0.9493187069892883,28.60102081298828,26.63995361328125,0.029999999329447746,0.0004671325188246556,True,0.00013320374508111855,
block_reconstruction_w4_c1.0_test,report,True,True,selected,34.92184829711914,0.9572347402572632,29.824445724487305,29.375560760498047,0.009999999776482582,0.00038688407938025193,True,4.446142360393424e-05,
natural_rounding_w8_c1.0_test,report,True,True,selected,47.837120056152344,0.9982484579086304,43.639976501464844,42.8577995300293,0.0,0.0001097566264706984,True,4.2848758153013475e-06,
natural_rounding_scale_w8_c1.0_test,report,True,True,selected,44.00556564331055,0.9956387281417847,39.932289123535156,38.74155807495117,0.0,0.00012808590967324562,True,8.407333584727894e-06,
natural_residual_w8_c1.0_test,report,True,True,selected,43.09199142456055,0.9950404167175293,38.30421829223633,37.17409133911133,0.0,9.113218631682684e-05,True,7.293603327980236e-06,
natural_qat_purification_w8_c1.0_test,report,True,True,selected,51.29487609863281,0.9991462230682373,46.777099609375,46.076393127441406,0.0,0.000100992968718856,True,1.47669768182368e-06,
natural_residual_qat_w8_c1.0_test,report,True,True,selected,46.24616622924805,0.9976890683174133,41.4000129699707,40.409523010253906,0.0,7.677338206121931e-05,True,2.4665482567343133e-06,
natural_qat_scale_w8_c1.0_test,report,True,True,selected,51.23271560668945,0.9991916418075562,46.95503234863281,46.055519104003906,0.0,9.983124811697053e-05,True,1.933723102638396e-06,
natural_gan_qat_w8_c1.0_test,report,True,True,selected,49.62165069580078,0.9989542365074158,46.358543395996094,45.31288146972656,0.0,0.00011448543859842175,True,4.917518720048975e-06,
natural_spectral_w8_c1.0_test,report,True,True,selected,47.82890701293945,0.9982490539550781,43.648929595947266,42.85259246826172,0.0,0.00010979624448737013,True,4.3067198589596956e-06,
natural_rounding_w4_c1.0_test,report,True,True,selected,32.997127532958984,0.9391956329345703,28.34188461303711,26.999370574951172,0.05999999865889549,0.0005506556505861227,True,0.00010211036826149211,
natural_rounding_scale_w4_c1.0_test,report,True,True,selected,31.879985809326172,0.9231799840927124,27.239959716796875,26.232271194458008,0.23000000417232513,0.0006979610917915124,True,0.00012105407353374176,
natural_residual_w4_c1.0_test,report,True,True,selected,32.1724853515625,0.9233061075210571,27.37129783630371,26.228954315185547,0.25999999046325684,0.0006745547666650964,True,9.81662322556076e-05,
natural_qat_purification_w4_c1.0_test,report,True,True,selected,33.31678771972656,0.9371643662452698,28.088396072387695,27.57086753845215,0.07000000029802322,0.0005508028746407944,True,3.6172127320242e-05,
natural_residual_qat_w4_c1.0_test,report,True,True,selected,33.54575729370117,0.9380085468292236,28.507532119750977,27.730073928833008,0.05999999865889549,0.00046717101969989016,True,3.709213413458201e-05,
natural_qat_scale_w4_c1.0_test,report,True,True,selected,33.316123962402344,0.9373133778572083,28.05928611755371,27.480566024780273,0.05999999865889549,0.0005532595081240288,True,3.718976915479288e-05,
natural_gan_qat_w4_c1.0_test,report,True,True,selected,33.12196350097656,0.9345789551734924,27.90441131591797,27.301162719726562,0.10000000149011612,0.0005835039311932633,True,4.570226555188128e-05,
natural_spectral_w4_c1.0_test,report,True,True,selected,32.91887283325195,0.9389382004737854,28.223230361938477,26.769649505615234,0.05999999865889549,0.0005599154280935181,True,0.0001109886113954417,
natural_full_finetune_fp32_test,report,True,True,selected,39.26434326171875,0.9898922443389893,35.12704849243164,34.47642517089844,0.0,0.00020868667244940296,True,3.580546518605843e-05,
natural_gan_finetune_fp32_test,report,True,True,selected,37.712425231933594,0.9836637377738953,33.78068923950195,33.24341583251953,0.0,0.0002943339487683261,True,6.779304902011064e-05,
