method,comparison_group,role,detector,test_quality_valid,search_quality_valid,bit_accuracy,tpr,n,evasion_rate,evasion_ci95_low,evasion_ci95_high,mean_abs_bit_accuracy_minus_half,detected_count,tpr_ci95_low,tpr_ci95_high,threshold_matches,lower_threshold_matches,lpips,psnr,ssim,highpass_energy_ratio,highpass_mse,reference_valid,total_bits,correct_bits,error_bits,net_additional_bit_errors,decoding_improved_images,decoding_worsened_images,decoding_tied_images,exact_message_accuracy,bit_accuracy_drop_pp,bit_accuracy_drop_ci95_low_pp,bit_accuracy_drop_ci95_high_pp,survival_on_originally_detected,evasion_on_originally_detected,survival_ci95_low,survival_ci95_high,tpr_drop_percentage_points,tpr_drop_ci95_low_pp,tpr_drop_ci95_high_pp,bit_accuracy_retained_percent,tpr_retained_percent
marked_reference_test,,reference,double,True,,0.9858333333333333,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.48583333333333334,99,0.9455138038212946,0.9982325679358593,36,12,0.0,120.0,1.0,1.0,0.0,True,4800,4732,68,0,0,0,100,0.74,0.0,0.0,0.0,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,100.0,100.0
pseudo_target_test,,diagnostic,double,True,,0.9808333333333333,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.48083333333333333,99,0.9455138038212946,0.9982325679358593,36,12,0.013042051973752678,41.63189754486084,0.9925751941275806,0.6611776810884475,6.308070025625057e-05,True,4800,4708,92,24,1,16,83,0.69,0.5,0.25,0.7916666666666665,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.49281487743026,100.0
fixed_ptq_w8_c1.0_test,w8_c1.0_all,candidate,double,True,True,0.985,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.485,99,0.9455138038212946,0.9982325679358593,36,12,0.00019684926774061752,56.71290588378906,0.9997084736824036,0.9979279589653015,1.5612423003119602e-06,True,4800,4728,72,4,0,4,96,0.73,0.08333333333333333,0.02083333333333326,0.16666666666666696,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.91546914623838,100.0
reconstruction_w8_c1.0_test,w8_c1.0_all,candidate,double,True,True,0.985,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.485,99,0.9455138038212946,0.9982325679358593,36,12,0.00017867163758637618,57.06342315673828,0.9997199773788452,0.995819776058197,1.4955611109712663e-06,True,4800,4728,72,4,0,4,96,0.73,0.08333333333333333,0.02083333333333326,0.16666666666666696,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.91546914623838,100.0
block_reconstruction_w8_c1.0_test,w8_c1.0_all,candidate,double,True,True,0.9854166666666666,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.48541666666666666,99,0.9455138038212946,0.9982325679358593,36,12,0.00014998789425590075,58.40682601928711,0.9997957348823547,0.9995326203107834,1.1146580860099676e-06,True,4800,4730,70,2,2,4,94,0.74,0.041666666666666664,-0.06250000000000011,0.14583333333333337,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.95773457311918,100.0
natural_rounding_w8_c1.0_test,w8_c1.0_all,candidate,double,True,True,0.985,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.485,99,0.9455138038212946,0.9982325679358593,36,12,0.003686086780799087,47.837120056152344,0.9982484579086304,1.002432786822319,8.405190759503967e-06,True,4800,4728,72,4,5,8,87,0.72,0.08333333333333333,-0.06302083333333362,0.2500000000000002,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.91546914623838,100.0
natural_rounding_scale_w8_c1.0_test,w8_c1.0_all,candidate,double,True,True,0.9839583333333334,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.48395833333333327,99,0.9455138038212946,0.9982325679358593,36,12,0.005273300670087338,44.00556564331055,0.9956387281417847,0.9907455658912658,2.32210209310324e-05,True,4800,4723,77,9,3,9,88,0.71,0.1875,0.020833333333333367,0.3958333333333329,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.80980557903635,100.0
natural_residual_w8_c1.0_test,w8_c1.0_all,candidate,double,True,True,0.9843750000000001,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.48437499999999994,99,0.9455138038212946,0.9982325679358593,36,12,0.006266591356834396,43.09199142456055,0.9950404167175293,0.9039000755548477,2.4208612935581186e-05,True,4800,4725,75,7,7,11,82,0.72,0.14583333333333334,-0.08333333333333315,0.39583333333333337,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.85207100591717,100.0
natural_qat_purification_w8_c1.0_test,w8_c1.0_all,candidate,double,True,True,0.9854166666666666,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.4854166666666667,99,0.9455138038212946,0.9982325679358593,36,12,0.001472157308453461,51.29487609863281,0.9991462230682373,1.0003485321998595,4.27943076374504e-06,True,4800,4730,70,2,3,4,93,0.75,0.041666666666666664,-0.08333333333333337,0.16666666666666663,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.95773457311918,100.0
natural_residual_qat_w8_c1.0_test,w8_c1.0_all,candidate,double,True,True,0.9841666666666667,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.48416666666666663,99,0.9455138038212946,0.9982325679358593,36,12,0.002798296691616997,46.24616622924805,0.9976890683174133,0.9320472824573517,1.1249305084675142e-05,True,4800,4724,76,8,2,8,90,0.7,0.16666666666666666,0.02083333333333326,0.3333333333333337,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.83093829247676,100.0
