candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,selection_objective
natural_residual_w8_c1.0_step0,rtn_fallback,natural_residual,8,1.0,0,57.079833984375,0.9997356534004211,53.20294952392578,52.35723114013672,0.0,0.004480636581718045,True,3.0519668321460357e-07,2.3042802979489354e-06,0.004480636581718045,0.07531318787368946,0.030735336704537985,,0.0427479024669914
natural_residual_w8_c1.0_step100,natural_residual,natural_residual,8,1.0,100,42.428646087646484,0.9939142465591431,37.640830993652344,37.52288055419922,0.0,0.004207557761560565,True,8.203854849853088e-06,7.222922122309682e-05,0.004207557761560565,0.07810248383611906,0.028105497767455745,,0.04013971162232792
natural_residual_w8_c1.0_step200,natural_residual,natural_residual,8,1.0,200,40.74474334716797,0.9904203414916992,35.85237121582031,35.82904052734375,0.0,0.004135327948688428,True,9.972578925498966e-06,0.0001058639626535296,0.004135327948688428,0.07827786383131752,0.027506484517743957,,0.03948954400741513
natural_residual_w8_c1.0_step300,natural_residual,natural_residual,8,1.0,300,39.81792449951172,0.9876145124435425,34.83796310424805,34.74435806274414,0.0,0.004102424701216023,True,1.023381398681522e-05,0.00013149723163223824,0.004102424701216023,0.07819003285112558,0.02714253768351682,,0.03908443329781903
natural_residual_w8_c1.0_step400,natural_residual,natural_residual,8,1.0,400,39.29529571533203,0.9858919978141785,34.33224105834961,34.18564224243164,0.0,0.00408238231489122,True,1.12951875280487e-05,0.00014772357517358614,0.00408238231489122,0.07754576823936077,0.026966947926212015,,0.03882649744009541
natural_residual_w8_c1.0_step500,natural_residual,natural_residual,8,1.0,500,38.85999298095703,0.9840885996818542,33.89794921875,33.712860107421875,0.0,0.004073200811944844,True,1.1832904249331477e-05,0.00016321193579642567,0.004073200811944844,0.07705941946915118,0.026822907639825644,,0.03862571620718427
natural_residual_w8_c1.0_step600,natural_residual,natural_residual,8,1.0,600,38.57001495361328,0.982948899269104,33.66359329223633,33.432010650634766,0.0,0.004062556556903019,True,1.2250840904926008e-05,0.00017375922179780902,0.004062556556903019,0.07675639972876525,0.02673563199448381,,0.03849833020607321
natural_residual_w8_c1.0_step700,natural_residual,natural_residual,8,1.0,700,38.37763977050781,0.9820534586906433,33.477020263671875,33.21974182128906,0.0,0.004053123621076793,True,1.2559132187561772e-05,0.00018152216289308855,0.004053123621076793,0.0766275331916404,0.02667122529919652,,0.038412220503812475
natural_residual_w8_c1.0_step800,natural_residual,natural_residual,8,1.0,800,38.2682991027832,0.9814939498901367,33.34290313720703,33.08131790161133,0.0,0.004051848521498869,True,1.3118479932927584e-05,0.00018642640498001128,0.004051848521498869,0.07644201607763534,0.026635308131176316,,0.038357595220304574
natural_residual_w8_c1.0_step900,natural_residual,natural_residual,8,1.0,900,38.19792175292969,0.9811283946037292,33.28318786621094,33.00841522216797,0.0,0.004049962250633143,True,1.321536968816872e-05,0.00018940275967906927,0.004049962250633143,0.07634617312578484,0.026613347724492087,,0.038324358027080056
natural_residual_w8_c1.0_step1000,natural_residual,natural_residual,8,1.0,1000,38.15569305419922,0.9808750152587891,33.239410400390625,32.954307556152344,0.0,0.004048035895010571,True,1.3182378256715311e-05,0.00019134478934574873,0.004048035895010571,0.07630498406069819,0.026595634466843876,,0.03830053352443769
