candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,selection_objective
reconstruction_w8_c1.0_step0,rtn_fallback,reconstruction,8,1.0,0,57.079833984375,0.9997356534004211,53.20294952392578,52.35723114013672,0.0,2.3042802979489354e-06,True,3.0519668321460357e-07,2.3042802979489354e-06
reconstruction_w8_c1.0_step100,reconstruction,reconstruction,8,1.0,100,57.027549743652344,0.9997356534004211,53.020713806152344,52.51384735107422,0.0,2.2948598967786893e-06,True,3.0356756681726437e-07,2.2948598967786893e-06
reconstruction_w8_c1.0_step200,reconstruction,reconstruction,8,1.0,200,57.0672721862793,0.9997397661209106,53.18313980102539,52.630977630615234,0.0,2.2604219537925017e-06,True,2.96096711238647e-07,2.2604219537925017e-06
reconstruction_w8_c1.0_step300,reconstruction,reconstruction,8,1.0,300,57.08430099487305,0.9997316598892212,53.32926559448242,52.777801513671875,0.0,2.2412553533968093e-06,True,3.048662577498362e-07,2.2412553533968093e-06
reconstruction_w8_c1.0_step400,reconstruction,reconstruction,8,1.0,400,57.089599609375,0.9997342228889465,53.430625915527344,52.842315673828125,0.0,2.2272259343480982e-06,True,3.198273720528277e-07,2.2272259343480982e-06
reconstruction_w8_c1.0_step500,reconstruction,reconstruction,8,1.0,500,57.110382080078125,0.999729335308075,53.50859451293945,52.92131042480469,0.0,2.2105939507355286e-06,True,3.162547084656353e-07,2.2105939507355286e-06
reconstruction_w8_c1.0_step600,reconstruction,reconstruction,8,1.0,600,57.0416259765625,0.999734103679657,53.56890106201172,52.924007415771484,0.0,2.2329602927584346e-06,True,3.3582980236701586e-07,2.2329602927584346e-06
reconstruction_w8_c1.0_step700,reconstruction,reconstruction,8,1.0,700,57.16362380981445,0.999731183052063,53.6511116027832,53.022491455078125,0.0,2.176266715991915e-06,True,3.04817493201881e-07,2.176266715991915e-06
reconstruction_w8_c1.0_step800,reconstruction,reconstruction,8,1.0,800,57.16633224487305,0.9997248649597168,53.618587493896484,53.03099822998047,0.0,2.177502867084513e-06,True,3.1334972590002507e-07,2.177502867084513e-06
reconstruction_w8_c1.0_step900,reconstruction,reconstruction,8,1.0,900,57.139015197753906,0.9997239112854004,53.5969123840332,52.99976348876953,0.0,2.187749765880653e-06,True,3.1916737359694024e-07,2.187749765880653e-06
reconstruction_w8_c1.0_step1000,reconstruction,reconstruction,8,1.0,1000,57.12025833129883,0.999729335308075,53.667686462402344,52.98870086669922,0.0,2.193014972817764e-06,True,3.2313933786554114e-07,2.193014972817764e-06
