method,quality_policy,test_quality_valid,search_quality_valid,selection_status,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,interpretation
marked_reference_test,report,True,,,120.0,1.0,120.0,120.0,0.0,9.730290727929969e-05,True,0.0,
pseudo_target_test,report,True,,,41.636995010375976,0.9925714315192385,,,,,True,,"Direct smoothing hypothesis, not a clean target or quantized model"
fixed_ptq_w4_c1.0_test,report,True,True,selected,33.00655746459961,0.9395577311515808,28.131155014038086,27.743331909179688,0.07000000029802322,0.0005622724550630665,True,8.791840951744234e-05,
reconstruction_w4_c1.0_test,report,True,True,selected,37.19742202758789,0.9718563556671143,31.99668312072754,30.92197608947754,0.0,0.0002629188527680526,True,1.2074680523710412e-05,
fixed_ptq_w8_c1.0_test,report,True,True,selected,56.706695556640625,0.9997078776359558,52.11763000488281,50.77616882324219,0.0,9.846782229942619e-05,True,3.369866121971654e-07,
reconstruction_w8_c1.0_test,report,True,True,selected,56.814353942871094,0.9997041821479797,52.695011138916016,51.09842300415039,0.0,9.649985847318021e-05,True,3.9262678214413427e-07,
natural_residual_w4_c1.0_test,report,False,False,selected_quality_failed,29.47327423095703,0.8209212422370911,23.773054122924805,22.540903091430664,0.7799999713897705,0.0012637198609445476,False,5.803068910608999e-05,
natural_residual_qat_w4_c1.0_test,report,False,False,selected_quality_failed,29.951562881469727,0.8387230038642883,24.229475021362305,22.995853424072266,0.7400000095367432,0.0011319634639221476,False,4.934523431074922e-05,
natural_residual_w8_c1.0_test,report,True,True,selected,37.941123962402344,0.9792723059654236,32.34618377685547,31.81309700012207,0.0,0.00019012023935829347,True,1.3070629156572977e-05,
natural_residual_qat_w8_c1.0_test,report,True,True,selected,38.262882232666016,0.9807575941085815,32.70173263549805,32.057395935058594,0.0,0.0001789885408106784,True,1.1880994418334011e-05,
natural_full_finetune_fp32_test,report,False,False,selected_quality_failed,28.88941192626953,0.8150022625923157,23.285781860351562,22.155256271362305,0.7900000214576721,0.001405882202234352,False,0.00011132849158457248,
reconstruction_w4_c1.0_final_test,report,True,True,selected,37.15449905395508,0.9721394181251526,32.096900939941406,30.955543518066406,0.0,0.0002711281022493495,True,1.3357594311855792e-05,
reconstruction_w8_c1.0_final_test,report,True,True,selected,56.791114807128906,0.9997040033340454,52.75259017944336,51.08001708984375,0.0,9.69275672605363e-05,True,4.0992606322731715e-07,
