method,parameter_space,test_index,seed,layer,error_l2,owner_error_dot,owner_error_cosine,owner_gradient_l2,quality_error_dot,quality_error_cosine,quality_gradient_l2,ownership_score,image_mse
fixed_ptq_w8_c1.0_test,quantized,0,3459,conv_in.weight,0.0837320263089241,-6.235655223064507e-05,-0.008426440588837887,0.08837843974927363,4.490652888449436e-07,0.032671181600105036,0.0001641545950370903,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.resnets.0.conv1.weight,1.1918811636973365,-3.982686746026051e-06,-0.00012969731153338062,0.025763936417327712,4.097263472086019e-07,0.005943851127098674,5.783530261080052e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.resnets.0.conv2.weight,0.8195175184916672,-2.8457353022712793e-05,-0.0009052335514900598,0.03835973669778273,1.3053859350490224e-07,0.0018547917404677914,8.587871431829355e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.resnets.1.conv1.weight,1.2024793667778395,2.2951938429734983e-06,6.671194325269248e-05,0.028611336536956324,3.4433672682771483e-07,0.0041593042627580835,6.884700030424587e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.resnets.1.conv2.weight,0.76366091380036,2.2592828289611246e-05,0.0006559445185219424,0.04510274056542385,1.4880053458915905e-07,0.0018637113352022883,0.00010455029968742086,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.resnets.2.conv1.weight,1.258696229445508,9.33227214301002e-06,0.00025669979588943464,0.02888290956328458,3.849661515420167e-07,0.0045270800642582655,6.755903521325069e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.resnets.2.conv2.weight,0.7679976490921732,1.371700442071712e-05,0.0003915823492375884,0.04561170223162299,9.598917446520015e-08,0.001363380409587728,9.167381749464748e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.upsamplers.0.conv.weight,0.4598796936225145,-1.0322685117432674e-05,-0.00016375093497017785,0.13707702115407677,6.724118621211339e-07,0.0054984893430050094,0.00026591800584216873,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.resnets.0.conv1.weight,1.1605746129245327,3.25040398396795e-05,0.0008128200877128553,0.03445639577865456,2.417546996544567e-07,0.0025985114276583714,8.016360289331974e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.resnets.0.conv2.weight,1.1144503949102627,-9.826947762087578e-06,-0.000252397751143535,0.03493593926907098,2.2650314896201495e-07,0.002681081607243562,7.580598032219691e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.resnets.1.conv1.weight,1.1838596364530638,-3.763502818297899e-05,-0.0009145574376770364,0.03476010230519032,3.4945766188266587e-07,0.004054770372877073,7.279944840133531e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.resnets.1.conv2.weight,1.0681922737846614,-4.435273324246204e-06,-0.00011559122801681104,0.03592080645644968,2.530236078812004e-07,0.0032926508353232613,7.193925445690646e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.resnets.2.conv1.weight,1.1443847282752029,-1.4693169098903582e-05,-0.000318124720872184,0.04035952112666303,2.702444128027296e-07,0.003161218375082556,7.470164622696428e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.resnets.2.conv2.weight,0.9794177813243862,1.1693741565090575e-05,0.0003383184294438785,0.03529066573939542,9.003308094963063e-08,0.0014276675253357607,6.438831303576233e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.upsamplers.0.conv.weight,0.5073170002166529,6.920335054692295e-05,0.0011217267725101572,0.12160757285696054,2.751503543822487e-07,0.0029308958702413675,0.00018505050377665592,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.0.conv1.weight,0.7521863972157539,-2.4400092670723434e-05,-0.0009008811447262134,0.03600795881800021,1.529496203216875e-07,0.003024085854990306,6.724017130612102e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.0.conv2.weight,0.6131526755805556,-2.3555592154444372e-05,-0.0012762398502430994,0.030101843764468197,9.910340712285014e-08,0.003334107966807166,4.8477509325843406e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.0.conv_shortcut.weight,0.052282203692116065,4.440895328417028e-05,0.0026255323016450833,0.32351862379647056,2.117081155279267e-07,0.008932879832446484,0.00045330669137130927,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.1.conv1.weight,0.4851332093365615,-2.6456216580830942e-05,-0.0014345886668243402,0.03801362943024978,1.111113424887578e-07,0.002951647135273409,7.759485984628983e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.1.conv2.weight,0.6572459861136889,-2.8399658331079423e-05,-0.001279226382462054,0.03377829817568813,1.321945373599983e-07,0.004747181676982476,4.236914636263367e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.2.conv1.weight,0.5146227831899781,-2.949200154561353e-05,-0.0013953707676394457,0.041070086570598414,1.892710582996156e-07,0.006592219588077516,5.579092164902377e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.2.conv2.weight,0.6015476376614555,1.1328211276445314e-05,0.0006372844177172259,0.029550036044100753,2.050248037040375e-08,0.0011140468810200285,3.059376398894601e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.upsamplers.0.conv.weight,0.27824634041281426,1.4890736713442246e-05,0.00032964663936869363,0.16234468362312096,1.7853689016965538e-07,0.003908077388451591,0.00016418570782931742,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.3.resnets.0.conv1.weight,0.3478885727279285,-6.0366920544325755e-05,-0.004246950624137311,0.04085842736974779,1.0408623018253501e-07,0.007589445163823527,3.942240257417805e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.3.resnets.0.conv2.weight,0.373706320770526,2.5738477995285907e-05,0.002839409556666392,0.02425629014356066,4.1631336905132226e-08,0.008353814428778226,1.3335370628540723e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.3.resnets.0.conv_shortcut.weight,0.04200119050094848,-4.906539997236177e-05,-0.0036074915390092843,0.32382354430047205,8.536400824673449e-08,0.009944990314091526,0.00020436608917628904,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.3.resnets.1.conv1.weight,0.24075198500202138,-3.5501864280826904e-05,-0.0027112733047600325,0.05438861313701455,3.1423532591809434e-08,0.005943994880941532,2.195870392037969e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.3.resnets.1.conv2.weight,0.3872260557515659,3.6611978157418824e-05,0.003285774926645356,0.028775362992470813,1.1806986055106466e-08,0.0023842723233713607,1.2788470920020547e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.3.resnets.2.conv1.weight,0.25206567958705234,3.837225875570452e-05,0.002591176758119464,0.05874982904431455,3.05317536759673e-08,0.005120342824769765,2.365587370084088e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.3.resnets.2.conv2.weight,0.3666501936315225,-1.694088025544647e-06,-0.0003483580035946027,0.013263503643792708,1.903985918976125e-11,5.306799417981923e-06,9.785412563260422e-06,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,mid_block.attentions.0.to_q.weight,0.23078628195619744,2.1104129114746308e-06,0.001373376038975403,0.0066583708231545986,-1.7876796848235296e-10,-4.951904027133192e-05,1.5642547961462674e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,mid_block.attentions.0.to_k.weight,0.23743591046848972,4.0314072525179265e-07,0.00022418871256303102,0.007573498195880274,8.058588628230535e-10,0.00017486920651930247,1.940882497835364e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,mid_block.attentions.0.to_v.weight,0.15740808941460843,2.0362485982194675e-06,0.000349132878239047,0.03705211488945912,-4.610735293241149e-09,-0.0003101613627732897,9.4439884204426e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,mid_block.attentions.0.to_out.0.weight,0.14889375094583934,9.945380242252636e-06,0.0015708449190032156,0.04252179699035986,4.832882962417009e-08,0.0033243513060558397,9.763890378680779e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,mid_block.resnets.0.conv1.weight,1.1884465818355672,-6.25451106195712e-05,-0.001680211754217922,0.0313220140846065,5.701967985907495e-07,0.005167686269283801,9.284295805483156e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,mid_block.resnets.0.conv2.weight,0.7352252030401639,-4.343925284260706e-06,-0.00010246066562581109,0.057664003044333306,4.4622619836491865e-07,0.004109979757503319,0.0001476709251376788,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,mid_block.resnets.1.conv1.weight,1.1190719629553045,-1.7430494691505164e-05,-0.000685045640961634,0.02273694915379839,1.265012424878242e-07,0.002095962901915643,5.3932826904214486e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,mid_block.resnets.1.conv2.weight,0.7529255505498338,1.2226968106503689e-05,0.00041492443836130087,0.03913791893579806,6.105550017053555e-08,0.0009669026174314421,8.386679030366054e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,conv_out.weight,0.007964138539927095,8.925054310406774e-05,0.021334887588927227,0.525268917485563,3.4988563261369814e-07,0.05703527076080437,0.0007702714402559203,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,1,3460,conv_in.weight,0.0837320263089241,-0.00017533549622166146,-0.012363818383932221,0.16936576520037955,7.045539400176989e-07,0.056828476946359785,0.00014806643839928479,0.07565683871507645,2.5755416572792456e-06
fixed_ptq_w8_c1.0_test,quantized,1,3460,up_blocks.0.resnets.0.conv1.weight,1.1918811636973365,1.931767108992423e-05,0.00045852364582938407,0.0353476115821476,1.8948643893050837e-07,0.006862242667152429,2.3167496492471e-05,0.07565683871507645,2.5755416572792456e-06
fixed_ptq_w8_c1.0_test,quantized,1,3460,up_blocks.0.resnets.0.conv2.weight,0.8195175184916672,1.551742139804942e-05,0.0003382239742514014,0.055983097517664816,1.0372045330842981e-07,0.0024509345161056345,5.1638599655172024e-05,0.07565683871507645,2.5755416572792456e-06
fixed_ptq_w8_c1.0_test,quantized,1,3460,up_blocks.0.resnets.1.conv1.weight,1.2024793667778395,-2.7040991640650865e-05,-0.0005398225234052038,0.0416575745141706,1.7888567012442916e-07,0.005952985821757777,2.498981671958928e-05,0.07565683871507645,2.5755416572792456e-06
fixed_ptq_w8_c1.0_test,quantized,1,3460,up_blocks.0.resnets.1.conv2.weight,0.76366091380036,-3.7663720327591806e-06,-7.485959011243827e-05,0.06588327943258156,9.995509781328128e-08,0.0019931454356485034,6.56697550329895e-05,0.07565683871507645,2.5755416572792456e-06
fixed_ptq_w8_c1.0_test,quantized,1,3460,up_blocks.0.resnets.2.conv1.weight,1.258696229445508,-4.954368671483194e-05,-0.0008661246247664788,0.0454450937178276,3.281492924189571e-07,0.009902405636363997,2.6327512544017554e-05,0.07565683871507645,2.5755416572792456e-06
fixed_ptq_w8_c1.0_test,quantized,1,3460,up_blocks.0.resnets.2.conv2.weight,0.7679976490921732,-5.560401062583016e-05,-0.001001504895605074,0.07229248448614926,7.973582182715517e-08,0.001567620737130594,6.622966896388034e-05,0.07565683871507645,2.5755416572792456e-06
fixed_ptq_w8_c1.0_test,quantized,1,3460,up_blocks.0.upsamplers.0.conv.weight,0.4598796936225145,-0.00010152069096683349,-0.0009048707820275187,0.2439628883190228,4.0914334839171414e-07,0.005215849973801355,0.00017057138295973514,0.07565683871507645,2.5755416572792456e-06
fixed_ptq_w8_c1.0_test,quantized,1,3460,up_blocks.1.resnets.0.conv1.weight,1.1605746129245327,-4.1919569074443306e-05,-0.0007466391311442539,0.04837633864527308,1.86206696932239e-07,0.006239025253711144,2.5716122536457288e-05,0.07565683871507645,2.5755416572792456e-06
fixed_ptq_w8_c1.0_test,quantized,1,3460,up_blocks.1.resnets.0.conv2.weight,1.1144503949102627,-3.6248405278291544e-06,-5.7821691142433446e-05,0.05625192290140801,1.1833564329232319e-07,0.0026718490551681756,3.9741377312895965e-05,0.07565683871507645,2.5755416572792456e-06
fixed_ptq_w8_c1.0_test,quantized,1,3460,up_blocks.1.resnets.1.conv1.weight,1.1838596364530638,1.6773427622580185e-05,0.00026634106388954417,0.05319655094485017,1.7840772742634266e-07,0.006250540422073898,2.4109926115058047e-05,0.07565683871507645,2.5755416572792456e-06
fixed_ptq_w8_c1.0_test,quantized,1,3460,up_blocks.1.resnets.1.conv2.weight,1.0681922737846614,2.685976549770824e-05,0.0004381318973411569,0.05739154443647884,1.1317628736749542e-07,0.0025963256409220303,4.080814451028497e-05,0.07565683871507645,2.5755416572792456e-06
fixed_ptq_w8_c1.0_test,quantized,1,3460,up_blocks.1.resnets.2.conv1.weight,1.1443847282752029,0.00014060822169150594,0.0020951896913069348,0.05864288307324078,2.1676827356207262e-07,0.007159548223127296,2.6456844608179266e-05,0.07565683871507645,2.5755416572792456e-06
fixed_ptq_w8_c1.0_test,quantized,1,3460,up_blocks.1.resnets.2.conv2.weight,0.9794177813243862,-8.596329348217786e-06,-0.00015817148828521201,0.05549027290251413,8.056080423140443e-08,0.0017698687072628429,4.647450342528353e-05,0.07565683871507645,2.5755416572792456e-06
fixed_ptq_w8_c1.0_test,quantized,1,3460,up_blocks.1.upsamplers.0.conv.weight,0.5073170002166529,9.046949768120811e-05,0.0007751324041968451,0.23006304857441098,1.8958906537673118e-07,0.002327755391185014,0.0001605449054320906,0.07565683871507645,2.5755416572792456e-06
fixed_ptq_w8_c1.0_test,quantized,1,3460,up_blocks.2.resnets.0.conv1.weight,0.7521863972157539,-2.7372298003486527e-06,-5.415641548495831e-05,0.0671948320589528,1.059185957082115e-07,0.0050789018833607424,2.7725342250618586e-05,0.07565683871507645,2.5755416572792456e-06
