candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,selection_objective,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,code_change_fraction_vs_rtn,code_offset_rms,code_offset_ge_one_fraction
fixed_ptq_w4_c1.0_step0,fixed_rtn,fixed_ptq,4,1.0,0,33.350563049316406,0.943604588508606,29.569313049316406,28.79359245300293,0.0,0.00048414335687994023,True,8.52526811286225e-05,0.00048414335687994023,,,,,,,,
reconstruction_w4_c1.0_step0,rtn_fallback,reconstruction,4,1.0,0,33.350563049316406,0.943604588508606,29.569313049316406,28.79359245300293,0.0,0.0005406601558206603,True,8.52526811286225e-05,0.0005406601558206603,,,,,,,,
reconstruction_w4_c1.0_step100,reconstruction,reconstruction,4,1.0,100,36.666847229003906,0.9684098958969116,32.5282096862793,31.4903564453125,0.0,0.00025895972576108763,True,1.5229602968247492e-05,0.00025895972576108763,,,,,,,,
reconstruction_w4_c1.0_step200,reconstruction,reconstruction,4,1.0,200,36.90970993041992,0.9706098437309265,32.7950439453125,31.864749908447266,0.0,0.00024396366570726967,True,1.7085276044781495e-05,0.00024396366570726967,,,,,,,,
reconstruction_w4_c1.0_step300,reconstruction,reconstruction,4,1.0,300,36.394264221191406,0.9710432291030884,32.570648193359375,31.76961898803711,0.0,0.0002656702323292848,True,3.747141472558724e-05,0.0002656702323292848,,,,,,,,
reconstruction_w4_c1.0_step400,reconstruction,reconstruction,4,1.0,400,37.02814865112305,0.9719280004501343,32.52437973022461,31.85065269470215,0.0,0.0002395993698883103,True,1.6327648086189584e-05,0.0002395993698883103,,,,,,,,
reconstruction_w4_c1.0_step500,reconstruction,reconstruction,4,1.0,500,37.32661056518555,0.9736489057540894,33.16707229614258,32.11344909667969,0.0,0.00022249741632549558,True,1.551107457089529e-05,0.00022249741632549558,,,,,,,,
reconstruction_w4_c1.0_step600,reconstruction,reconstruction,4,1.0,600,37.36655807495117,0.9735047221183777,33.20901107788086,32.265647888183594,0.0,0.00021954855692456475,True,1.509255027940526e-05,0.00021954855692456475,,,,,,,,
reconstruction_w4_c1.0_step700,reconstruction,reconstruction,4,1.0,700,37.391258239746094,0.9736254811286926,32.95833969116211,32.23929977416992,0.0,0.00021964923689665738,True,1.5377361546597967e-05,0.00021964923689665738,,,,,,,,
reconstruction_w4_c1.0_step800,reconstruction,reconstruction,4,1.0,800,37.49932861328125,0.9744790196418762,33.250484466552734,32.3326530456543,0.0,0.00021437603954836958,True,1.2354500881883723e-05,0.00021437603954836958,,,,,,,,
