method,layer,n,local_owner_gain,absolute_local_quality_dot,negative_owner_dot_fraction,diagnostic_priority
fixed_ptq_w4_c1.0_test,up_blocks.2.resnets.1.conv1.weight,4,0.0017160228918126407,1.4282494355940811e-05,1.0,99.72051218867472
fixed_ptq_w4_c1.0_test,up_blocks.3.resnets.0.conv1.weight,4,0.0008321089520074344,6.398314338270743e-06,1.0,89.2423954270268
fixed_ptq_w4_c1.0_test,up_blocks.3.resnets.1.conv1.weight,4,0.0007818429887883195,8.07736536056656e-06,0.75,71.05599621878963
fixed_ptq_w4_c1.0_test,up_blocks.3.resnets.1.conv2.weight,4,0.0005100790304803931,4.3534759500227345e-06,1.0,70.07248395164446
fixed_ptq_w4_c1.0_test,up_blocks.2.resnets.2.conv1.weight,4,0.0010868390236989686,1.2975660268590613e-05,1.0,68.34825062043522
fixed_ptq_w4_c1.0_test,up_blocks.3.resnets.0.conv_shortcut.weight,4,0.0013189831997074432,1.9507141450104642e-05,1.0,58.796634163442164
fixed_ptq_w4_c1.0_test,up_blocks.2.resnets.1.conv2.weight,4,0.0007549277970664129,1.584363138331456e-05,1.0,40.22106934701184
fixed_ptq_w4_c1.0_test,up_blocks.2.upsamplers.0.conv.weight,4,0.0006928119301691386,1.7454968162807156e-05,0.75,33.99336639294523
fixed_ptq_w4_c1.0_test,up_blocks.1.resnets.1.conv2.weight,4,0.0007859100586877041,2.369634746543488e-05,0.75,29.520878510511515
fixed_ptq_w4_c1.0_test,up_blocks.1.resnets.0.conv2.weight,4,0.0007412935368354742,2.8697900233033856e-05,0.75,23.44105321191794
fixed_ptq_w4_c1.0_test,up_blocks.1.upsamplers.0.conv.weight,4,0.0010384022097741146,5.622053668998167e-05,1.0,17.556483561326846
fixed_ptq_w4_c1.0_test,mid_block.attentions.0.to_v.weight,4,0.00010433765463973537,3.251499109833096e-06,0.75,16.890416122548917
fixed_ptq_w4_c1.0_test,up_blocks.2.resnets.0.conv2.weight,4,0.0003857303840773137,2.148787124673428e-05,1.0,15.799750494051024
fixed_ptq_w4_c1.0_test,up_blocks.3.resnets.0.conv2.weight,4,0.00014265817404341208,6.193443882980313e-06,0.5,15.643589620109157
fixed_ptq_w4_c1.0_test,up_blocks.1.resnets.2.conv2.weight,4,0.000330758641612008,1.9284761426922907e-05,0.75,14.891933279356277
fixed_ptq_w4_c1.0_test,up_blocks.0.resnets.1.conv2.weight,4,0.00035981740270512474,2.1625799859888074e-05,1.0,14.65554053672253
fixed_ptq_w4_c1.0_test,up_blocks.1.resnets.2.conv1.weight,4,0.0005159931394301332,4.0749994892496056e-05,0.75,11.814159065882267
fixed_ptq_w4_c1.0_test,up_blocks.2.resnets.0.conv1.weight,4,0.00024828769619495106,2.094083763037318e-05,0.75,10.403115459746545
fixed_ptq_w4_c1.0_test,up_blocks.0.resnets.1.conv1.weight,4,0.00034493394954114614,4.082149063085738e-05,0.75,7.884687489236723
fixed_ptq_w4_c1.0_test,up_blocks.2.resnets.2.conv2.weight,4,7.78248126825659e-05,6.978794994526657e-06,0.5,7.857421643204854
fixed_ptq_w4_c1.0_test,up_blocks.2.resnets.0.conv_shortcut.weight,4,0.0004725045237755508,8.578888930712252e-05,1.0,5.32611193386018
fixed_ptq_w4_c1.0_test,conv_out.weight,4,0.0003360077830289768,7.217695494257087e-05,0.75,4.473972363228165
fixed_ptq_w4_c1.0_test,mid_block.attentions.0.to_q.weight,4,1.3801927606139135e-05,3.098469518869709e-07,0.75,4.265545961713316
fixed_ptq_w4_c1.0_test,up_blocks.0.resnets.2.conv1.weight,4,0.00015714447161594742,5.6283024115748274e-05,0.75,2.654070487902154
fixed_ptq_w4_c1.0_test,up_blocks.0.upsamplers.0.conv.weight,4,0.0003087480947187217,0.00011445565093711188,1.0,2.6302964740485257
fixed_ptq_w4_c1.0_test,up_blocks.0.resnets.2.conv2.weight,4,3.8221138467210326e-05,2.1268246181434833e-05,0.75,1.5797726107113588
fixed_ptq_w4_c1.0_test,mid_block.resnets.0.conv1.weight,4,8.939886116449991e-05,6.804261858600456e-05,0.5,1.2596986870242437
fixed_ptq_w4_c1.0_test,conv_in.weight,4,-0.0007152965564625587,0.00012056881424967325,0.0,0.0
fixed_ptq_w4_c1.0_test,up_blocks.0.resnets.0.conv1.weight,4,-0.00015976222470788395,3.2115564448624844e-05,0.5,0.0
fixed_ptq_w4_c1.0_test,up_blocks.0.resnets.0.conv2.weight,4,-0.00036251124295039015,1.625121605891639e-05,0.0,0.0
fixed_ptq_w4_c1.0_test,up_blocks.1.resnets.0.conv1.weight,4,-0.0002493980984000094,4.2394960083867396e-05,0.5,0.0
fixed_ptq_w4_c1.0_test,up_blocks.1.resnets.1.conv1.weight,4,-0.0002984981482266107,3.685973869503377e-05,0.25,0.0
fixed_ptq_w4_c1.0_test,up_blocks.3.resnets.2.conv1.weight,4,-9.01229759065853e-05,2.929817536921179e-06,0.25,0.0
fixed_ptq_w4_c1.0_test,up_blocks.3.resnets.2.conv2.weight,4,-9.987616315134643e-05,2.4564387345956946e-06,0.25,0.0
fixed_ptq_w4_c1.0_test,mid_block.attentions.0.to_k.weight,4,-1.1116500544789866e-05,5.111954473325597e-07,0.25,0.0
fixed_ptq_w4_c1.0_test,mid_block.attentions.0.to_out.0.weight,4,-4.3201174190171695e-05,6.354479149698558e-06,0.75,0.0
fixed_ptq_w4_c1.0_test,mid_block.resnets.0.conv2.weight,4,-0.00018009097112610956,3.7286718807022444e-05,0.5,0.0
fixed_ptq_w4_c1.0_test,mid_block.resnets.1.conv1.weight,4,-0.00043871278719338,1.9415894638786833e-05,0.0,0.0
fixed_ptq_w4_c1.0_test,mid_block.resnets.1.conv2.weight,4,-4.426385675827238e-05,1.6761196705825918e-05,0.5,0.0
fixed_ptq_w8_c1.0_test,up_blocks.3.resnets.1.conv1.weight,4,2.5773258802230194e-05,2.8417942367215217e-08,1.0,601.6687841415545
fixed_ptq_w8_c1.0_test,up_blocks.3.resnets.0.conv1.weight,4,2.2385905532120306e-05,6.866713098059864e-08,1.0,269.4322254619834
fixed_ptq_w8_c1.0_test,up_blocks.2.resnets.1.conv2.weight,4,2.4920742636866463e-05,7.975353359339994e-08,1.0,264.6303991051184
fixed_ptq_w8_c1.0_test,mid_block.resnets.1.conv2.weight,4,1.4308728246308952e-05,5.285565012805841e-08,0.5,212.69329344620388
fixed_ptq_w8_c1.0_test,up_blocks.3.resnets.0.conv_shortcut.weight,4,1.2511485777262102e-05,7.217944305319325e-08,0.75,144.47811671321207
fixed_ptq_w8_c1.0_test,up_blocks.2.resnets.0.conv2.weight,4,1.2398344409379609e-05,8.255122311223026e-08,1.0,127.85809253823454
fixed_ptq_w8_c1.0_test,up_blocks.0.resnets.2.conv2.weight,4,1.1392737122054097e-05,8.387808955601298e-08,0.75,115.90183117299979
fixed_ptq_w8_c1.0_test,conv_in.weight,4,6.12909445563399e-05,6.005269400898986e-07,1.0,99.66893922677698
fixed_ptq_w8_c1.0_test,up_blocks.1.resnets.1.conv1.weight,4,2.3008218334938007e-05,2.1982958830785544e-07,0.75,98.22164791637258
fixed_ptq_w8_c1.0_test,mid_block.resnets.0.conv1.weight,4,2.9238573604350233e-05,3.5415224774965923e-07,0.75,79.32964249898563
fixed_ptq_w8_c1.0_test,up_blocks.0.upsamplers.0.conv.weight,4,3.8035174493482215e-05,5.205745582188802e-07,1.0,71.094726760449
fixed_ptq_w8_c1.0_test,mid_block.attentions.0.to_k.weight,4,1.0326493008000296e-06,1.0610823773468685e-09,0.5,66.711065523116
fixed_ptq_w8_c1.0_test,up_blocks.0.resnets.1.conv1.weight,4,1.5538301329388266e-05,2.433518420564994e-07,0.75,60.279667404465805
fixed_ptq_w8_c1.0_test,up_blocks.1.resnets.0.conv1.weight,4,1.0240058236723092e-05,1.9113452881859607e-07,0.75,49.817148707699054
fixed_ptq_w8_c1.0_test,up_blocks.0.resnets.2.conv1.weight,4,1.1873735083277903e-05,3.0683801789015727e-07,0.5,36.960310643808256
fixed_ptq_w8_c1.0_test,up_blocks.1.resnets.2.conv2.weight,4,6.427725610228488e-08,7.75202394243457e-08,0.5,0.6991325169709451
fixed_ptq_w8_c1.0_test,up_blocks.0.resnets.0.conv1.weight,4,-2.0618695283074646e-06,2.579173642066973e-07,0.5,0.0
fixed_ptq_w8_c1.0_test,up_blocks.0.resnets.0.conv2.weight,4,-9.72133921453105e-07,8.917434497271798e-08,0.5,0.0
fixed_ptq_w8_c1.0_test,up_blocks.0.resnets.1.conv2.weight,4,-3.3786113763850086e-06,1.0742877551636929e-07,0.5,0.0
fixed_ptq_w8_c1.0_test,up_blocks.1.resnets.0.conv2.weight,4,-1.3285785334375188e-05,1.516047989547949e-07,0.75,0.0
fixed_ptq_w8_c1.0_test,up_blocks.1.resnets.1.conv2.weight,4,-8.403822319388477e-07,1.438463361716794e-07,0.5,0.0
fixed_ptq_w8_c1.0_test,up_blocks.1.resnets.2.conv1.weight,4,-3.8014362018491254e-05,2.4021891266717073e-07,0.25,0.0
fixed_ptq_w8_c1.0_test,up_blocks.1.upsamplers.0.conv.weight,4,-7.699299608953048e-05,2.472991256707398e-07,0.0,0.0
fixed_ptq_w8_c1.0_test,up_blocks.2.resnets.0.conv1.weight,4,-4.268261830370645e-06,1.2234294828781427e-07,0.75,0.0
fixed_ptq_w8_c1.0_test,up_blocks.2.resnets.0.conv_shortcut.weight,4,-3.0400310789180345e-05,1.3796919154375374e-07,0.25,0.0
fixed_ptq_w8_c1.0_test,up_blocks.2.resnets.1.conv1.weight,4,-6.5552960458128015e-06,9.13259532310269e-08,0.25,0.0
fixed_ptq_w8_c1.0_test,up_blocks.2.resnets.2.conv1.weight,4,-2.809010993551051e-06,1.0514222651894413e-07,0.5,0.0
fixed_ptq_w8_c1.0_test,up_blocks.2.resnets.2.conv2.weight,4,-2.3118320456045203e-06,1.5225617859901658e-08,0.25,0.0
fixed_ptq_w8_c1.0_test,up_blocks.2.upsamplers.0.conv.weight,4,-1.5554319091792828e-05,1.567253850139504e-07,0.0,0.0
fixed_ptq_w8_c1.0_test,up_blocks.3.resnets.0.conv2.weight,4,-2.805013327655647e-05,1.9025878782497654e-08,0.25,0.0
fixed_ptq_w8_c1.0_test,up_blocks.3.resnets.1.conv2.weight,4,-2.527370935881335e-05,1.500887346448867e-08,0.0,0.0
fixed_ptq_w8_c1.0_test,up_blocks.3.resnets.2.conv1.weight,4,-3.84081975823883e-05,3.782067933502466e-08,0.25,0.0
fixed_ptq_w8_c1.0_test,up_blocks.3.resnets.2.conv2.weight,4,-6.062074177982105e-06,4.501154270067843e-09,0.5,0.0
fixed_ptq_w8_c1.0_test,mid_block.attentions.0.to_q.weight,4,-3.833614685940653e-06,1.29949604290912e-09,0.0,0.0
fixed_ptq_w8_c1.0_test,mid_block.attentions.0.to_v.weight,4,-6.384031812638745e-07,3.994312818687276e-08,0.5,0.0
fixed_ptq_w8_c1.0_test,mid_block.attentions.0.to_out.0.weight,4,-1.022660789048329e-05,3.4741016302582613e-08,0.25,0.0
fixed_ptq_w8_c1.0_test,mid_block.resnets.0.conv2.weight,4,-3.1618838065109037e-06,2.1826531851875534e-07,0.5,0.0
fixed_ptq_w8_c1.0_test,mid_block.resnets.1.conv1.weight,4,-2.3368120937380984e-05,1.1015404875286882e-07,0.25,0.0
fixed_ptq_w8_c1.0_test,conv_out.weight,4,-0.00017266912308473072,2.928831268011168e-07,0.0,0.0
natural_full_finetune_fp32_test,up_blocks.2.resnets.1.conv2.weight,4,0.00012010296713393168,6.856667305678896e-06,1.0,14.508572799556628
natural_full_finetune_fp32_test,up_blocks.2.resnets.2.conv1.weight,4,0.0001537356931906392,1.7970116399599238e-05,1.0,7.927986464147376
natural_full_finetune_fp32_test,up_blocks.3.resnets.0.conv1.weight,4,7.155423969265945e-05,7.921415666557683e-06,1.0,7.658743258438777
natural_full_finetune_fp32_test,up_blocks.2.resnets.1.conv1.weight,4,0.00012926637279104075,1.8945718700700257e-05,1.0,6.346816344459722
natural_full_finetune_fp32_test,up_blocks.2.resnets.0.conv2.weight,4,9.67520927427197e-05,1.6767091354087452e-05,1.0,5.319412242440514
natural_full_finetune_fp32_test,up_blocks.2.upsamplers.0.conv.weight,4,0.0002540424535688728,5.56435122163992e-05,1.0,4.451815240468727
natural_full_finetune_fp32_test,up_blocks.2.resnets.0.conv_shortcut.weight,4,0.00042698138113025376,0.0001485585643504506,1.0,2.8469227744910683
natural_full_finetune_fp32_test,up_blocks.2.resnets.2.conv2.weight,4,9.276035355790704e-05,3.1315610680131945e-05,1.0,2.8335008832594433
natural_full_finetune_fp32_test,up_blocks.2.resnets.0.conv1.weight,4,0.00012539572792908242,4.793958797089989e-05,1.0,2.5403811533797462
natural_full_finetune_fp32_test,up_blocks.3.resnets.0.conv_shortcut.weight,4,0.00014175069294947157,5.7279919436596064e-05,1.0,2.4147785799485217
natural_full_finetune_fp32_test,up_blocks.3.resnets.1.conv1.weight,4,3.2887301457517097e-05,2.1982421508764088e-05,1.0,1.4052106415543468
natural_full_finetune_fp32_test,mid_block.resnets.0.conv2.weight,4,8.132498644202338e-05,5.8915011804957254e-05,1.0,1.347859139905993
natural_full_finetune_fp32_test,up_blocks.3.resnets.1.conv2.weight,4,5.296958196801012e-05,3.796516867838929e-05,1.0,1.3448640343390084
natural_full_finetune_fp32_test,up_blocks.1.resnets.2.conv1.weight,4,9.742141389158657e-05,7.118290303387679e-05,1.0,1.3418131916363694
natural_full_finetune_fp32_test,conv_out.weight,4,9.818959927820985e-05,7.548124972756742e-05,1.0,1.2768038218040605
natural_full_finetune_fp32_test,up_blocks.3.resnets.2.conv1.weight,4,3.913792794312502e-05,3.0228862215755e-05,1.0,1.2365750889021319
natural_full_finetune_fp32_test,up_blocks.1.resnets.1.conv1.weight,4,5.101561390632634e-05,4.029305041266891e-05,1.0,1.22297216660346
natural_full_finetune_fp32_test,up_blocks.3.resnets.0.conv2.weight,4,4.553789119508886e-05,3.609037281657085e-05,1.0,1.2139625958712004
natural_full_finetune_fp32_test,up_blocks.0.upsamplers.0.conv.weight,4,0.00019177210311726144,0.00015923781402917857,1.0,1.193657657421703
natural_full_finetune_fp32_test,up_blocks.1.resnets.0.conv2.weight,4,7.239674221703062e-05,6.421165925354117e-05,1.0,1.1030529605124837
natural_full_finetune_fp32_test,up_blocks.1.upsamplers.0.conv.weight,4,0.00026753753983848596,0.00024189520921577288,1.0,1.0995449049158645
natural_full_finetune_fp32_test,up_blocks.1.resnets.1.conv2.weight,4,5.4415379688746616e-05,6.942425144429418e-05,1.0,0.7680835345069936
natural_full_finetune_fp32_test,up_blocks.3.resnets.2.conv2.weight,4,2.3164241922981e-05,2.9565064463036186e-05,1.0,0.7475599761631797
