method,comparison_group,role,detector,test_quality_valid,search_quality_valid,bit_accuracy,tpr,n,evasion_rate,evasion_ci95_low,evasion_ci95_high,mean_abs_bit_accuracy_minus_half,detected_count,tpr_ci95_low,tpr_ci95_high,threshold_matches,lower_threshold_matches,lpips,psnr,ssim,highpass_energy_ratio,highpass_mse,reference_valid,total_bits,correct_bits,error_bits,net_additional_bit_errors,decoding_improved_images,decoding_worsened_images,decoding_tied_images,exact_message_accuracy,bit_accuracy_drop_pp,bit_accuracy_drop_ci95_low_pp,bit_accuracy_drop_ci95_high_pp,survival_on_originally_detected,evasion_on_originally_detected,survival_ci95_low,survival_ci95_high,tpr_drop_percentage_points,tpr_drop_ci95_low_pp,tpr_drop_ci95_high_pp,bit_accuracy_retained_percent,tpr_retained_percent
marked_reference_test,,reference,double,True,,0.985625,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.485625,99,0.9455138038212946,0.9982325679358593,36,12,0.0,120.0,1.0,1.0,0.0,True,4800,4731,69,0,0,0,100,0.75,0.0,0.0,0.0,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,100.0,100.0
pseudo_target_test,,diagnostic,double,True,,0.9814583333333331,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.48145833333333343,99,0.9455138038212946,0.9982325679358593,36,12,0.01303590188268572,41.636995010375976,0.9925714315192385,0.6611548715829849,6.312042258286965e-05,True,4800,4711,89,20,1,15,84,0.69,0.4166666666666667,0.20833333333333323,0.6666666666666664,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.57725639399702,100.0
fixed_ptq_w8_c1.0_test,w8_c1.0_all,candidate,double,True,True,0.9852083333333332,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.4852083333333333,99,0.9455138038212946,0.9982325679358593,36,12,0.00019757633192057255,56.706695556640625,0.9997078776359558,0.998166937828064,1.5602092038591308e-06,True,4800,4729,71,2,0,2,98,0.74,0.041666666666666664,0.0,0.10416666666666662,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.9577256393997,100.0
reconstruction_w8_c1.0_test,w8_c1.0_all,candidate,double,True,True,0.9854166666666667,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.48541666666666666,99,0.9455138038212946,0.9982325679358593,36,12,0.0001808998759224778,56.814353942871094,0.9997041821479797,0.9957695180177688,1.3943979421071616e-06,True,4800,4730,70,1,0,1,99,0.75,0.020833333333333332,0.0,0.06250000000000011,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.97886281969986,100.0
natural_residual_w8_c1.0_test,w8_c1.0_all,candidate,double,True,True,0.9810416666666667,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.48104166666666665,99,0.9455138038212946,0.9982325679358593,36,12,0.015152853643521667,37.941123962402344,0.9792723059654236,0.8282636499404907,0.00011149807590300043,True,4800,4709,91,22,9,22,69,0.7,0.4583333333333333,0.08333333333333326,0.8749999999999998,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.53498203339676,100.0
natural_residual_qat_w8_c1.0_test,w8_c1.0_all,candidate,double,True,True,0.98125,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.48125,99,0.9455138038212946,0.9982325679358593,36,12,0.014605761945713312,38.262882232666016,0.9807575941085815,0.8332720476388932,0.0001034250644443091,True,4800,4710,90,21,8,20,72,0.7,0.4375,0.08333333333333315,0.8541666666666664,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.55611921369689,100.0
fixed_ptq_w4_c1.0_test,w4_c1.0_all,candidate,double,True,True,0.9835416666666669,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.48354166666666665,99,0.9455138038212946,0.9982325679358593,36,12,0.02316638145595789,33.00655746459961,0.9395577311515808,0.8951219093799591,0.00032946307237580186,True,4800,4721,79,10,6,11,83,0.71,0.20833333333333334,-0.04166666666666674,0.47916666666666635,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.78862819699854,100.0
reconstruction_w4_c1.0_test,w4_c1.0_all,candidate,double,True,True,0.984375,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.484375,99,0.9455138038212946,0.9982325679358593,36,12,0.010194453231524675,37.19742202758789,0.9718563556671143,0.9121979677677154,0.0001573562093108194,True,4800,4725,75,6,5,11,84,0.72,0.125,-0.04166666666666674,0.2916666666666664,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.87317691819912,100.0
natural_residual_w4_c1.0_test,w4_c1.0_all,candidate,double,False,False,0.7652083333333332,0.63,100,0.37,0.28182360534324535,0.4677947041905709,0.2660416666666666,63,0.5322052958094291,0.7181763946567546,36,12,0.043267123382538554,29.47327423095703,0.8209212422370911,0.7489925211668015,0.000899755018617725,True,4800,3673,1127,1058,0,100,0,0.0,22.041666666666668,20.35364583333333,23.666666666666664,0.6363636363636364,0.36363636363636365,0.5381589889509573,0.7243810441214535,36.0,27.0,45.0,77.63686324244344,63.63636363636364
natural_residual_qat_w4_c1.0_test,w4_c1.0_all,candidate,double,False,False,0.8424999999999998,0.83,100,0.17000000000000004,0.10893566114059938,0.2554800476760113,0.3425000000000001,83,0.7445199523239887,0.8910643388594006,36,12,0.039826676873490216,29.951562881469727,0.8387230038642883,0.7607224488258362,0.0008106269840936875,True,4800,4044,756,687,0,100,0,0.0,14.3125,12.916666666666664,15.666666666666664,0.8383838383838383,0.16161616161616166,0.7534877137077101,0.8980005165090128,16.000000000000004,9.0,23.0,85.47875713379834,83.83838383838383
natural_full_finetune_fp32_test,fp32_unrestricted_decoder_control,finetune_control,double,False,False,0.6258333333333335,0.07,100,0.9299999999999999,0.8625048526092649,0.9656807389327273,0.1420833333333333,7,0.03431926106727269,0.13749514739073504,36,12,0.048370263446122407,28.88941192626953,0.8150022625923157,0.6536595350503922,0.0009390535921556875,True,4800,3004,1796,1727,0,100,0,0.0,35.979166666666664,34.208333333333336,37.750520833333326,0.0707070707070707,0.9292929292929293,0.0346702302832347,0.13881485078510195,92.0,87.0,97.0,63.49608962164449,7.070707070707072
reconstruction_w4_c1.0_final_test,w4_c1.0_all,endpoint_control,double,True,True,0.9839583333333334,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.48395833333333327,99,0.9455138038212946,0.9982325679358593,36,12,0.01003762240987271,37.15449905395508,0.9721394181251526,0.922442569732666,0.00015694931124016876,True,4800,4723,77,8,6,11,83,0.73,0.16666666666666666,-0.020833333333333703,0.3750000000000001,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.83090255759883,100.0
reconstruction_w8_c1.0_final_test,w8_c1.0_all,endpoint_control,double,True,True,0.9854166666666667,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.48541666666666666,99,0.9455138038212946,0.9982325679358593,36,12,0.0001805667093867669,56.791114807128906,0.9997040033340454,0.9961712127923965,1.3821310297146282e-06,True,4800,4730,70,1,0,1,99,0.75,0.020833333333333332,0.0,0.06250000000000011,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.97886281969986,100.0
