candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,selection_objective
natural_residual_w4_c1.0_step0,rtn_fallback,natural_residual,4,1.0,0,33.350563049316406,0.943604588508606,29.569313049316406,28.79359245300293,0.0,0.004609984279966284,True,8.52526811286225e-05,0.0005406601558206603,0.004609984279966284,0.08563281597889727,0.031471448441038774,,0.0446873406594591
natural_residual_w4_c1.0_step100,natural_residual,natural_residual,4,1.0,100,31.015024185180664,0.8859753608703613,25.979219436645508,25.485958099365234,0.05000000074505806,0.003977196754647139,True,6.721893823851133e-05,0.000977922760648653,0.003977196754647139,0.07020987930445699,0.02578825237719684,,0.03682004653140893
natural_residual_w4_c1.0_step200,natural_residual,natural_residual,4,1.0,200,30.31549644470215,0.8611453175544739,24.819002151489258,24.625083923339844,0.25,0.003982808069025623,True,7.912571927590762e-05,0.0011939896445255726,0.003982808069025623,0.06683186283044051,0.02531587163309723,,0.03602142884480486
natural_residual_w4_c1.0_step300,natural_residual,natural_residual,4,1.0,300,29.941640853881836,0.8458163142204285,24.325742721557617,24.175100326538086,0.3499999940395355,0.003933106069041514,True,7.064122000883799e-05,0.0013040787016507238,0.003933106069041514,0.0643779855381581,0.024895147893005287,,0.03530137312586703
natural_residual_w4_c1.0_step400,natural_residual,natural_residual,4,1.0,400,29.767480850219727,0.8366931676864624,24.162355422973633,23.8065128326416,0.3499999940395355,0.003956935927391214,True,7.06892724338104e-05,0.0013765633062575943,0.003956935927391214,0.06260140263475478,0.024806020642017756,,0.03505844146910135
natural_residual_w4_c1.0_step500,natural_residual,natural_residual,4,1.0,500,29.68490219116211,0.832256019115448,23.98656463623047,23.596698760986328,0.3499999940395355,0.00388254668001764,True,7.606796716572717e-05,0.0014027420285856352,0.00388254668001764,0.06210476131673204,0.02454016391686764,,0.03467122071214135
natural_residual_w4_c1.0_step600,natural_residual,natural_residual,4,1.0,600,29.668310165405273,0.8291105031967163,23.94354820251465,23.620784759521484,0.4000000059604645,0.0038684765608962834,True,6.893925128679257e-05,0.0014087087736697867,0.0038684765608962834,0.06134967693287763,0.02437038929207347,,0.03440830317190091
natural_residual_w4_c1.0_step700,natural_residual,natural_residual,4,1.0,700,29.633159637451172,0.8268462419509888,23.86421012878418,23.581298828125,0.4000000059604645,0.003876151378506165,True,7.122530205379007e-05,0.0014310007260064594,0.003876151378506165,0.06055805172218243,0.024254655342986098,,0.034222224544737403
natural_residual_w4_c1.0_step800,natural_residual,natural_residual,4,1.0,800,29.6772403717041,0.8275882601737976,23.994922637939453,23.67354393005371,0.4000000059604645,0.003836122502931971,True,6.519166727230186e-05,0.0014051818885491229,0.003836122502931971,0.060128208533569705,0.024171788986109277,,0.03405332817603437
natural_residual_w4_c1.0_step900,natural_residual,natural_residual,4,1.0,900,29.675846099853516,0.8280389904975891,23.958354949951172,23.629817962646484,0.3499999940395355,0.0038342172821614895,True,6.853279019196634e-05,0.0014135884179268033,0.0038342172821614895,0.05981154675828293,0.02412810974851709,,0.03397774810160285
natural_residual_w4_c1.0_step1000,natural_residual,natural_residual,4,1.0,1000,29.660297393798828,0.8266304135322571,23.92917823791504,23.58533477783203,0.4000000059604645,0.003837778689316451,True,6.568686449099914e-05,0.0014210840876330622,0.003837778689316451,0.059636870078975335,0.024110030930501125,,0.03394434005996061
