candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,selection_objective
reconstruction_w8_c1.0_step0,rtn_fallback,reconstruction,8,1.0,0,57.079833984375,0.9997356534004211,53.20294952392578,52.35723114013672,0.0,2.3042802979489354e-06,True,3.0519668321460357e-07,2.3042802979489354e-06
reconstruction_w8_c1.0_step100,reconstruction,reconstruction,8,1.0,100,57.08173370361328,0.9997393488883972,53.14094543457031,52.524505615234375,0.0,2.265676326373978e-06,True,2.8435620897937496e-07,2.265676326373978e-06
reconstruction_w8_c1.0_step200,reconstruction,reconstruction,8,1.0,200,57.16851806640625,0.99974125623703,53.25927734375,52.622737884521484,0.0,2.221833779003646e-06,True,2.7966169895421445e-07,2.221833779003646e-06
reconstruction_w8_c1.0_step300,reconstruction,reconstruction,8,1.0,300,57.03142166137695,0.9997410774230957,53.39168167114258,52.68281936645508,0.0,2.2619350772856707e-06,True,3.240013914052042e-07,2.2619350772856707e-06
reconstruction_w8_c1.0_step400,reconstruction,reconstruction,8,1.0,400,57.168312072753906,0.9997389912605286,53.4085807800293,52.76139831542969,0.0,2.20500654108946e-06,True,2.974952879597481e-07,2.20500654108946e-06
reconstruction_w8_c1.0_step500,reconstruction,reconstruction,8,1.0,500,57.19252395629883,0.9997426271438599,53.493831634521484,52.869686126708984,0.0,2.1844029930662146e-06,True,3.068685089147039e-07,2.1844029930662146e-06
reconstruction_w8_c1.0_step600,reconstruction,reconstruction,8,1.0,600,57.06101608276367,0.9997352361679077,53.45287322998047,52.818504333496094,0.0,2.2412706584873376e-06,True,3.478184687821795e-07,2.2412706584873376e-06
reconstruction_w8_c1.0_step700,reconstruction,reconstruction,8,1.0,700,57.204856872558594,0.9997334480285645,53.50602722167969,52.933345794677734,0.0,2.1723091123249104e-06,True,3.127975865879762e-07,2.1723091123249104e-06
reconstruction_w8_c1.0_step800,reconstruction,reconstruction,8,1.0,800,57.1876220703125,0.9997328519821167,53.515262603759766,52.93113327026367,0.0,2.1790342657368457e-06,True,3.241282147570246e-07,2.1790342657368457e-06
reconstruction_w8_c1.0_step900,reconstruction,reconstruction,8,1.0,900,57.217193603515625,0.999736487865448,53.52079772949219,52.94933319091797,0.0,2.162695381002777e-06,True,3.085345786857374e-07,2.162695381002777e-06
reconstruction_w8_c1.0_step1000,reconstruction,reconstruction,8,1.0,1000,57.15366744995117,0.9997394680976868,53.53086471557617,52.91004943847656,0.0,2.192049151972242e-06,True,3.2536335368149596e-07,2.192049151972242e-06
