step,applied,reason,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate
1,True,,,,,5.4327269026543945e-05,0.0,3.5837991163134575e-05,7.224626460811123e-05,0.0,0.0,0.0,0.0,1.285284952246002e-06,0.0005
2,True,,,,,9.601294550520834e-06,0.0,2.6659381546778604e-06,1.0934263627859764e-05,0.0,0.0,0.0,0.0,2.425402101380314e-07,0.001
3,True,,,,,2.814072558976477e-06,0.0,9.310505220128107e-07,3.2795978768263012e-06,0.0,0.0,0.0,0.0,1.4743925191851304e-07,0.0015
4,True,,,,,3.971239493694156e-06,0.0,1.167283130598662e-06,4.554880888463231e-06,0.0,0.0,0.0,0.0,1.4401651071693777e-07,0.002
5,True,,,,,9.293969924328849e-06,0.0,3.71090391126927e-06,1.1149421879963484e-05,0.0,0.0,0.0,0.0,2.008791852858849e-07,0.0025
6,True,,,,,9.248118658433668e-06,0.0,7.241010735015152e-06,1.286862425331492e-05,0.0,0.0,0.0,0.0,4.5877564502916357e-07,0.003
7,True,,,,,9.625060556572862e-06,0.0,3.7630722999892896e-06,1.1506596820254344e-05,0.0,0.0,0.0,0.0,2.07514418093524e-07,0.0035000000000000005
8,True,,,,,9.999364920076914e-06,0.0,4.555874511424918e-06,1.2277301721042022e-05,0.0,0.0,0.0,0.0,2.932831080215692e-07,0.004
9,True,,,,,1.0501717042643577e-05,0.0,4.772628471982898e-06,1.288803105126135e-05,0.0,0.0,0.0,0.0,3.1853522841629456e-07,0.0045
10,True,,,,,2.6866687221627217e-06,0.0,6.182896754580725e-07,2.9958134746266296e-06,0.0,0.0,0.0,0.0,1.0756230750530449e-07,0.005
11,True,,,,,3.268664841016289e-06,0.0,1.6597062995060696e-06,4.098517820239067e-06,0.0,0.0,0.0,0.0,1.451135176466778e-07,0.0055
12,True,,,,,5.615132977254689e-06,0.0,1.9098711163678672e-06,6.570068762812298e-06,0.0,0.0,0.0,0.0,1.5584875256990927e-07,0.006
13,True,,,,,6.358537211781368e-05,0.0,4.0144717786461115e-05,8.365773101104423e-05,0.0,0.0,0.0,0.0,1.3191630614528549e-06,0.006500000000000001
14,True,,,,,7.648054634046275e-06,0.0,3.943463980249362e-06,9.61978639679728e-06,0.0,0.0,0.0,0.0,2.6046544121527404e-07,0.007000000000000001
