method,layer,n,local_owner_gain,absolute_local_quality_dot,negative_owner_dot_fraction,diagnostic_priority
fixed_ptq_w8_c1.0_test,up_blocks.3.resnets.1.conv1.weight,4,2.5773265604486784e-05,2.841794408972049e-08,1.0,601.6689240561869
fixed_ptq_w8_c1.0_test,up_blocks.3.resnets.0.conv1.weight,4,2.2385890419762208e-05,6.866713065872568e-08,1.0,269.43204584288657
fixed_ptq_w8_c1.0_test,up_blocks.2.resnets.1.conv2.weight,4,2.492077812400416e-05,7.97535498748088e-08,1.0,264.6307312494557
fixed_ptq_w8_c1.0_test,mid_block.resnets.1.conv2.weight,4,1.4308750554757846e-05,5.285564899174673e-08,0.5,212.69362984026907
fixed_ptq_w8_c1.0_test,up_blocks.3.resnets.0.conv_shortcut.weight,4,1.251149007996732e-05,7.217944412161495e-08,0.75,144.47816524772716
fixed_ptq_w8_c1.0_test,up_blocks.2.resnets.0.conv2.weight,4,1.2398369529422157e-05,8.255123780587691e-08,1.0,127.85833271349603
fixed_ptq_w8_c1.0_test,up_blocks.0.resnets.2.conv2.weight,4,1.139274577809034e-05,8.387806506384643e-08,0.75,115.90194855832218
fixed_ptq_w8_c1.0_test,conv_in.weight,4,6.129093269624202e-05,6.005269230206007e-07,1.0,99.66892276819804
fixed_ptq_w8_c1.0_test,up_blocks.1.resnets.1.conv1.weight,4,2.3008187906666264e-05,2.1982966110133234e-07,0.75,98.22148765451699
fixed_ptq_w8_c1.0_test,mid_block.resnets.0.conv1.weight,4,2.923860857562727e-05,3.5415227763661083e-07,0.75,79.32973103115636
fixed_ptq_w8_c1.0_test,up_blocks.0.upsamplers.0.conv.weight,4,3.803516814153739e-05,5.20574540099515e-07,1.0,71.09471734562068
fixed_ptq_w8_c1.0_test,mid_block.attentions.0.to_k.weight,4,1.032648543590247e-06,1.0610851535925482e-09,0.5,66.7110062711626
fixed_ptq_w8_c1.0_test,up_blocks.0.resnets.1.conv1.weight,4,1.5538301161881006e-05,2.433518302003202e-07,0.75,60.279669615646505
fixed_ptq_w8_c1.0_test,up_blocks.1.resnets.0.conv1.weight,4,1.024005852339493e-05,1.9113452377231703e-07,0.75,49.8171514169943
fixed_ptq_w8_c1.0_test,up_blocks.0.resnets.2.conv1.weight,4,1.187370418288003e-05,3.068379822723212e-07,0.5,36.9602185990116
fixed_ptq_w8_c1.0_test,up_blocks.1.resnets.2.conv2.weight,4,6.424255135493951e-08,7.752023417989283e-08,0.5,0.6987550822133561
fixed_ptq_w8_c1.0_test,up_blocks.0.resnets.0.conv1.weight,4,-2.0618560691622147e-06,2.579173111192051e-07,0.5,0.0
fixed_ptq_w8_c1.0_test,up_blocks.0.resnets.0.conv2.weight,4,-9.72102751764923e-07,8.917433336081594e-08,0.5,0.0
fixed_ptq_w8_c1.0_test,up_blocks.0.resnets.1.conv2.weight,4,-3.378591310304702e-06,1.0742877535312628e-07,0.5,0.0
fixed_ptq_w8_c1.0_test,up_blocks.1.resnets.0.conv2.weight,4,-1.3285766574323505e-05,1.516047740607609e-07,0.75,0.0
fixed_ptq_w8_c1.0_test,up_blocks.1.resnets.1.conv2.weight,4,-8.403914394899774e-07,1.4384630728898284e-07,0.5,0.0
fixed_ptq_w8_c1.0_test,up_blocks.1.resnets.2.conv1.weight,4,-3.801435905132339e-05,2.402189251606802e-07,0.25,0.0
fixed_ptq_w8_c1.0_test,up_blocks.1.upsamplers.0.conv.weight,4,-7.699301395321441e-05,2.472990776250922e-07,0.0,0.0
fixed_ptq_w8_c1.0_test,up_blocks.2.resnets.0.conv1.weight,4,-4.268262391647679e-06,1.2234298086533294e-07,0.75,0.0
fixed_ptq_w8_c1.0_test,up_blocks.2.resnets.0.conv_shortcut.weight,4,-3.040032788982945e-05,1.3796919165967226e-07,0.25,0.0
fixed_ptq_w8_c1.0_test,up_blocks.2.resnets.1.conv1.weight,4,-6.555319090018517e-06,9.132597114358496e-08,0.25,0.0
fixed_ptq_w8_c1.0_test,up_blocks.2.resnets.2.conv1.weight,4,-2.809004175058743e-06,1.0514221532613623e-07,0.5,0.0
fixed_ptq_w8_c1.0_test,up_blocks.2.resnets.2.conv2.weight,4,-2.311865088748108e-06,1.522561387275355e-08,0.25,0.0
fixed_ptq_w8_c1.0_test,up_blocks.2.upsamplers.0.conv.weight,4,-1.5554313301908346e-05,1.5672539525806407e-07,0.0,0.0
fixed_ptq_w8_c1.0_test,up_blocks.3.resnets.0.conv2.weight,4,-2.8050131477264657e-05,1.9025878233982398e-08,0.25,0.0
fixed_ptq_w8_c1.0_test,up_blocks.3.resnets.1.conv2.weight,4,-2.5273703960239578e-05,1.5008871991879596e-08,0.0,0.0
fixed_ptq_w8_c1.0_test,up_blocks.3.resnets.2.conv1.weight,4,-3.840818576455836e-05,3.782067958496522e-08,0.25,0.0
fixed_ptq_w8_c1.0_test,up_blocks.3.resnets.2.conv2.weight,4,-6.062072858974404e-06,4.501154270067844e-09,0.5,0.0
fixed_ptq_w8_c1.0_test,mid_block.attentions.0.to_q.weight,4,-3.833616628596952e-06,1.2994955878005546e-09,0.0,0.0
fixed_ptq_w8_c1.0_test,mid_block.attentions.0.to_v.weight,4,-6.384038972471242e-07,3.9943122803893673e-08,0.5,0.0
fixed_ptq_w8_c1.0_test,mid_block.attentions.0.to_out.0.weight,4,-1.022660711774948e-05,3.474101236401092e-08,0.25,0.0
fixed_ptq_w8_c1.0_test,mid_block.resnets.0.conv2.weight,4,-3.1618849140563458e-06,2.1826529561671488e-07,0.5,0.0
fixed_ptq_w8_c1.0_test,mid_block.resnets.1.conv1.weight,4,-2.3368123013311015e-05,1.1015402259759378e-07,0.25,0.0
fixed_ptq_w8_c1.0_test,conv_out.weight,4,-0.0001726691328826289,2.928831281146554e-07,0.0,0.0
natural_full_finetune_fp32_test,up_blocks.2.resnets.1.conv2.weight,4,0.00010139545803805342,8.83390764053053e-06,1.0,9.778478612730686
natural_full_finetune_fp32_test,up_blocks.3.resnets.0.conv1.weight,4,6.634111982933841e-05,6.207585425453922e-06,1.0,8.567966680339893
natural_full_finetune_fp32_test,up_blocks.2.resnets.2.conv1.weight,4,0.00015245359608842063,2.1985110357931734e-05,1.0,6.481746702705676
