candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,selection_objective,code_change_fraction_vs_rtn,code_offset_rms,code_offset_ge_one_fraction
natural_residual_qat_w8_c1.0_step0,rtn_fallback,natural_residual_qat,8,1.0,0,57.079551696777344,0.9997357130050659,53.200199127197266,52.35443115234375,0.0,0.00448062992109044,True,3.0512774955582246e-07,2.304731731328502e-06,0.00448062992109044,0.07531345781171694,0.03073531175948574,,0.042747897717246984,0.0,0.0,0.0
natural_residual_qat_w8_c1.0_step100,natural_residual_qat,natural_residual_qat,8,1.0,100,43.450279235839844,0.9952395558357239,38.62813949584961,38.5245475769043,0.0,0.004246389577758691,True,4.9697228234890645e-06,5.715851475542877e-05,0.004246389577758691,0.07741673324198928,0.02838975156930701,,0.04038775391691161,0.008104315958917141,0.011562836981829331,0.0
natural_residual_qat_w8_c1.0_step200,natural_residual_qat,natural_residual_qat,8,1.0,200,41.412628173828125,0.9918776750564575,36.47455978393555,36.456214904785156,0.0,0.0041671911740195355,True,8.045938773193485e-06,9.11689743588795e-05,0.0041671911740195355,0.07797167085664114,0.02771673187385204,,0.03969718201108208,0.012351954355835915,0.017876070272934128,0.0
natural_residual_qat_w8_c1.0_step300,natural_residual_qat,natural_residual_qat,8,1.0,300,40.30839920043945,0.9890542030334473,35.289695739746094,35.1945915222168,0.0,0.004127386422226209,True,9.009635653001169e-06,0.00011801515211118385,0.004127386422226209,0.07816918844036991,0.02731066786725478,,0.03927299240482398,0.015648718923330307,0.02283357973329997,0.0
natural_residual_qat_w8_c1.0_step400,natural_residual_qat,natural_residual_qat,8,1.0,400,39.734378814697266,0.9872838258743286,34.73978805541992,34.58182907104492,0.0,0.004102467828488443,True,9.91968111065944e-06,0.0001341207464065519,0.004102467828488443,0.0777321430578013,0.027104029040401656,,0.038999550536891546,0.01805080659687519,0.026471673824866794,0.0
natural_residual_qat_w8_c1.0_step500,natural_residual_qat,natural_residual_qat,8,1.0,500,39.27560806274414,0.9855680465698242,34.27362060546875,34.060672760009766,0.0,0.004089681146979274,True,1.0324422487428819e-05,0.00014905106309015537,0.004089681146979274,0.07736280086101033,0.026944958677972863,,0.03879156875602803,0.01999145932495594,0.02943224329372206,0.0
natural_residual_qat_w8_c1.0_step600,natural_residual_qat,natural_residual_qat,8,1.0,600,38.94925308227539,0.9843894839286804,33.9946174621582,33.747703552246094,0.0,0.004078217213645985,True,1.0850592298083939e-05,0.00016005709603632566,0.004078217213645985,0.07709434102434898,0.026847798958669955,,0.038657151459347006,0.02134532667696476,0.03150252112437607,0.0
natural_residual_qat_w8_c1.0_step700,natural_residual_qat,natural_residual_qat,8,1.0,700,38.74749755859375,0.9835243225097656,33.79283142089844,33.521724700927734,0.0,0.004069150388090748,True,1.1192553336059063e-05,0.0001675374996921164,0.004069150388090748,0.07693209718127036,0.0267783850390515,,0.0385631302519414,0.022315753623843193,0.03299693113056806,0.0
natural_residual_qat_w8_c1.0_step800,natural_residual_qat,natural_residual_qat,8,1.0,800,38.60852813720703,0.9829003214836121,33.65138244628906,33.366817474365234,0.0,0.004065000895138837,True,1.169721979294991e-05,0.00017299032006121707,0.004065000895138837,0.07678947832027916,0.026734821700301836,,0.03850216486705449,0.02294476330280304,0.033963839997063205,0.0
natural_residual_qat_w8_c1.0_step900,natural_residual_qat,natural_residual_qat,8,1.0,900,38.53662109375,0.9825701713562012,33.5742301940918,33.288604736328125,0.0,0.004062869668132407,True,1.1921586610696977e-05,0.0001759055341608473,0.004062869668132407,0.07669595642801141,0.02671017911166018,,0.03846648759581512,0.02331598848104477,0.034544478006445035,0.0
natural_residual_qat_w8_c1.0_step1000,natural_residual_qat,natural_residual_qat,8,1.0,1000,38.4806022644043,0.9822637438774109,33.51029586791992,33.22303009033203,0.0,0.0040609723076840964,True,1.204852546834445e-05,0.0001782950008418993,0.0040609723076840964,0.0766442063904833,0.026689781692994075,,0.03843927169066319,0.023607926443219185,0.034996248106941276,0.0
