step,applied,reason,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate
1,True,,,,,0.004646326880902052,0.08248104155063629,5.96660356677603e-05,0.045338138937950134,0.032324373722076416,0.0,0.0,0.0,0.0003386621247045696,0.0005
2,True,,,,,0.002834942191839218,0.0687127411365509,0.000130976943182759,0.032015927135944366,0.022047756239771843,0.0,0.0,0.0,0.0003227285633329302,0.001
3,True,,,,,0.0030628014355897903,0.0626709908246994,9.40842874115333e-05,0.027511296793818474,0.017993228510022163,0.0,0.0,0.0,0.00026206488837487996,0.0015
4,True,,,,,0.002602512715384364,0.06297454237937927,0.00010881252819672227,0.025327248498797417,0.01620965637266636,0.0,0.0,0.0,0.00025240847025997937,0.002
5,True,,,,,0.004722177982330322,0.08618815243244171,6.453876267187297e-05,0.04790830239653587,0.034438230097293854,0.0,0.0,0.0,0.0003164558147545904,0.0025
6,True,,,,,0.006119491532444954,0.11653557419776917,9.093819244299084e-05,0.05960638076066971,0.04165145754814148,0.0,0.0,0.0,0.0003054457774851471,0.003
7,True,,,,,0.004585264716297388,0.10240155458450317,4.855950828641653e-05,0.045416850596666336,0.030494309961795807,0.0,0.0,0.0,0.00030422021518461406,0.0035000000000000005
8,True,,,,,0.003351814579218626,0.07280087471008301,4.306270420784131e-05,0.03246085345745087,0.02174282632768154,0.0,0.0,0.0,0.00028064745129086077,0.004
9,True,,,,,0.009504996240139008,0.14329849183559418,3.246965570724569e-05,0.09238667786121368,0.06848689168691635,0.0,0.0,0.0,0.00032818992622196674,0.0045
10,True,,,,,0.0023240058217197657,0.06900979578495026,8.928371244110167e-05,0.0251215398311615,0.015717986971139908,0.0,0.0,0.0,0.00023374530428554863,0.005
11,True,,,,,0.003989823162555695,0.10067832469940186,4.712303780252114e-05,0.04168156534433365,0.02752966433763504,0.0,0.0,0.0,0.00019913080905098468,0.0055
12,True,,,,,0.0036016739904880524,0.09122494608163834,7.33620545361191e-05,0.035518527030944824,0.022647632285952568,0.0,0.0,0.0,0.00018696697952691466,0.006
13,True,,,,,0.00381954456679523,0.0987553521990776,5.066805169917643e-05,0.04174765571951866,0.02795124053955078,0.0,0.0,0.0,0.0002494004147592932,0.006500000000000001
