method,parameter_space,test_index,seed,layer,error_l2,owner_error_dot,owner_error_cosine,owner_gradient_l2,quality_error_dot,quality_error_cosine,quality_gradient_l2,ownership_score,image_mse
fixed_ptq_w8_c1.0_test,quantized,0,3459,conv_in.weight,0.0837320263089241,-6.235649145738643e-05,-0.008426432578193076,0.08837843763232488,4.490651929964932e-07,0.03267117506522393,0.0001641545928341082,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.resnets.0.conv1.weight,1.1918811636973365,-3.982736787787662e-06,-0.00012969894341260789,0.02576393596934197,4.0972633660870726e-07,0.005943850953512615,5.783530280360255e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.resnets.0.conv2.weight,0.8195175184916672,-2.8457364909464206e-05,-0.0009052339573137311,0.03835973552381386,1.3053854154040946e-07,0.0018547909682169784,8.58787158878856e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.resnets.1.conv1.weight,1.2024793667778395,2.2952196599165387e-06,6.671269428067883e-05,0.028611336264822616,3.443367890935499e-07,0.004159304847383096,6.884700307671164e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.resnets.1.conv2.weight,0.76366091380036,2.259279735727645e-05,0.0006559436410537923,0.04510273914897843,1.488005395542957e-07,0.0018637113564638709,0.00010455030198329718,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.resnets.2.conv1.weight,1.258696229445508,9.332323315638901e-06,0.0002567012067715982,0.02888290919274935,3.849661843386573e-07,0.00452708036406265,6.755903649477112e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.resnets.2.conv2.weight,0.7679976490921732,1.3717048764324461e-05,0.00039158362615312304,0.045611700946987216,9.598905698355779e-08,0.0013633787332546843,9.167381801137312e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.upsamplers.0.conv.weight,0.4598796936225145,-1.032263811891712e-05,-0.00016375019182517564,0.1370770191430192,6.724118579354888e-07,0.00549848923004395,0.0002659180096499003,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.resnets.0.conv1.weight,1.1605746129245327,3.250400060261236e-05,0.0008128191118742253,0.03445639555175453,2.417546170090089e-07,0.0025985105085321604,8.016360384373636e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.resnets.0.conv2.weight,1.1144503949102627,-9.826948571051626e-06,-0.0002523977789537444,0.03493593829564842,2.2650313296179596e-07,0.00268108138107476,7.580598136203804e-05,0.05988333374261856,3.705482185978326e-06
