method,layer,n,local_owner_gain,absolute_local_quality_dot,negative_owner_dot_fraction,diagnostic_priority
fixed_ptq_w8_c1.0_test,up_blocks.3.resnets.1.conv1.weight,4,2.577325719820276e-05,2.841794304107426e-08,1.0,601.6687388432078
fixed_ptq_w8_c1.0_test,up_blocks.3.resnets.0.conv1.weight,4,2.2385899159782804e-05,6.866712567835555e-08,1.0,269.43216633228144
fixed_ptq_w8_c1.0_test,up_blocks.2.resnets.1.conv2.weight,4,2.4920753439084653e-05,7.975353890421816e-08,1.0,264.63049921128055
fixed_ptq_w8_c1.0_test,mid_block.resnets.1.conv2.weight,4,1.4308743566857582e-05,5.2855652417100466e-08,0.5,212.69351430561025
fixed_ptq_w8_c1.0_test,up_blocks.3.resnets.0.conv_shortcut.weight,4,1.2511491535176555e-05,7.217944673331986e-08,0.75,144.47817725515347
fixed_ptq_w8_c1.0_test,up_blocks.2.resnets.0.conv2.weight,4,1.239834294888495e-05,8.255120707645353e-08,1.0,127.85809877198066
fixed_ptq_w8_c1.0_test,up_blocks.0.resnets.2.conv2.weight,4,1.139273276354637e-05,8.387806244683631e-08,0.75,115.90181893244781
fixed_ptq_w8_c1.0_test,conv_in.weight,4,6.129092370467147e-05,6.005269093970805e-07,1.0,99.66891031183134
fixed_ptq_w8_c1.0_test,up_blocks.1.resnets.1.conv1.weight,4,2.3008228839071018e-05,2.198296160436033e-07,0.75,98.22168117666234
fixed_ptq_w8_c1.0_test,mid_block.resnets.0.conv1.weight,4,2.9238579273482955e-05,3.541522661331734e-07,0.75,79.3296539482974
fixed_ptq_w8_c1.0_test,up_blocks.0.upsamplers.0.conv.weight,4,3.803510302754484e-05,5.205745828215731e-07,1.0,71.09458992331477
fixed_ptq_w8_c1.0_test,mid_block.attentions.0.to_k.weight,4,1.0326499205962819e-06,1.0610841406195521e-09,0.5,66.71109845862391
fixed_ptq_w8_c1.0_test,up_blocks.0.resnets.1.conv1.weight,4,1.553827113756199e-05,2.4335188346613877e-07,0.75,60.279540620752215
fixed_ptq_w8_c1.0_test,up_blocks.1.resnets.0.conv1.weight,4,1.0240060356057697e-05,1.9113452005171952e-07,0.75,49.81716117063861
fixed_ptq_w8_c1.0_test,up_blocks.0.resnets.2.conv1.weight,4,1.1873703102021345e-05,3.068380458800073e-07,0.5,36.9602078862328
fixed_ptq_w8_c1.0_test,up_blocks.1.resnets.2.conv2.weight,4,6.423882796182495e-08,7.752022196281407e-08,0.5,0.6987146743580237
fixed_ptq_w8_c1.0_test,up_blocks.0.resnets.0.conv1.weight,4,-2.0618589477695976e-06,2.579173345452279e-07,0.5,0.0
fixed_ptq_w8_c1.0_test,up_blocks.0.resnets.0.conv2.weight,4,-9.721165569895906e-07,8.917431026680429e-08,0.5,0.0
fixed_ptq_w8_c1.0_test,up_blocks.0.resnets.1.conv2.weight,4,-3.3785749378452366e-06,1.074287802260533e-07,0.5,0.0
fixed_ptq_w8_c1.0_test,up_blocks.1.resnets.0.conv2.weight,4,-1.3285855340655809e-05,1.5160479793181331e-07,0.75,0.0
fixed_ptq_w8_c1.0_test,up_blocks.1.resnets.1.conv2.weight,4,-8.403836659447513e-07,1.4384631255554146e-07,0.5,0.0
fixed_ptq_w8_c1.0_test,up_blocks.1.resnets.2.conv1.weight,4,-3.801430788349719e-05,2.4021890320695567e-07,0.25,0.0
fixed_ptq_w8_c1.0_test,up_blocks.1.upsamplers.0.conv.weight,4,-7.699310270828151e-05,2.4729912663848936e-07,0.0,0.0
fixed_ptq_w8_c1.0_test,up_blocks.2.resnets.0.conv1.weight,4,-4.268289855713178e-06,1.2234292495532615e-07,0.75,0.0
fixed_ptq_w8_c1.0_test,up_blocks.2.resnets.0.conv_shortcut.weight,4,-3.040032062406379e-05,1.3796918956951616e-07,0.25,0.0
fixed_ptq_w8_c1.0_test,up_blocks.2.resnets.1.conv1.weight,4,-6.5552875492188845e-06,9.132596830392947e-08,0.25,0.0
fixed_ptq_w8_c1.0_test,up_blocks.2.resnets.2.conv1.weight,4,-2.8089731552568215e-06,1.0514222423470222e-07,0.5,0.0
fixed_ptq_w8_c1.0_test,up_blocks.2.resnets.2.conv2.weight,4,-2.3118577508583367e-06,1.5225620603137772e-08,0.25,0.0
fixed_ptq_w8_c1.0_test,up_blocks.2.upsamplers.0.conv.weight,4,-1.555429466129572e-05,1.5672539959446973e-07,0.0,0.0
fixed_ptq_w8_c1.0_test,up_blocks.3.resnets.0.conv2.weight,4,-2.8050136912892865e-05,1.9025877566027135e-08,0.25,0.0
fixed_ptq_w8_c1.0_test,up_blocks.3.resnets.1.conv2.weight,4,-2.5273722402259523e-05,1.5008870942238564e-08,0.0,0.0
fixed_ptq_w8_c1.0_test,up_blocks.3.resnets.2.conv1.weight,4,-3.840817985260796e-05,3.7820680397365816e-08,0.25,0.0
fixed_ptq_w8_c1.0_test,up_blocks.3.resnets.2.conv2.weight,4,-6.062075192777345e-06,4.501154270067844e-09,0.5,0.0
fixed_ptq_w8_c1.0_test,mid_block.attentions.0.to_q.weight,4,-3.833617062812359e-06,1.2994954762414092e-09,0.0,0.0
fixed_ptq_w8_c1.0_test,mid_block.attentions.0.to_v.weight,4,-6.384027256768524e-07,3.994313194285121e-08,0.5,0.0
fixed_ptq_w8_c1.0_test,mid_block.attentions.0.to_out.0.weight,4,-1.0226607216483219e-05,3.474101182268721e-08,0.25,0.0
fixed_ptq_w8_c1.0_test,mid_block.resnets.0.conv2.weight,4,-3.161877107193837e-06,2.1826533867427633e-07,0.5,0.0
fixed_ptq_w8_c1.0_test,mid_block.resnets.1.conv1.weight,4,-2.3368125563638114e-05,1.1015402794320442e-07,0.25,0.0
fixed_ptq_w8_c1.0_test,conv_out.weight,4,-0.00017266912801668744,2.928831261749269e-07,0.0,0.0
natural_full_finetune_fp32_test,up_blocks.2.resnets.1.conv2.weight,4,0.00010917016211955408,1.1431900119853547e-05,1.0,8.472006596180892
natural_full_finetune_fp32_test,up_blocks.3.resnets.0.conv1.weight,4,6.902502918074992e-05,6.840119323680513e-06,1.0,8.322078345208832
natural_full_finetune_fp32_test,up_blocks.2.resnets.2.conv1.weight,4,0.00015707769340715183,1.7855865705776912e-05,1.0,8.134546020350713
natural_full_finetune_fp32_test,up_blocks.2.resnets.0.conv2.weight,4,9.779179906130525e-05,1.605697050351312e-05,1.0,5.584574366073519
natural_full_finetune_fp32_test,up_blocks.2.resnets.1.conv1.weight,4,0.00012580157109138293,2.1438358122145342e-05,1.0,5.495331501512913
natural_full_finetune_fp32_test,up_blocks.2.upsamplers.0.conv.weight,4,0.0002206407501425629,6.57343524459585e-05,1.0,3.2839094670742677
natural_full_finetune_fp32_test,up_blocks.2.resnets.0.conv1.weight,4,0.0001403407289346058,4.406240248775227e-05,1.0,3.083294265652537
natural_full_finetune_fp32_test,up_blocks.2.resnets.0.conv_shortcut.weight,4,0.00040165696597593397,0.00014455197603460706,1.0,2.750960881333194
natural_full_finetune_fp32_test,up_blocks.2.resnets.2.conv2.weight,4,9.04243897753522e-05,3.251617246899138e-05,1.0,2.661869323284947
natural_full_finetune_fp32_test,up_blocks.3.resnets.0.conv_shortcut.weight,4,0.00014638564847319646,5.954325287311141e-05,1.0,2.3998694108435816
natural_full_finetune_fp32_test,up_blocks.1.resnets.2.conv1.weight,4,0.00010468166122956436,6.411780594375376e-05,1.0,1.5964410605685457
natural_full_finetune_fp32_test,conv_out.weight,4,0.00011406840400495353,7.434987344956528e-05,1.0,1.5047816017950388
natural_full_finetune_fp32_test,up_blocks.3.resnets.2.conv1.weight,4,4.535156649683261e-05,2.990734983944268e-05,1.0,1.446093420779033
natural_full_finetune_fp32_test,up_blocks.3.resnets.1.conv1.weight,4,2.784601614156613e-05,2.0029286096688445e-05,1.0,1.2961659650560313
natural_full_finetune_fp32_test,up_blocks.3.resnets.1.conv2.weight,4,4.813951054803612e-05,3.8832434035235606e-05,1.0,1.1949284803740212
natural_full_finetune_fp32_test,up_blocks.1.resnets.2.conv2.weight,4,0.00010561489558861001,8.706118766282306e-05,1.0,1.193182722438485
natural_full_finetune_fp32_test,up_blocks.1.resnets.1.conv1.weight,4,5.36240343235107e-05,4.389309516565717e-05,1.0,1.1825218804409745
natural_full_finetune_fp32_test,up_blocks.3.resnets.0.conv2.weight,4,4.236671466213892e-05,3.760864416327371e-05,1.0,1.0845814959074425
natural_full_finetune_fp32_test,up_blocks.1.upsamplers.0.conv.weight,4,0.0002686383299840311,0.0002545127666354487,1.0,1.0495043669987962
natural_full_finetune_fp32_test,up_blocks.1.resnets.1.conv2.weight,4,7.111698831876673e-05,6.689900205062792e-05,1.0,1.0404356264461123
natural_full_finetune_fp32_test,up_blocks.1.resnets.0.conv2.weight,4,6.0983149493469756e-05,6.661825138955119e-05,1.0,0.8958580172958469
natural_full_finetune_fp32_test,mid_block.resnets.0.conv2.weight,4,5.356088950254761e-05,6.156626265890103e-05,1.0,0.8498983323655818
natural_full_finetune_fp32_test,up_blocks.0.resnets.2.norm2.weight,4,1.675933977770336e-06,6.836632748904957e-07,0.75,0.7839711355882542
natural_full_finetune_fp32_test,up_blocks.3.resnets.2.conv2.weight,4,2.4551078579995242e-05,3.305784168612914e-05,1.0,0.7113795142189255
natural_full_finetune_fp32_test,mid_block.attentions.0.to_v.weight,4,8.941509332035012e-06,1.206035978494044e-05,0.75,0.6616260305737776
natural_full_finetune_fp32_test,up_blocks.0.upsamplers.0.conv.weight,4,0.00011058807407943748,0.0001699605060117377,1.0,0.6451497073551502
natural_full_finetune_fp32_test,up_blocks.3.resnets.0.norm1.weight,4,1.278429117229264e-06,7.270499089536305e-07,1.0,0.586129880409927
natural_full_finetune_fp32_test,up_blocks.0.resnets.2.norm2.bias,4,1.1498281154312994e-06,8.901643935744536e-07,1.0,0.4904885422920326
natural_full_finetune_fp32_test,mid_block.resnets.1.norm2.weight,4,8.99195389684453e-07,5.549505342049583e-07,1.0,0.4475753581391896
natural_full_finetune_fp32_test,mid_block.resnets.0.norm2.bias,4,1.5655500126912687e-06,2.088793165679305e-06,1.0,0.4418863297135682
natural_full_finetune_fp32_test,up_blocks.0.resnets.2.conv1.weight,4,1.0336992071176364e-05,2.2158980214418806e-05,1.0,0.4377657622724865
natural_full_finetune_fp32_test,conv_in.weight,4,3.82201391450516e-05,8.883458352625168e-05,1.0,0.42331046863348526
natural_full_finetune_fp32_test,up_blocks.0.resnets.1.norm2.weight,4,7.941730610398703e-07,4.383445130375851e-07,0.75,0.41965764192584537
natural_full_finetune_fp32_test,mid_block.resnets.1.norm2.bias,4,8.579379420048156e-07,6.867547233375159e-07,1.0,0.40074808194729233
natural_full_finetune_fp32_test,up_blocks.0.resnets.0.norm1.bias,4,6.71823376324096e-07,2.3960708476192257e-07,1.0,0.39666174190872827
natural_full_finetune_fp32_test,conv_in.bias,4,1.920115226413194e-06,4.055883673133306e-06,1.0,0.3484801602713293
natural_full_finetune_fp32_test,mid_block.attentions.0.to_q.weight,4,1.974856237791992e-06,4.7229234552040165e-06,0.75,0.3197107191918679
natural_full_finetune_fp32_test,up_blocks.0.resnets.0.norm2.weight,4,6.384127758186685e-07,5.466467064423004e-07,1.0,0.31908943735875744
natural_full_finetune_fp32_test,up_blocks.0.resnets.0.norm1.weight,4,5.377832896212868e-07,2.437485324215771e-07,1.0,0.3167465249926569
natural_full_finetune_fp32_test,mid_block.resnets.0.norm1.bias,4,1.0947691886103592e-06,2.2149544057751343e-06,1.0,0.29838022260705493
natural_full_finetune_fp32_test,conv_norm_out.weight,4,3.4175810584524107e-06,1.0389511450853223e-05,1.0,0.28855936553055084
natural_full_finetune_fp32_test,up_blocks.2.resnets.1.norm1.weight,4,4.293454257922886e-07,9.538396350127214e-08,0.75,0.277091745657729
natural_full_finetune_fp32_test,up_blocks.1.resnets.2.norm1.bias,4,4.1142526701879376e-07,1.3187604267506544e-07,1.0,0.25941679110125265
natural_full_finetune_fp32_test,up_blocks.3.resnets.2.norm1.bias,4,2.1786448016521188e-06,7.049852237158947e-06,1.0,0.2561924438803542
natural_full_finetune_fp32_test,up_blocks.2.resnets.0.norm1.weight,4,4.835847175726571e-07,4.35377139174382e-07,0.75,0.25593758648227766
natural_full_finetune_fp32_test,mid_block.resnets.0.conv2.bias,4,4.959225374129492e-07,4.909093532212832e-07,1.0,0.2549735941092442
natural_full_finetune_fp32_test,mid_block.attentions.0.to_out.0.bias,4,3.9943923271774687e-07,2.2612098983445475e-07,1.0,0.23773211216302
natural_full_finetune_fp32_test,up_blocks.3.resnets.2.norm1.weight,4,9.005991149334317e-07,2.55860271116989e-06,1.0,0.22443780414158554
natural_full_finetune_fp32_test,up_blocks.2.resnets.0.norm1.bias,4,3.6894026748500004e-07,2.495705263025179e-07,1.0,0.2165578521365403
natural_full_finetune_fp32_test,up_blocks.1.resnets.2.conv1.bias,4,3.316591818220335e-07,8.009707873609439e-08,1.0,0.21617961843634545
natural_full_finetune_fp32_test,up_blocks.2.resnets.1.norm1.bias,4,3.1635568577379194e-07,5.8724051702272174e-08,0.75,0.20911787202270152
natural_full_finetune_fp32_test,up_blocks.2.resnets.1.norm2.bias,4,3.154243061693101e-07,6.514057348030013e-08,0.75,0.20762159191224
natural_full_finetune_fp32_test,up_blocks.2.resnets.0.norm2.bias,4,3.016672963636014e-07,1.309463086084459e-07,1.0,0.19032245195176517
natural_full_finetune_fp32_test,up_blocks.3.resnets.2.norm2.weight,4,8.212414114919384e-07,2.9635212896842215e-06,1.0,0.18590184642696725
natural_full_finetune_fp32_test,up_blocks.3.resnets.0.norm1.bias,4,3.600524364058771e-07,5.177959615730501e-07,0.75,0.1825932712666441
natural_full_finetune_fp32_test,up_blocks.2.resnets.1.conv1.bias,4,2.5874699455682904e-07,2.988089547469834e-08,0.75,0.1743616650021996
natural_full_finetune_fp32_test,mid_block.attentions.0.to_k.weight,4,8.292049311439716e-07,3.3520379332219875e-06,0.5,0.17253089753780404
natural_full_finetune_fp32_test,up_blocks.2.resnets.2.norm2.weight,4,7.788072600780584e-07,3.0771606285467414e-06,1.0,0.1718748214044439
natural_full_finetune_fp32_test,up_blocks.3.resnets.2.conv1.bias,4,4.415609502298371e-07,1.1512031854574762e-06,1.0,0.1694863274306015
natural_full_finetune_fp32_test,conv_norm_out.bias,4,7.658717955650518e-07,3.4363237801589922e-06,1.0,0.15660686523775869
natural_full_finetune_fp32_test,up_blocks.3.resnets.1.norm2.weight,4,5.019692384421054e-07,1.8094561516422806e-06,1.0,0.1538111554400441
natural_full_finetune_fp32_test,mid_block.resnets.0.norm1.weight,4,3.835061670116923e-07,1.1712092136924494e-06,1.0,0.1460811409768091
natural_full_finetune_fp32_test,up_blocks.3.resnets.1.conv1.bias,4,2.43629010084973e-07,2.2133334104316155e-07,0.75,0.14541372272361103
natural_full_finetune_fp32_test,up_blocks.3.resnets.2.norm2.bias,4,5.495743831513566e-07,2.342413430767561e-06,1.0,0.1447581770529835
natural_full_finetune_fp32_test,up_blocks.1.resnets.0.norm2.bias,4,2.4386733139443045e-07,2.3604477863056924e-07,0.5,0.14428900310990192
natural_full_finetune_fp32_test,up_blocks.1.resnets.1.norm1.bias,4,2.6477946617264875e-07,4.0574658717133735e-07,0.75,0.14236734122960254
natural_full_finetune_fp32_test,up_blocks.1.resnets.2.norm2.bias,4,2.0908390408837067e-07,1.3778729515012463e-07,0.5,0.13134453769118784
natural_full_finetune_fp32_test,up_blocks.3.resnets.0.norm2.weight,4,7.124948399669672e-07,4.093116837500801e-06,0.75,0.12844217521776455
natural_full_finetune_fp32_test,mid_block.resnets.1.conv2.bias,4,2.1737179056959305e-07,3.046022160807542e-07,1.0,0.12359879880317251
natural_full_finetune_fp32_test,up_blocks.0.resnets.1.conv2.weight,4,5.603677285103686e-06,4.390083076997642e-05,0.75,0.12355170386368163
natural_full_finetune_fp32_test,mid_block.attentions.0.to_out.0.weight,4,3.376143404470705e-06,3.551968277007176e-05,0.5,0.09131185398534081
natural_full_finetune_fp32_test,up_blocks.1.resnets.1.conv1.bias,4,1.3442975525514287e-07,5.902155957538524e-08,1.0,0.08884347047569593
natural_full_finetune_fp32_test,up_blocks.2.resnets.0.norm2.weight,4,1.5079086079558463e-07,3.45449420269809e-07,0.75,0.08379431282932506
