candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,selection_objective
natural_residual_w4_c1.0_step0,rtn_fallback,natural_residual,4,1.0,0,33.350563049316406,0.943604588508606,29.569313049316406,28.79359245300293,0.0,0.004609984279966284,True,8.52526811286225e-05,0.0005406601558206603,0.004609984279966284,0.08563281597889727,0.031471448441038774,,0.045326735767923766
natural_residual_w4_c1.0_step100,natural_residual,natural_residual,4,1.0,100,31.183948516845703,0.8899060487747192,26.228879928588867,25.605438232421875,0.05000000074505806,0.003981406882303418,True,5.9886664712394125e-05,0.0009406829427462071,0.003981406882303418,0.07102424654294737,0.02578770820588261,,0.03735063306017992
natural_residual_w4_c1.0_step200,natural_residual,natural_residual,4,1.0,200,30.617706298828125,0.8649136424064636,25.136791229248047,24.758697509765625,0.20000000298023224,0.003997931210676597,True,3.559077458703541e-05,0.0011230294010601937,0.003997931210676597,0.06699457022477873,0.025311341451583758,,0.03629345588143451
natural_residual_w4_c1.0_step300,natural_residual,natural_residual,4,1.0,300,30.233814239501953,0.8487522006034851,24.396995544433594,24.237958908081055,0.3499999940395355,0.0039411823790374,True,3.3118929377451425e-05,0.0012453099043341354,0.0039411823790374,0.06456789796357043,0.024899437405792924,,0.035562361016206974
natural_residual_w4_c1.0_step400,natural_residual,natural_residual,4,1.0,400,29.983951568603516,0.8395471572875977,24.15595245361328,23.846343994140625,0.3499999940395355,0.003969959753334251,True,4.1407643493585056e-05,0.0013322178725502453,0.003969959753334251,0.06278486514202086,0.024789575153135956,,0.03536928256862097
natural_residual_w4_c1.0_step500,natural_residual,natural_residual,4,1.0,500,29.979854583740234,0.8361923098564148,24.10431480407715,23.704288482666016,0.3499999940395355,0.003893490898349228,True,3.5251584586148964e-05,0.001337409918778576,0.003893490898349228,0.06206397627829574,0.02456048316059878,,0.03494238436346677
natural_residual_w4_c1.0_step600,natural_residual,natural_residual,4,1.0,600,29.929569244384766,0.8323386907577515,24.02576446533203,23.72467041015625,0.3499999940395355,0.0038762326341554854,True,3.277903097114177e-05,0.001349430727714207,0.0038762326341554854,0.061529018472356256,0.024374055061571198,,0.03466542179073144
natural_residual_w4_c1.0_step700,natural_residual,natural_residual,4,1.0,700,29.808879852294922,0.8296354413032532,23.936479568481445,23.64240264892578,0.3499999940395355,0.0039086432063868415,True,4.02707726607332e-05,0.0013855154436896555,0.0039086432063868415,0.060596004073886434,0.02430007750012919,,0.03459048729519054
natural_residual_w4_c1.0_step800,natural_residual,natural_residual,4,1.0,800,29.876672744750977,0.8299580812454224,24.01337432861328,23.700029373168945,0.3499999940395355,0.0038519223040793804,True,3.480685918475501e-05,0.0013656139650265685,0.0038519223040793804,0.060360639276041184,0.024190482241010614,,0.03435692334617215
natural_residual_w4_c1.0_step900,natural_residual,natural_residual,4,1.0,900,29.879465103149414,0.8309780359268188,23.98989486694336,23.680742263793945,0.3499999940395355,0.0038502142403729067,True,3.943677043025673e-05,0.001366913435049355,0.0038502142403729067,0.060296706069493666,0.024161267562590183,,0.03435664657335451
natural_residual_w4_c1.0_step1000,natural_residual,natural_residual,4,1.0,1000,29.87026023864746,0.8293029069900513,24.000173568725586,23.64474105834961,0.3499999940395355,0.0038590270138456617,True,3.4092343230440744e-05,0.0013723066571401433,0.0038590270138456617,0.05978789599976153,0.02414346063329731,,0.03425401599296265
