candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,selection_objective
reconstruction_w8_c1.0_step0,rtn_fallback,reconstruction,8,1.0,0,57.079833984375,0.9997356534004211,53.20294952392578,52.35723114013672,0.0,2.3042802979489354e-06,True,3.0519668321460357e-07,2.3042802979489354e-06
reconstruction_w8_c1.0_step100,reconstruction,reconstruction,8,1.0,100,56.89201736450195,0.9997286796569824,52.88337326049805,52.5578498840332,0.0,2.3505374912247135e-06,True,3.300161640851229e-07,2.3505374912247135e-06
reconstruction_w8_c1.0_step200,reconstruction,reconstruction,8,1.0,200,56.95320510864258,0.9997285008430481,53.36006164550781,52.75565719604492,0.0,2.2917850543535677e-06,True,3.2110192549339445e-07,2.2917850543535677e-06
reconstruction_w8_c1.0_step300,reconstruction,reconstruction,8,1.0,300,57.02461624145508,0.9997106790542603,53.4862174987793,52.84696578979492,0.0,2.2513647650157507e-06,True,3.2261843188052806e-07,2.2513647650157507e-06
reconstruction_w8_c1.0_step400,reconstruction,reconstruction,8,1.0,400,57.073097229003906,0.9997135400772095,53.58699417114258,52.971248626708984,0.0,2.2184425375826323e-06,True,3.212670833363518e-07,2.2184425375826323e-06
reconstruction_w8_c1.0_step500,reconstruction,reconstruction,8,1.0,500,57.141151428222656,0.9997056126594543,53.54491424560547,53.06559753417969,0.0,2.190858381823091e-06,True,3.1780537579351176e-07,2.190858381823091e-06
reconstruction_w8_c1.0_step600,reconstruction,reconstruction,8,1.0,600,57.1908073425293,0.9997154474258423,53.765750885009766,53.09965515136719,0.0,2.1599857035425885e-06,True,3.11833232125025e-07,2.1599857035425885e-06
reconstruction_w8_c1.0_step700,reconstruction,reconstruction,8,1.0,700,57.267608642578125,0.999708354473114,53.719478607177734,53.12886047363281,0.0,2.132753996875181e-06,True,2.863304523259558e-07,2.132753996875181e-06
reconstruction_w8_c1.0_step800,reconstruction,reconstruction,8,1.0,800,57.214744567871094,0.9997111558914185,53.81515121459961,53.148990631103516,0.0,2.1462372444602806e-06,True,2.966391278391711e-07,2.1462372444602806e-06
reconstruction_w8_c1.0_step900,reconstruction,reconstruction,8,1.0,900,57.214332580566406,0.999703049659729,53.72751998901367,53.14008331298828,0.0,2.150478519524768e-06,True,3.0762247398286037e-07,2.150478519524768e-06
reconstruction_w8_c1.0_step1000,reconstruction,reconstruction,8,1.0,1000,57.25189208984375,0.9997025728225708,53.80924606323242,53.15772247314453,0.0,2.1354790732175387e-06,True,2.910298377400977e-07,2.1354790732175387e-06
