method,parameter_space,test_index,seed,layer,error_l2,owner_error_dot,owner_error_cosine,owner_gradient_l2,quality_error_dot,quality_error_cosine,quality_gradient_l2,ownership_score,image_mse
fixed_ptq_w8_c1.0_test,quantized,0,3459,conv_in.weight,0.0837320263089241,-6.23565389935342e-05,-0.008426438573641141,0.08837844212405642,4.4906519924656757e-07,0.03267117491141263,0.00016415459589162311,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.resnets.0.conv1.weight,1.1918811636973365,-3.9827756625922414e-06,-0.00012970020715068523,0.025763936412485956,4.0972632334676926e-07,0.0059438505988021455,5.783530438303175e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.resnets.0.conv2.weight,0.8195175184916672,-2.8457388307460437e-05,-0.0009052346713910334,0.0383597368042823,1.305385498888981e-07,0.0018547910325016836,8.587871840374301e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.resnets.1.conv1.weight,1.2024793667778395,2.2951420037739512e-06,6.671043503266677e-05,0.02861133716548712,3.443367217054226e-07,0.004159303902729189,6.884700523947887e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.resnets.1.conv2.weight,0.76366091380036,2.2592841476178745e-05,0.0006559449044263857,0.04510274035537722,1.4880051700850128e-07,0.0018637110081035227,0.00010455030568444726,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.resnets.2.conv1.weight,1.258696229445508,9.332355555380316e-06,0.00025670209117514066,0.02888290946330629,3.849660894426912e-07,0.0045270790915113756,6.755903883183387e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.resnets.2.conv2.weight,0.7679976490921732,1.3717020479415236e-05,0.0003915828081241541,0.045611702178581306,9.598919967954152e-08,0.0013633807316364489,9.167381992085054e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.upsamplers.0.conv.weight,0.4598796936225145,-1.0322720034137539e-05,-0.0001637514888797128,0.13707702113861667,6.724118827458672e-07,0.005498489339530881,0.00026591801416662596,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.resnets.0.conv1.weight,1.1605746129245327,3.2503991851306596e-05,0.0008128188994705195,0.034456395278842845,2.417546874262438e-07,0.002598511213442664,8.016360544707408e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.resnets.0.conv2.weight,1.1144503949102627,-9.827020641635685e-06,-0.00025239962622292176,0.0349359388229464,2.2650319212265443e-07,0.002681082069695756,7.580598169162222e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.resnets.1.conv1.weight,1.1838596364530638,-3.763507833433067e-05,-0.0009145586778911449,0.03476010148798015,3.4945767682846185e-07,0.004054770582544519,7.279944775048733e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.resnets.1.conv2.weight,1.0681922737846614,-4.435333542174844e-06,-0.00011559279938296556,0.03592080584170344,2.5302356077866275e-07,0.0032926501916955074,7.19392551270474e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.resnets.2.conv1.weight,1.1443847282752029,-1.4693177987387829e-05,-0.00031812491880480153,0.04035952043063563,2.7024444129935296e-07,0.003161218638835589,7.470164787141735e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.resnets.2.conv2.weight,0.9794177813243862,1.1693789940892451e-05,0.00033831982861901207,0.03529066578250625,9.003310716989505e-08,0.0014276679324717583,6.438831342554249e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.upsamplers.0.conv.weight,0.5073170002166529,6.920338286915471e-05,0.0011217272964299284,0.12160757285650488,2.751503886392928e-07,0.0029308962169084752,0.00018505050492817777,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.0.conv1.weight,0.7521863972157539,-2.4400080556608703e-05,-0.0009008807047305369,0.03600795852733248,1.5294961929480693e-07,0.0030240858276170185,6.724017146332234e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.0.conv2.weight,0.6131526755805556,-2.3555570043754486e-05,-0.001276238664431204,0.030101843478052226,9.910335986504218e-08,0.0033341063512316266,4.8477509699437486e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.0.conv_shortcut.weight,0.052282203692116065,4.440893796441337e-05,0.0026255313916995347,0.3235186243159243,2.1170809909813503e-07,0.008932879089820822,0.00045330669387723085,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.1.conv1.weight,0.4851332093365615,-2.645619287454408e-05,-0.0014345873753446334,0.03801362958939682,1.1111140122852268e-07,0.002951648683740266,7.759486016021372e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.1.conv2.weight,0.6572459861136889,-2.8399753803324028e-05,-0.0012792306852791617,0.033778298112536596,1.3219452932798864e-07,0.004747181358049313,4.236914663484158e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.2.conv1.weight,0.5146227831899781,-2.9492029394273316e-05,-0.0013953720873634444,0.04107008650862607,1.8927107398772083e-07,0.006592220031078684,5.5790922524180486e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.2.conv2.weight,0.6015476376614555,1.1328246823453888e-05,0.0006372864154400264,0.029550036137952318,2.050247881082248e-08,0.0011140468076062478,3.059376367781828e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.upsamplers.0.conv.weight,0.27824634041281426,1.4890708592273827e-05,0.00032964600499085295,0.162344689454054,1.7853688364578192e-07,0.003908077286873443,0.00016418570609733673,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.3.resnets.0.conv1.weight,0.3478885727279285,-6.036684219507271e-05,-0.004246945069434881,0.04085842778010444,1.0408627410105123e-07,0.007589448411149815,3.9422402340386454e-05,0.05988333374261856,3.705482185978326e-06
