method,layer,n,local_owner_gain,absolute_local_quality_dot,negative_owner_dot_fraction,diagnostic_priority
fixed_ptq_w8_c1.0_test,up_blocks.3.resnets.1.conv1.weight,4,2.5773234855991017e-05,2.841794215027984e-08,1.0,601.6682304359616
fixed_ptq_w8_c1.0_test,up_blocks.3.resnets.0.conv1.weight,4,2.2385903286202916e-05,6.866713404684346e-08,1.0,269.4321890101871
fixed_ptq_w8_c1.0_test,up_blocks.2.resnets.1.conv2.weight,4,2.492075123788e-05,7.975354709547264e-08,1.0,264.6304529495038
fixed_ptq_w8_c1.0_test,mid_block.resnets.1.conv2.weight,4,1.4308755315753825e-05,5.285564894041955e-08,0.5,212.69370008691163
fixed_ptq_w8_c1.0_test,up_blocks.3.resnets.0.conv_shortcut.weight,4,1.2511510315989266e-05,7.217944872285098e-08,0.75,144.4783908874351
fixed_ptq_w8_c1.0_test,up_blocks.2.resnets.0.conv2.weight,4,1.239832986452993e-05,8.255120010111265e-08,1.0,127.85797309791064
fixed_ptq_w8_c1.0_test,up_blocks.0.resnets.2.conv2.weight,4,1.1392709581405785e-05,8.387807232413784e-08,0.75,115.90157150176734
fixed_ptq_w8_c1.0_test,conv_in.weight,4,6.129093922408467e-05,6.005269275879346e-07,1.0,99.66893260809769
fixed_ptq_w8_c1.0_test,up_blocks.1.resnets.1.conv1.weight,4,2.3008226463811344e-05,2.1982961012320273e-07,0.75,98.22167353867822
fixed_ptq_w8_c1.0_test,mid_block.resnets.0.conv1.weight,4,2.9238566470567746e-05,3.5415224852184406e-07,0.75,79.32962301222423
fixed_ptq_w8_c1.0_test,up_blocks.0.upsamplers.0.conv.weight,4,3.803515344976212e-05,5.205745863672639e-07,1.0,71.09468370668914
fixed_ptq_w8_c1.0_test,mid_block.attentions.0.to_k.weight,4,1.0326508511551652e-06,1.0610843892735542e-09,0.5,66.71115770316972
fixed_ptq_w8_c1.0_test,up_blocks.0.resnets.1.conv1.weight,4,1.553830871584592e-05,2.43351847459633e-07,0.75,60.27969483385494
fixed_ptq_w8_c1.0_test,up_blocks.1.resnets.0.conv1.weight,4,1.0240066719303066e-05,1.911345035355545e-07,0.75,49.81719614144783
fixed_ptq_w8_c1.0_test,up_blocks.0.resnets.2.conv1.weight,4,1.1873716450236965e-05,3.0683797235842026e-07,0.5,36.960257900211744
fixed_ptq_w8_c1.0_test,up_blocks.1.resnets.2.conv2.weight,4,6.425741995070023e-08,7.752025176342076e-08,0.5,0.6989166700300677
fixed_ptq_w8_c1.0_test,up_blocks.0.resnets.0.conv1.weight,4,-2.0618783559295175e-06,2.579173535199936e-07,0.5,0.0
fixed_ptq_w8_c1.0_test,up_blocks.0.resnets.0.conv2.weight,4,-9.721371153970808e-07,8.91743319592233e-08,0.5,0.0
fixed_ptq_w8_c1.0_test,up_blocks.0.resnets.1.conv2.weight,4,-3.3786163083564916e-06,1.074287845466553e-07,0.5,0.0
fixed_ptq_w8_c1.0_test,up_blocks.1.resnets.0.conv2.weight,4,-1.328578298409762e-05,1.5160480787572338e-07,0.75,0.0
fixed_ptq_w8_c1.0_test,up_blocks.1.resnets.1.conv2.weight,4,-8.403524517422255e-07,1.4384632674525174e-07,0.5,0.0
