candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,selection_objective,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,code_change_fraction_vs_rtn,code_offset_rms,code_offset_ge_one_fraction
fixed_ptq_w8_c1.0_step0,fixed_rtn,fixed_ptq,8,1.0,0,57.079833984375,0.9997356534004211,53.20294952392578,52.35723114013672,0.0,7.45739389458322e-05,True,3.0519668321460357e-07,7.45739389458322e-05,,,,,,,,
reconstruction_w8_c1.0_step0,rtn_fallback,reconstruction,8,1.0,0,57.079833984375,0.9997356534004211,53.20294952392578,52.35723114013672,0.0,2.3042802979489354e-06,True,3.0519668321460357e-07,2.3042802979489354e-06,,,,,,,,
reconstruction_w8_c1.0_step100,reconstruction,reconstruction,8,1.0,100,56.89201736450195,0.9997286796569824,52.88337326049805,52.5578498840332,0.0,2.3505374912247135e-06,True,3.300161640851229e-07,2.3505374912247135e-06,,,,,,,,
reconstruction_w8_c1.0_step200,reconstruction,reconstruction,8,1.0,200,56.95320510864258,0.9997285008430481,53.36006164550781,52.75565719604492,0.0,2.2917850543535677e-06,True,3.2110192549339445e-07,2.2917850543535677e-06,,,,,,,,
reconstruction_w8_c1.0_step300,reconstruction,reconstruction,8,1.0,300,57.02461624145508,0.9997106790542603,53.4862174987793,52.84696578979492,0.0,2.2513647650157507e-06,True,3.2261843188052806e-07,2.2513647650157507e-06,,,,,,,,
reconstruction_w8_c1.0_step400,reconstruction,reconstruction,8,1.0,400,57.073097229003906,0.9997135400772095,53.58699417114258,52.971248626708984,0.0,2.2184425375826323e-06,True,3.212670833363518e-07,2.2184425375826323e-06,,,,,,,,
reconstruction_w8_c1.0_step500,reconstruction,reconstruction,8,1.0,500,57.141151428222656,0.9997056126594543,53.54491424560547,53.06559753417969,0.0,2.190858381823091e-06,True,3.1780537579351176e-07,2.190858381823091e-06,,,,,,,,
reconstruction_w8_c1.0_step600,reconstruction,reconstruction,8,1.0,600,57.1908073425293,0.9997154474258423,53.765750885009766,53.09965515136719,0.0,2.1599857035425885e-06,True,3.11833232125025e-07,2.1599857035425885e-06,,,,,,,,
reconstruction_w8_c1.0_step700,reconstruction,reconstruction,8,1.0,700,57.267608642578125,0.999708354473114,53.719478607177734,53.12886047363281,0.0,2.132753996875181e-06,True,2.863304523259558e-07,2.132753996875181e-06,,,,,,,,
reconstruction_w8_c1.0_step800,reconstruction,reconstruction,8,1.0,800,57.214744567871094,0.9997111558914185,53.81515121459961,53.148990631103516,0.0,2.1462372444602806e-06,True,2.966391278391711e-07,2.1462372444602806e-06,,,,,,,,
reconstruction_w8_c1.0_step900,reconstruction,reconstruction,8,1.0,900,57.214332580566406,0.999703049659729,53.72751998901367,53.14008331298828,0.0,2.150478519524768e-06,True,3.0762247398286037e-07,2.150478519524768e-06,,,,,,,,
reconstruction_w8_c1.0_step1000,reconstruction,reconstruction,8,1.0,1000,57.25189208984375,0.9997025728225708,53.80924606323242,53.15772247314453,0.0,2.1354790732175387e-06,True,2.910298377400977e-07,2.1354790732175387e-06,,,,,,,,
natural_residual_w4_c1.0_step0,rtn_fallback,natural_residual,4,1.0,0,33.350563049316406,0.943604588508606,29.569313049316406,28.79359245300293,0.0,0.004609984279966284,True,8.52526811286225e-05,0.045326735767923766,0.0005406601558206603,0.004609984279966284,0.08563281597889727,0.031471448441038774,,,,
natural_residual_w4_c1.0_step100,natural_residual,natural_residual,4,1.0,100,31.183948516845703,0.8899060487747192,26.228879928588867,25.605438232421875,0.05000000074505806,0.003981406882303418,True,5.9886664712394125e-05,0.03735063306017992,0.0009406829427462071,0.003981406882303418,0.07102424654294737,0.02578770820588261,,,,
natural_residual_w4_c1.0_step200,natural_residual,natural_residual,4,1.0,200,30.617706298828125,0.8649136424064636,25.136791229248047,24.758697509765625,0.20000000298023224,0.003997931210676597,True,3.559077458703541e-05,0.03629345588143451,0.0011230294010601937,0.003997931210676597,0.06699457022477873,0.025311341451583758,,,,
natural_residual_w4_c1.0_step300,natural_residual,natural_residual,4,1.0,300,30.233814239501953,0.8487522006034851,24.396995544433594,24.237958908081055,0.3499999940395355,0.0039411823790374,True,3.3118929377451425e-05,0.035562361016206974,0.0012453099043341354,0.0039411823790374,0.06456789796357043,0.024899437405792924,,,,
