run,seed,preserve_weight,min_ssim,method,comparison_group,role,bit_accuracy,tpr,n,psnr,ssim,lpips,test_quality_valid,search_quality_valid,reference_valid,evasion_on_originally_detected,tpr_drop_percentage_points,tpr_drop_ci95_low_pp,tpr_drop_ci95_high_pp,quality_violation_fraction,valid_updates,train_image_forwards,discriminator_image_forwards,branch_seconds
/home/jovyan/thinhnd39/quantization/output_attack/run_20260923_083114/run_20260923_083114_seed_3407_preserve_0.5,3407,0.5,0.8,marked_reference_test,,reference,0.985625,0.99,100,120.0,1.0,0.0,True,,True,0.0,0.0,0.0,0.0,0.0,,,0,
/home/jovyan/thinhnd39/quantization/output_attack/run_20260923_083114/run_20260923_083114_seed_3407_preserve_0.5,3407,0.5,0.8,pseudo_target_test,,diagnostic,0.9814583333333331,0.99,100,41.636995010375976,0.9925714315192385,0.01303590188268572,True,,True,0.0,0.0,0.0,0.0,,,,0,
/home/jovyan/thinhnd39/quantization/output_attack/run_20260923_083114/run_20260923_083114_seed_3407_preserve_0.5,3407,0.5,0.8,fixed_ptq_w8_c1.0_test,w8_c1.0_all,candidate,0.9852083333333332,0.99,100,56.706695556640625,0.9997078776359558,0.00019757633192057255,True,True,True,0.0,0.0,0.0,0.0,0.0,0,0,0,2.2790935449302197
/home/jovyan/thinhnd39/quantization/output_attack/run_20260923_083114/run_20260923_083114_seed_3407_preserve_0.5,3407,0.5,0.8,reconstruction_w8_c1.0_test,w8_c1.0_all,candidate,0.985625,0.99,100,56.90154266357422,0.9997106790542603,0.00018025130037131021,True,True,True,0.0,0.0,0.0,0.0,0.0,1000,4000,0,236.66317559219897
/home/jovyan/thinhnd39/quantization/output_attack/run_20260923_083114/run_20260923_083114_seed_3407_preserve_0.5,3407,0.5,0.8,natural_residual_qat_w8_c1.0_test,w8_c1.0_all,candidate,0.98125,0.99,100,38.0805549621582,0.980517566204071,0.014727138062007726,True,True,True,0.0,0.0,0.0,0.0,0.0,1000,8000,0,318.75217856653035
/home/jovyan/thinhnd39/quantization/output_attack/run_20260923_083114/run_20260923_083114_seed_3407_preserve_0.5,3407,0.5,0.8,natural_residual_w4_c1.0_test,w4_c1.0_all,candidate,0.7616666666666664,0.62,100,29.39948081970215,0.8202562928199768,0.043319352259859445,True,True,True,0.3737373737373737,37.0,27.975000000000005,46.0,0.3700000047683716,1000,8000,0,456.7190787512809
/home/jovyan/thinhnd39/quantization/output_attack/run_20260923_083114/run_20260923_083114_seed_3407_preserve_0.5,3407,0.5,0.8,natural_residual_qat_w4_c1.0_test,w4_c1.0_all,candidate,0.8381249999999999,0.8,100,29.833942413330078,0.8377979397773743,0.04050620844587684,True,True,True,0.19191919191919193,18.999999999999993,12.0,26.024999999999864,0.3100000023841858,1000,8000,0,317.32105189561844
/home/jovyan/thinhnd39/quantization/output_attack/run_20260923_083114/run_20260923_083114_seed_3407_preserve_0.5,3407,0.5,0.8,natural_full_finetune_fp32_test,fp32_unrestricted_decoder_control,finetune_control,0.6147916666666666,0.06,100,28.875009536743164,0.8148026466369629,0.048891782369464634,True,True,True,0.9393939393939394,93.0,88.0,97.02499999999986,0.4000000059604645,1000,4000,0,105.06378991901875
/home/jovyan/thinhnd39/quantization/output_attack/run_20260923_083114/run_20260923_083114_seed_3407_preserve_0.5,3407,0.5,0.8,reconstruction_w8_c1.0_final_test,w8_c1.0_all,endpoint_control,0.985625,0.99,100,56.84969711303711,0.9997149705886841,0.00017997755378019065,True,True,True,0.0,0.0,0.0,0.0,0.0,1000,4000,0,
/home/jovyan/thinhnd39/quantization/output_attack/run_20260923_083114/run_20260923_083114_seed_3407_preserve_2,3407,2.0,0.8,marked_reference_test,,reference,0.985625,0.99,100,120.0,1.0,0.0,True,,True,0.0,0.0,0.0,0.0,0.0,,,0,
/home/jovyan/thinhnd39/quantization/output_attack/run_20260923_083114/run_20260923_083114_seed_3407_preserve_2,3407,2.0,0.8,pseudo_target_test,,diagnostic,0.9814583333333331,0.99,100,41.636995010375976,0.9925714315192385,0.01303590188268572,True,,True,0.0,0.0,0.0,0.0,,,,0,
/home/jovyan/thinhnd39/quantization/output_attack/run_20260923_083114/run_20260923_083114_seed_3407_preserve_2,3407,2.0,0.8,fixed_ptq_w8_c1.0_test,w8_c1.0_all,candidate,0.9852083333333332,0.99,100,56.706695556640625,0.9997078776359558,0.00019757633192057255,True,True,True,0.0,0.0,0.0,0.0,0.0,0,0,0,3.3205431066453457
/home/jovyan/thinhnd39/quantization/output_attack/run_20260923_083114/run_20260923_083114_seed_3407_preserve_2,3407,2.0,0.8,reconstruction_w8_c1.0_test,w8_c1.0_all,candidate,0.985625,0.99,100,56.831050872802734,0.9997062683105469,0.00018190810955275082,True,True,True,0.0,0.0,0.0,0.0,0.0,1000,4000,0,286.48542365804315
/home/jovyan/thinhnd39/quantization/output_attack/run_20260923_083114/run_20260923_083114_seed_3407_preserve_2,3407,2.0,0.8,natural_residual_qat_w8_c1.0_test,w8_c1.0_all,candidate,0.98125,0.99,100,38.262725830078125,0.9807541370391846,0.014609000650234521,True,True,True,0.0,0.0,0.0,0.0,0.0,1000,8000,0,436.6911690980196
/home/jovyan/thinhnd39/quantization/output_attack/run_20260923_083114/run_20260923_083114_seed_3407_preserve_2,3407,2.0,0.8,natural_residual_w4_c1.0_test,w4_c1.0_all,candidate,0.7631249999999998,0.63,100,29.47989273071289,0.8204081058502197,0.043050025897100566,True,True,True,0.36363636363636365,36.0,27.0,45.0,0.3799999952316284,1000,8000,0,529.4093482457101
/home/jovyan/thinhnd39/quantization/output_attack/run_20260923_083114/run_20260923_083114_seed_3407_preserve_2,3407,2.0,0.8,natural_residual_qat_w4_c1.0_test,w4_c1.0_all,candidate,0.8410416666666666,0.84,100,29.951087951660156,0.8383704423904419,0.04013131320476532,True,True,True,0.1515151515151515,15.000000000000002,8.0,22.0,0.3100000023841858,1000,8000,0,420.924643939361
/home/jovyan/thinhnd39/quantization/output_attack/run_20260923_083114/run_20260923_083114_seed_3407_preserve_2,3407,2.0,0.8,natural_full_finetune_fp32_test,fp32_unrestricted_decoder_control,finetune_control,0.6170833333333334,0.01,100,28.894424438476562,0.8131155967712402,0.04882435228675604,True,True,True,0.98989898989899,98.0,95.0,100.0,0.4099999964237213,1000,4000,0,124.02425105683506
/home/jovyan/thinhnd39/quantization/output_attack/run_20260923_083114/run_20260923_083114_seed_3407_preserve_2,3407,2.0,0.8,reconstruction_w8_c1.0_final_test,w8_c1.0_all,endpoint_control,0.985625,0.99,100,56.83897018432617,0.9997103214263916,0.00018048986101348418,True,True,True,0.0,0.0,0.0,0.0,0.0,1000,4000,0,
/home/jovyan/thinhnd39/quantization/output_attack/run_20260923_083114/run_20260923_083114_seed_3407_preserve_8,3407,8.0,0.8,marked_reference_test,,reference,0.985625,0.99,100,120.0,1.0,0.0,True,,True,0.0,0.0,0.0,0.0,0.0,,,0,
/home/jovyan/thinhnd39/quantization/output_attack/run_20260923_083114/run_20260923_083114_seed_3407_preserve_8,3407,8.0,0.8,pseudo_target_test,,diagnostic,0.9814583333333331,0.99,100,41.636995010375976,0.9925714315192385,0.01303590188268572,True,,True,0.0,0.0,0.0,0.0,,,,0,
/home/jovyan/thinhnd39/quantization/output_attack/run_20260923_083114/run_20260923_083114_seed_3407_preserve_8,3407,8.0,0.8,fixed_ptq_w8_c1.0_test,w8_c1.0_all,candidate,0.9852083333333332,0.99,100,56.706695556640625,0.9997078776359558,0.00019757633192057255,True,True,True,0.0,0.0,0.0,0.0,0.0,0,0,0,2.1942125763744116
/home/jovyan/thinhnd39/quantization/output_attack/run_20260923_083114/run_20260923_083114_seed_3407_preserve_8,3407,8.0,0.8,reconstruction_w8_c1.0_test,w8_c1.0_all,candidate,0.9854166666666667,0.99,100,56.87177658081055,0.9996856451034546,0.00017972082481719552,True,True,True,0.0,0.0,0.0,0.0,0.0,1000,4000,0,237.25968749448657
/home/jovyan/thinhnd39/quantization/output_attack/run_20260923_083114/run_20260923_083114_seed_3407_preserve_8,3407,8.0,0.8,natural_residual_qat_w8_c1.0_test,w8_c1.0_all,candidate,0.9820833333333334,0.99,100,38.49213790893555,0.9812166094779968,0.014419632591307163,True,True,True,0.0,0.0,0.0,0.0,0.0,1000,8000,0,319.9105328992009
