candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,selection_objective
natural_residual_w8_c1.0_step0,rtn_fallback,natural_residual,8,1.0,0,57.079833984375,0.9997356534004211,53.20294952392578,52.35723114013672,0.0,0.004480636581718045,True,3.0519668321460357e-07,2.3042802979489354e-06,0.004480636581718045,0.07531318787368946,0.030735336704537985,,0.04274744467196658
natural_residual_w8_c1.0_step100,natural_residual,natural_residual,8,1.0,100,42.2530517578125,0.9938564300537109,37.511077880859375,37.361446380615234,0.0,0.004206786946554075,True,1.054576679280217e-05,7.506287829528446e-05,0.004206786946554075,0.07809190777334152,0.0281034410797929,,0.040124691687077524
natural_residual_w8_c1.0_step200,natural_residual,natural_residual,8,1.0,200,40.462677001953125,0.9902585744857788,35.635833740234375,35.515464782714844,0.0,0.004134488988995599,True,1.5823833768990882e-05,0.00011283946560070035,0.004134488988995599,0.07825482681073481,0.02750271255615644,,0.03947059614311002
natural_residual_w8_c1.0_step300,natural_residual,natural_residual,8,1.0,300,39.547645568847656,0.9874342679977417,34.57240676879883,34.54341506958008,0.0,0.00410070210568847,True,1.7359694811602822e-05,0.00013969417341286317,0.00410070210568847,0.07813916008308297,0.027140798777054442,,0.03906409673845701
natural_residual_w8_c1.0_step400,natural_residual,natural_residual,8,1.0,400,39.043312072753906,0.9856653213500977,34.0636100769043,34.028778076171875,0.0,0.004079779186099586,True,1.8573420493339655e-05,0.00015638876084267395,0.004079779186099586,0.0775178490584949,0.026962304714857055,,0.0388031555170528
natural_residual_w8_c1.0_step500,natural_residual,natural_residual,8,1.0,500,38.624549865722656,0.983851432800293,33.66692352294922,33.56842803955078,0.0,0.004070143575461316,True,1.9304516104057257e-05,0.00017185332762892358,0.004070143575461316,0.07700222462881356,0.026820405744274467,,0.03860042404066917
natural_residual_w8_c1.0_step600,natural_residual,natural_residual,8,1.0,600,38.33820343017578,0.9826914668083191,33.43582534790039,33.2932243347168,0.0,0.0040601656388332685,True,2.0024356308567805e-05,0.00018285727473994485,0.0040601656388332685,0.07671230459527578,0.026733112556371452,,0.038474520832886584
natural_residual_w8_c1.0_step700,natural_residual,natural_residual,8,1.0,700,38.16310501098633,0.981822669506073,33.24984359741211,33.08515930175781,0.0,0.004051325868942968,True,2.0258147469576215e-05,0.00019052143288718072,0.004051325868942968,0.0765633567571058,0.02666865013975439,,0.03838644075814272
natural_residual_w8_c1.0_step800,natural_residual,natural_residual,8,1.0,800,38.05792999267578,0.9812673330307007,33.14100646972656,32.9609260559082,0.0,0.004049582690356601,True,2.0801777918677544e-05,0.00019527862532413564,0.004049582690356601,0.07637953169614775,0.026633137526005157,,0.03833107427493587
natural_residual_w8_c1.0_step900,natural_residual,natural_residual,8,1.0,900,37.98772048950195,0.9809038043022156,33.07463455200195,32.89237594604492,0.0,0.004047989127343499,True,2.0858552534264164e-05,0.00019838710431940854,0.004047989127343499,0.07627814757142914,0.026612112314069236,,0.03829834547482278
natural_residual_w8_c1.0_step1000,natural_residual,natural_residual,8,1.0,1000,37.94628143310547,0.9806336164474487,33.03203201293945,32.84387969970703,0.0,0.004045976322345268,True,2.0896355226796005e-05,0.00020036190580867695,0.004045976322345268,0.07623194971529301,0.026594128754709345,,0.038273748226197314
