step,applied,reason,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate
1,True,,,,,0.0045489296317100525,0.0725208967924118,1.8519722289056517e-06,0.0435013622045517,0.031699419021606445,0.0,0.0,0.0,1.9969651475548744e-05,0.0005
2,True,,,,,0.0027401531115174294,0.055244095623493195,2.1255029878375353e-06,0.02929806336760521,0.021032437682151794,0.0,0.0,0.0,1.61672942340374e-05,0.001
3,True,,,,,0.002930568065494299,0.05575638264417648,2.3901120584923774e-06,0.025745250284671783,0.017237847670912743,0.0,0.0,0.0,1.6202493497985415e-05,0.0015
4,True,,,,,0.0025700563564896584,0.053268563002347946,9.043118325280375e-07,0.02400984615087509,0.01611248217523098,0.0,0.0,0.0,1.3279865015647374e-05,0.002
5,True,,,,,0.00474733579903841,0.07522641122341156,2.42224973590055e-06,0.047127582132816315,0.034856393933296204,0.0,0.0,0.0,2.4923223463702016e-05,0.0025
6,True,,,,,0.006255692802369595,0.10245509445667267,1.6642366972519085e-05,0.05964101850986481,0.04313149303197861,0.0,0.0,0.0,2.4738572392379865e-05,0.003
7,True,,,,,0.0046612280420959,0.09178566187620163,3.163264409522526e-06,0.045181676745414734,0.03134030103683472,0.0,0.0,0.0,2.168596074625384e-05,0.0035000000000000005
8,True,,,,,0.0034244940616190434,0.06202319636940956,4.324533335875458e-07,0.03167559206485748,0.02204856276512146,0.0,0.0,0.0,1.4403777640836779e-05,0.004
9,True,,,,,0.009778480976819992,0.12948554754257202,1.7735717392497463e-06,0.09441214799880981,0.07168422639369965,0.0,0.0,0.0,3.39034668286331e-05,0.0045
10,True,,,,,0.0024437892716377974,0.06149863079190254,2.157923290724284e-06,0.025780946016311646,0.01718621328473091,0.0,0.0,0.0,1.583458470122423e-05,0.005
11,True,,,,,0.004245860502123833,0.08644559979438782,2.3772463464410976e-06,0.04299958050251007,0.030107973143458366,0.0,0.0,0.0,1.9961198631790467e-05,0.0055
12,True,,,,,0.0038902778178453445,0.08010517060756683,9.451928235648666e-07,0.03759264945983887,0.025691382586956024,0.0,0.0,0.0,2.2510323105962016e-05,0.006
