method,quality_policy,test_quality_valid,search_quality_valid,selection_status,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,interpretation
marked_reference_test,report,True,,,120.0,1.0,120.0,120.0,0.0,9.730290727929969e-05,True,0.0,
pseudo_target_test,report,True,,,41.636995010375976,0.9925714315192385,,,,,True,,"Direct smoothing hypothesis, not a clean target or quantized model"
fixed_ptq_w4_c1.0_test,report,True,True,selected,33.00655746459961,0.9395577311515808,28.131155014038086,27.743331909179688,0.0,0.0005622724550630665,True,8.791840951744234e-05,
reconstruction_w4_c1.0_test,report,True,True,selected,37.123329162597656,0.9716426730155945,31.910934448242188,31.220134735107422,0.0,0.0002633562198388972,True,1.2826201982534258e-05,
fixed_ptq_w8_c1.0_test,report,True,True,selected,56.706695556640625,0.9997078776359558,52.11763000488281,50.77616882324219,0.0,9.846782229942619e-05,True,3.369866121971654e-07,
reconstruction_w8_c1.0_test,report,True,True,selected,56.9069709777832,0.9997152090072632,52.76103973388672,51.30427551269531,0.0,9.618798178053112e-05,True,3.7085689193361303e-07,
natural_residual_w4_c1.0_test,report,True,True,selected,29.41080093383789,0.8206989169120789,23.717510223388672,22.537052154541016,0.3700000047683716,0.001279907534844824,True,7.058018036332214e-05,
natural_residual_qat_w4_c1.0_test,report,True,True,selected,29.84127426147461,0.8367560505867004,24.182209014892578,22.942964553833008,0.3100000023841858,0.001154610826561111,True,6.578287873708177e-05,
natural_residual_w8_c1.0_test,report,True,True,selected,37.7523307800293,0.9790229797363281,32.19292449951172,31.64811134338379,0.0,0.00019768322165873543,True,1.9837408553939896e-05,
natural_residual_qat_w8_c1.0_test,report,True,True,selected,38.08076477050781,0.980519711971283,32.52959442138672,31.885263442993164,0.0,0.0001858564360281889,True,1.814508006646065e-05,
natural_full_finetune_fp32_test,report,True,True,selected,28.846982955932617,0.8111283779144287,23.137544631958008,22.460433959960938,0.4300000071525574,0.0014198956347536297,True,0.00011008780677002506,
reconstruction_w8_c1.0_final_test,report,True,True,selected,56.81459426879883,0.9997164011001587,52.767730712890625,51.34076690673828,0.0,9.638909509703807e-05,True,3.9633129993887906e-07,
