method,parameter_space,test_index,seed,layer,error_l2,owner_error_dot,owner_error_cosine,owner_gradient_l2,quality_error_dot,quality_error_cosine,quality_gradient_l2,ownership_score,image_mse
fixed_ptq_w8_c1.0_test,quantized,0,3459,conv_in.weight,0.0837320263089241,-6.235656438469687e-05,-0.008426442206234081,0.08837844001168642,4.490652927066929e-07,0.03267118035651454,0.0001641546026970961,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.resnets.0.conv1.weight,1.1918811636973365,-3.982714528569184e-06,-0.00012969821848487302,0.025763935979279402,4.097263544348958e-07,0.00594385122681287,5.7835302660588247e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.resnets.0.conv2.weight,0.8195175184916672,-2.8457359203682676e-05,-0.0009052337627056005,0.038359736079194885,1.305385496735408e-07,0.0018547910606318582,8.587871695960795e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.resnets.1.conv1.weight,1.2024793667778395,2.295177219634466e-06,6.671146077113893e-05,0.028611336240490535,3.443366812519566e-07,0.004159303521001719,6.884700346973063e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.resnets.1.conv2.weight,0.76366091380036,2.259279432869866e-05,0.0006559435420835458,0.04510273990813216,1.488005231613862e-07,0.0018637111712389255,0.00010455030085603496,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.resnets.2.conv1.weight,1.258696229445508,9.332193077695928e-06,0.00025669762242916904,0.02888290940983421,3.8496602071085795e-07,0.004527078522946369,6.755903525472093e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.resnets.2.conv2.weight,0.7679976490921732,1.3716990690062962e-05,0.0003915819613833254,0.045611701751985194,9.598914826565577e-08,0.0013633800494061753,9.167381669158704e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.0.upsamplers.0.conv.weight,0.4598796936225145,-1.0322845187415164e-05,-0.00016375347257013031,0.1370770225135163,6.724119150574636e-07,0.005498489746474303,0.00026591800726425606,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.resnets.0.conv1.weight,1.1605746129245327,3.2504031669783094e-05,0.0008128198871135214,0.034456395621673866,2.4175470812794145e-07,0.0025985115074710495,8.016360324084166e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.resnets.0.conv2.weight,1.1144503949102627,-9.82693999723291e-06,-0.0002523975548905284,0.034935938828708234,2.265031896984796e-07,0.0026810820986514325,7.580598006159622e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.resnets.1.conv1.weight,1.1838596364530638,-3.763510710607062e-05,-0.0009145593791985217,0.03476010140687182,3.494577034514878e-07,0.004054770835822079,7.279944874927701e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.resnets.1.conv2.weight,1.0681922737846614,-4.435268559281544e-06,-0.00011559110582855099,0.035920805836389215,2.5302352922137996e-07,0.0032926497414833976,7.193925599116143e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.resnets.2.conv1.weight,1.1443847282752029,-1.4693122187757521e-05,-0.0003181237091431571,0.040359520625091745,2.7024444634755133e-07,0.003161218721143549,7.470164732186254e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.resnets.2.conv2.weight,0.9794177813243862,1.1693808024397381e-05,0.0003383203487787774,0.03529066609800845,9.003311609856853e-08,0.0014276680721563401,6.43883135111735e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.upsamplers.0.conv.weight,0.5073170002166529,6.920339974974974e-05,0.0011217275744587693,0.12160757237852972,2.751504304259837e-07,0.002930896640190183,0.00018505050630642989,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.0.conv1.weight,0.7521863972157539,-2.4400035826077107e-05,-0.0009008790416714595,0.03600795898911755,1.5294953917722258e-07,0.003024084220939337,6.724017196606731e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.0.conv2.weight,0.6131526755805556,-2.355558591897326e-05,-0.0012762395288715323,0.030101843376102444,9.910335135127277e-08,0.0033341060336259058,4.8477510152782015e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.0.conv_shortcut.weight,0.052282203692116065,4.440893971443183e-05,0.0026255314990702807,0.32351862383453983,2.1170812194621515e-07,0.008932880007643949,0.0004533066962235194,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.1.conv1.weight,0.4851332093365615,-2.6456232710588557e-05,-0.0014345895568783431,0.03801362902171292,1.1111132447873423e-07,0.00295164665406657,7.759485991923366e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.1.conv2.weight,0.6572459861136889,-2.8399663246326282e-05,-0.001279226599260446,0.033778298297221794,1.3219454751037806e-07,0.0047471820190587224,4.236914656282144e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.2.conv1.weight,0.5146227831899781,-2.949210767745904e-05,-0.001395375795044112,0.04107008639599701,1.8927110036257943e-07,0.006592221063224766,5.579092156342308e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.2.conv2.weight,0.6015476376614555,1.1328226685829732e-05,0.0006372852897793032,0.029550035803654492,2.050246652751908e-08,0.0011140461264019664,3.059376405581021e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.upsamplers.0.conv.weight,0.27824634041281426,1.4890736728293783e-05,0.00032964663182143144,0.16234468750192108,1.7853690932209277e-07,0.003908077828486204,0.00016418570695555577,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.3.resnets.0.conv1.weight,0.3478885727279285,-6.036687456587589e-05,-0.00424694732997444,0.04085842794192675,1.0408625354389878e-07,0.007589446850848789,3.942240265919982e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.3.resnets.0.conv2.weight,0.373706320770526,2.5738524006359188e-05,0.002839414615945405,0.024256290284998185,4.1631342234871325e-08,0.008353815595807453,1.3335370472812003e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.3.resnets.0.conv_shortcut.weight,0.04200119050094848,-4.906541536118725e-05,-0.003607492658073651,0.323823545412278,8.536400565898594e-08,0.009944990116047393,0.0002043660870508159,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.3.resnets.1.conv1.weight,0.24075198500202138,-3.550186410942998e-05,-0.0027112733114023247,0.0543886127411901,3.1423531280057114e-08,0.005943994681679691,2.195870373985613e-05,0.05988333374261856,3.705482185978326e-06
