method,layer,n,local_owner_gain,absolute_local_quality_dot,negative_owner_dot_fraction,diagnostic_priority
fixed_ptq_w4_c1.0_test,up_blocks.2.resnets.1.conv1.weight,4,0.0017160229549693408,1.4282493805763403e-05,1.0,99.72051899613783
fixed_ptq_w4_c1.0_test,up_blocks.3.resnets.0.conv1.weight,4,0.0008321092658519018,6.398313629284115e-06,1.0,89.24243578810672
fixed_ptq_w4_c1.0_test,up_blocks.3.resnets.1.conv1.weight,4,0.0007818429076548911,8.077365529986317e-06,0.75,71.05598769438755
fixed_ptq_w4_c1.0_test,up_blocks.3.resnets.1.conv2.weight,4,0.0005100795007402243,4.353475730514683e-06,1.0,70.07255058245167
fixed_ptq_w4_c1.0_test,up_blocks.2.resnets.2.conv1.weight,4,0.0010868387567165199,1.297566124720368e-05,1.0,68.34822958661479
fixed_ptq_w4_c1.0_test,up_blocks.3.resnets.0.conv_shortcut.weight,4,0.0013189833839316405,1.9507144972091313e-05,1.0,58.79663312153587
fixed_ptq_w4_c1.0_test,up_blocks.2.resnets.1.conv2.weight,4,0.0007549280428225235,1.584363037243189e-05,1.0,40.22108458781843
fixed_ptq_w4_c1.0_test,up_blocks.2.upsamplers.0.conv.weight,4,0.0006928121743968725,1.745496823599748e-05,0.75,33.99337823945158
fixed_ptq_w4_c1.0_test,up_blocks.1.resnets.1.conv2.weight,4,0.000785910339488155,2.3696348673359118e-05,0.75,29.520887708941476
fixed_ptq_w4_c1.0_test,up_blocks.1.resnets.0.conv2.weight,4,0.0007412943932682178,2.869790098833291e-05,0.75,23.44107972750871
fixed_ptq_w4_c1.0_test,up_blocks.1.upsamplers.0.conv.weight,4,0.0010384017952151379,5.622053809746452e-05,1.0,17.556476131900396
fixed_ptq_w4_c1.0_test,mid_block.attentions.0.to_v.weight,4,0.00010433769859348165,3.2514990840656194e-06,0.75,16.890423284326488
fixed_ptq_w4_c1.0_test,up_blocks.2.resnets.0.conv2.weight,4,0.00038573101975977096,2.148786885735812e-05,1.0,15.799778072636224
fixed_ptq_w4_c1.0_test,up_blocks.3.resnets.0.conv2.weight,4,0.00014265794961817,6.193443343413525e-06,0.5,15.64356592064923
fixed_ptq_w4_c1.0_test,up_blocks.1.resnets.2.conv2.weight,4,0.0003307586844425181,1.9284760877984195e-05,0.75,14.891935569907826
fixed_ptq_w4_c1.0_test,up_blocks.0.resnets.1.conv2.weight,4,0.00035981807180957644,2.1625803241480278e-05,1.0,14.655565765867179
fixed_ptq_w4_c1.0_test,up_blocks.1.resnets.2.conv1.weight,4,0.0005159936608776408,4.0749991555402705e-05,0.75,11.814171905222262
fixed_ptq_w4_c1.0_test,up_blocks.2.resnets.0.conv1.weight,4,0.00024828759388017646,2.0940842450689053e-05,0.75,10.403109067886561
fixed_ptq_w4_c1.0_test,up_blocks.0.resnets.1.conv1.weight,4,0.0003449343183872599,4.0821492289178803e-05,0.75,7.884695620055153
fixed_ptq_w4_c1.0_test,up_blocks.2.resnets.2.conv2.weight,4,7.782548095223322e-05,6.978793231282477e-06,0.5,7.85749050551555
fixed_ptq_w4_c1.0_test,up_blocks.2.resnets.0.conv_shortcut.weight,4,0.00047250468495229226,8.578889036655868e-05,1.0,5.326113686526448
