method,comparison_group,role,detector,test_quality_valid,search_quality_valid,bit_accuracy,tpr,n,evasion_rate,evasion_ci95_low,evasion_ci95_high,mean_abs_bit_accuracy_minus_half,detected_count,tpr_ci95_low,tpr_ci95_high,threshold_matches,lower_threshold_matches,lpips,psnr,ssim,highpass_energy_ratio,highpass_mse,reference_valid,total_bits,correct_bits,error_bits,net_additional_bit_errors,decoding_improved_images,decoding_worsened_images,decoding_tied_images,exact_message_accuracy,bit_accuracy_drop_pp,bit_accuracy_drop_ci95_low_pp,bit_accuracy_drop_ci95_high_pp,survival_on_originally_detected,evasion_on_originally_detected,survival_ci95_low,survival_ci95_high,tpr_drop_percentage_points,tpr_drop_ci95_low_pp,tpr_drop_ci95_high_pp,bit_accuracy_retained_percent,tpr_retained_percent
marked_reference_test,,reference,double,True,,0.985625,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.485625,99,0.9455138038212946,0.9982325679358593,36,12,0.0,120.0,1.0,1.0,0.0,True,4800,4731,69,0,0,0,100,0.75,0.0,0.0,0.0,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,100.0,100.0
pseudo_target_test,,diagnostic,double,True,,0.9814583333333331,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.48145833333333343,99,0.9455138038212946,0.9982325679358593,36,12,0.01303590188268572,41.636995010375976,0.9925714315192385,0.6611548715829849,6.312042258286965e-05,True,4800,4711,89,20,1,15,84,0.69,0.4166666666666667,0.20833333333333323,0.6666666666666664,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.57725639399702,100.0
fixed_ptq_w8_c1.0_test,w8_c1.0_all,candidate,double,True,True,0.9852083333333332,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.4852083333333333,99,0.9455138038212946,0.9982325679358593,36,12,0.00019757633192057255,56.706695556640625,0.9997078776359558,0.998166937828064,1.5602092038591308e-06,True,4800,4729,71,2,0,2,98,0.74,0.041666666666666664,0.0,0.10416666666666662,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.9577256393997,100.0
reconstruction_w8_c1.0_test,w8_c1.0_all,candidate,double,True,True,0.985625,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.485625,99,0.9455138038212946,0.9982325679358593,36,12,0.00017951294241356664,56.9069709777832,0.9997152090072632,0.9954403978586197,1.3773656813498291e-06,True,4800,4731,69,0,0,0,100,0.75,0.0,0.0,0.0,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,100.0,100.0
natural_residual_w8_c1.0_test,w8_c1.0_all,candidate,double,True,True,0.9810416666666667,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.48104166666666665,99,0.9455138038212946,0.9982325679358593,36,12,0.015300912000238896,37.7523307800293,0.9790229797363281,0.8275600522756577,0.00011183522509782051,True,4800,4709,91,22,9,22,69,0.7,0.4583333333333333,0.08333333333333304,0.8749999999999998,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.53498203339676,100.0
natural_residual_qat_w8_c1.0_test,w8_c1.0_all,candidate,double,True,True,0.98125,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.48125,99,0.9455138038212946,0.9982325679358593,36,12,0.014729543009307235,38.08076477050781,0.980519711971283,0.8322766786813736,0.00010369755556894234,True,4800,4710,90,21,8,20,72,0.7,0.4375,0.08333333333333315,0.8541666666666664,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.55611921369689,100.0
fixed_ptq_w4_c1.0_test,w4_c1.0_all,candidate,double,True,True,0.9835416666666669,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.48354166666666665,99,0.9455138038212946,0.9982325679358593,36,12,0.02316638145595789,33.00655746459961,0.9395577311515808,0.8951219093799591,0.00032946307237580186,True,4800,4721,79,10,6,11,83,0.71,0.20833333333333334,-0.04166666666666674,0.47916666666666635,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.78862819699854,100.0
reconstruction_w4_c1.0_test,w4_c1.0_all,candidate,double,True,True,0.9847916666666667,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.4847916666666666,99,0.9455138038212946,0.9982325679358593,36,12,0.010711822849698365,37.123329162597656,0.9716426730155945,0.9016474330425263,0.00015809235454071314,True,4800,4727,73,4,5,10,85,0.74,0.08333333333333333,-0.08333333333333348,0.25,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.91545127879941,100.0
natural_residual_w4_c1.0_test,w4_c1.0_all,candidate,double,True,True,0.76125,0.58,100,0.42000000000000004,0.3279838267435474,0.5179351329695704,0.26166666666666666,58,0.4820648670304296,0.6720161732564526,36,12,0.042735070725902914,29.41080093383789,0.8206989169120789,0.7432156285643577,0.0008970383237465285,True,4800,3654,1146,1077,0,100,0,0.0,22.4375,20.66614583333333,24.16666666666667,0.5858585858585859,0.41414141414141414,0.487397977962848,0.6779050058234847,41.0,31.975000000000005,50.0,77.23525681674064,58.58585858585858
natural_residual_qat_w4_c1.0_test,w4_c1.0_all,candidate,double,True,True,0.8366666666666667,0.8,100,0.19999999999999996,0.13336693333103256,0.28882916559315897,0.33666666666666667,80,0.711170834406841,0.8666330666689674,36,12,0.04081506014801562,29.84127426147461,0.8367560505867004,0.7535807561874389,0.0008148378485202557,True,4800,4016,784,715,0,100,0,0.0,14.895833333333334,13.416666666666668,16.31302083333333,0.8080808080808081,0.19191919191919193,0.7195963938569908,0.8735496067880851,18.999999999999993,12.0,27.0,84.88691608539422,80.8080808080808
natural_full_finetune_fp32_test,fp32_unrestricted_decoder_control,finetune_control,double,True,True,0.6358333333333334,0.08,100,0.92,0.8500189229905126,0.9589065385156194,0.14666666666666667,8,0.04109346148438061,0.14998107700948735,36,12,0.04913893556222319,28.846982955932617,0.8111283779144287,0.6614502668380737,0.0009463717188918963,True,4800,3052,1748,1679,0,100,0,0.0,34.979166666666664,33.35364583333333,36.64583333333333,0.08080808080808081,0.9191919191919192,0.0415144025029118,0.15141808842264046,91.0,85.0,96.0,64.51067427605157,8.080808080808081
reconstruction_w8_c1.0_final_test,w8_c1.0_all,endpoint_control,double,True,True,0.985625,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.485625,99,0.9455138038212946,0.9982325679358593,36,12,0.00018113782280124724,56.81459426879883,0.9997164011001587,0.9956765884160995,1.3730878792728162e-06,True,4800,4731,69,0,0,0,100,0.75,0.0,0.0,0.0,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,100.0,100.0
