candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,selection_objective
natural_full_finetune_w32_c1.0_step0,marked_fp32_fallback,natural_full_finetune,32,1.0,0,120.0,1.0,120.0,120.0,0.0,0.0044825395657994704,True,0.0,0.0,0.0044825395657994704,0.07518677371990634,,,0.012001216937790105
natural_full_finetune_w32_c1.0_step100,natural_full_finetune,natural_full_finetune,32,1.0,100,27.5999813079834,0.8071479797363281,23.230228424072266,22.89936065673828,0.44999998807907104,0.0047277191406465136,True,0.00034039583115372805,0.0020376690634293483,0.0047277191406465136,0.09073453303426504,,,0.013801172444073018
natural_full_finetune_w32_c1.0_step200,natural_full_finetune,natural_full_finetune,32,1.0,200,27.83661460876465,0.8092630505561829,22.922977447509766,22.406627655029297,0.44999998807907104,0.004491101280962084,True,0.00035683538881130515,0.0020159663428785278,0.004491101280962084,0.08564068280975334,,,0.013055169561937419
natural_full_finetune_w32_c1.0_step300,natural_full_finetune,natural_full_finetune,32,1.0,300,28.154882431030273,0.8054044842720032,23.266565322875977,22.9732608795166,0.44999998807907104,0.004392008683680615,True,0.00019877198974427301,0.0018751550349406898,0.004392008683680615,0.0789208567730384,,,0.012284094360984455
natural_full_finetune_w32_c1.0_step400,natural_full_finetune,natural_full_finetune,32,1.0,400,28.330646514892578,0.8139948844909668,23.64089584350586,22.871511459350586,0.4000000059604645,0.004327139696499671,True,0.00019584437468438408,0.0018063354073092341,0.004327139696499671,0.0747319599322509,,,0.011800335689724762
natural_full_finetune_w32_c1.0_step500,natural_full_finetune,natural_full_finetune,32,1.0,500,28.417877197265625,0.8097213506698608,23.477136611938477,23.013484954833984,0.44999998807907104,0.004140251294444397,True,0.0001954556448254152,0.0017864174878923222,0.004140251294444397,0.07154975742741954,,,0.011295227037186351
natural_full_finetune_w32_c1.0_step600,natural_full_finetune,natural_full_finetune,32,1.0,600,28.837636947631836,0.8187270164489746,23.661165237426758,23.2918701171875,0.4000000059604645,0.004022897699940131,True,0.00013080749649816426,0.0016317795088980347,0.004022897699940131,0.0670068187682773,,,0.010723579576767861
natural_full_finetune_w32_c1.0_step700,natural_full_finetune,natural_full_finetune,32,1.0,700,28.799861907958984,0.8206318616867065,23.771251678466797,23.31148338317871,0.4000000059604645,0.0040326631369111965,True,0.0001603677370439982,0.0016420093903434462,0.0040326631369111965,0.06340407273091841,,,0.010373070410003038
natural_full_finetune_w32_c1.0_step800,natural_full_finetune,natural_full_finetune,32,1.0,800,29.034860610961914,0.8237344622612,23.903911590576172,23.397218704223633,0.4000000059604645,0.003955013651335548,True,0.00011243324988754466,0.0015667576939449646,0.003955013651335548,0.06136227243769099,,,0.010091240895104648
natural_full_finetune_w32_c1.0_step900,natural_full_finetune,natural_full_finetune,32,1.0,900,29.15786361694336,0.8263339996337891,23.90682029724121,23.524478912353516,0.4000000059604645,0.003890662640287701,True,0.00012068966443621321,0.0015326971435570158,0.003890662640287701,0.05991701731909416,,,0.009882364372197118
natural_full_finetune_w32_c1.0_step1000,natural_full_finetune,natural_full_finetune,32,1.0,1000,29.13934898376465,0.8237722516059875,23.831369400024414,23.43947982788086,0.4000000059604645,0.003880939674900219,True,0.00010752356465673074,0.0015472808503545822,0.003880939674900219,0.05885144897183636,,,0.009766084572083856
