step,applied,reason,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate
1,True,,,,,0.004548890050500631,0.07251713424921036,1.8519383502280107e-06,0.043503422290086746,0.03169911354780197,0.0,0.0,0.0,0.00011051529872929677,5e-05
2,True,,,,,0.002740270923823118,0.05524713546037674,2.124568709405139e-06,0.02930295653641224,0.021033722907304764,2.847818925122425e-10,0.0,0.0,8.923716086428612e-05,0.0001
3,True,,,,,0.002930574119091034,0.055759333074092865,2.3913125914987177e-06,0.025750193744897842,0.017238903790712357,1.8025764214613105e-09,0.0,0.0,8.932236960390583e-05,0.00015000000000000001
4,True,,,,,0.0025704680010676384,0.05327528715133667,9.053404710357427e-07,0.024018356576561928,0.016118548810482025,5.8812945624708846e-09,0.0,0.0,7.360365270869806e-05,0.0002
5,True,,,,,0.00474849296733737,0.0752357468008995,2.419356860627886e-06,0.047148387879133224,0.034871481359004974,1.4233282996656271e-08,0.0,0.0,0.0001383446215186268,0.00025
6,True,,,,,0.006257695145905018,0.10244660079479218,1.6683748981449753e-05,0.059692323207855225,0.04315660148859024,3.025709460757753e-08,0.0,0.0,0.00013746877084486187,0.00030000000000000003
7,True,,,,,0.004663700237870216,0.09180480241775513,3.2476386877533514e-06,0.04521726816892624,0.03136659041047096,5.8381377954219715e-08,0.0,0.0,0.00012023677118122578,0.00035
8,True,,,,,0.0034278209786862135,0.061990220099687576,4.324762699070561e-07,0.03170471638441086,0.022077009081840515,1.0182997556285045e-07,0.0,0.0,8.057657396420836e-05,0.0004
9,True,,,,,0.009784670546650887,0.12946462631225586,1.8502649936635862e-06,0.09449505805969238,0.07176022231578827,1.6402738367560232e-07,0.0,0.0,0.0001885433157440275,0.00045000000000000004
10,True,,,,,0.0024474887177348137,0.06151217967271805,2.1205464690865483e-06,0.025833038613200188,0.017230089753866196,2.5671448611319647e-07,0.0,0.0,8.898876694729552e-05,0.0005
11,True,,,,,0.00425320491194725,0.08638973534107208,2.3817055989638902e-06,0.04309352859854698,0.03019658289849758,3.799881937993632e-07,0.0,0.0,0.0001125749186030589,0.0005499999999999999
12,True,,,,,0.003899721195921302,0.08013727515935898,9.141392069977883e-07,0.037709519267082214,0.025794237852096558,5.435505272544106e-07,0.0,0.0,0.00012708792928606272,0.0006000000000000001
13,True,,,,,0.004003243520855904,0.08259307593107224,2.4346622922166716e-06,0.04305591434240341,0.03078848496079445,7.566603699160623e-07,0.0,0.0,0.00011650881060631946,0.0006500000000000001
14,True,,,,,0.005742184817790985,0.08409890532493591,1.656915083003696e-05,0.05557074025273323,0.04138551652431488,1.028596784635738e-06,0.0,0.0,0.00012634825543500483,0.0007
15,True,,,,,0.004124257247895002,0.07357297837734222,3.2294055927195586e-06,0.03925305977463722,0.027765031903982162,1.3718113223148976e-06,0.0,0.0,0.00010643794666975737,0.00075
16,True,,,,,0.003803197294473648,0.0797538310289383,4.7005306669234415e-07,0.041355203837156296,0.029575666412711143,1.7926354303199332e-06,0.0,0.0,9.229622082784772e-05,0.0008
17,True,,,,,0.0031042280606925488,0.06976759433746338,1.8842255258277874e-06,0.03164234012365341,0.021557560190558434,2.2922883999854093e-06,0.0,0.0,8.77104903338477e-05,0.0008500000000000001
18,True,,,,,0.004484339617192745,0.0921403244137764,2.377000328124268e-06,0.04633243754506111,0.03262928128242493,2.8662630029430147e-06,0.0,0.0,0.00010526779078645632,0.0009000000000000001
19,True,,,,,0.006645025219768286,0.08992082625627518,2.449328803777462e-06,0.07004136592149734,0.05439932271838188,3.533232302288525e-06,0.0,0.0,0.00014757711323909461,0.00095
20,True,,,,,0.0016964426031336188,0.04078371822834015,1.2572587593240314e-06,0.015505680814385414,0.009728308767080307,4.3275563257338945e-06,0.0,0.0,6.960038444958627e-05,0.001
21,True,,,,,0.006473962217569351,0.08129924535751343,2.512552782718558e-06,0.058192890137434006,0.04358392581343651,5.207738922763383e-06,0.0,0.0,0.00012554165732581168,0.001
22,True,,,,,0.0019450306426733732,0.054003577679395676,1.6922909708227962e-05,0.021570712327957153,0.014191417023539543,6.189225132402498e-06,0.0,0.0,6.655537436017767e-05,0.0009999976830508245
23,True,,,,,0.0024991619866341352,0.04985591769218445,3.262023255956592e-06,0.023207154124975204,0.01571580395102501,7.207168891909532e-06,0.0,0.0,8.41061191749759e-05,0.0009999907322271572
24,True,,,,,0.0029594663064926863,0.06326417624950409,7.436168516505859e-07,0.027595866471529007,0.01830841228365898,8.276332664536312e-06,0.0,0.0,8.420417725574225e-05,0.0009999791476005744
25,True,,,,,0.003715063910931349,0.06258060038089752,2.0757588572450913e-06,0.036000560969114304,0.02602319046854973,9.39480923989322e-06,0.0,0.0,7.532633753726259e-05,0.0009999629292903696
26,True,,,,,0.005858990829437971,0.09509652853012085,3.1057056730787735e-06,0.059006787836551666,0.04363182932138443,1.0544044926064089e-05,0.0,0.0,0.0001064104144461453,0.0009999420774635514
27,True,,,,,0.0037531747948378325,0.060806550085544586,2.676606527529657e-06,0.03426627814769745,0.024426978081464767,1.1777426152548287e-05,0.0,0.0,0.00010640048276400194,0.0009999165923348426
28,True,,,,,0.002259154338389635,0.046015702188014984,2.2381618691724725e-06,0.0217843409627676,0.014919009990990162,1.3081277757009957e-05,0.0,0.0,6.100028986111283e-05,0.0009998864741666779
29,True,,,,,0.003255584044381976,0.06732136011123657,3.0014157346158754e-06,0.03315451368689537,0.023160645738244057,1.4349933735502418e-05,0.0,0.0,7.85517695476301e-05,0.0009998517232692006
30,True,,,,,0.005156284663826227,0.07667071372270584,1.7397644114680588e-05,0.05215223878622055,0.03929392993450165,1.5657160474802367e-05,0.0,0.0,9.60140023380518e-05,0.0009998123400002596
31,True,,,,,0.0029094014316797256,0.0747053325176239,3.436253564359504e-06,0.02819664590060711,0.0178096704185009,1.6984356989269145e-05,0.0,0.0,6.845055031590164e-05,0.0009997683247654065
32,True,,,,,0.0048034959472715855,0.08373712003231049,1.212005372508429e-06,0.04534357786178589,0.03216376155614853,1.8312692191102542e-05,0.0,0.0,9.979025344364345e-05,0.0009997196780178901
33,True,,,,,0.0034307953901588917,0.07009537518024445,2.4195314836106263e-06,0.030955621972680092,0.020510252565145493,1.969572258531116e-05,0.0,0.0,7.19810850569047e-05,0.0009996664002586532
34,True,,,,,0.003929554019123316,0.08438751101493835,4.136481948080473e-06,0.03901735693216324,0.02664056606590748,2.1049812858109362e-05,0.0,0.0,6.989340909058228e-05,0.0009996084920363263
35,True,,,,,0.004534273874014616,0.07433098554611206,3.1002653031464433e-06,0.05026467889547348,0.03829088434576988,2.2417772925109603e-05,0.0,0.0,0.00010776637645903975,0.000999545953947222
