candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,selection_objective
reconstruction_w8_c1.0_step0,rtn_fallback,reconstruction,8,1.0,0,57.079833984375,0.9997356534004211,53.20294952392578,52.35723114013672,0.0,2.3042802979489354e-06,True,3.0519668321460357e-07,2.3042802979489354e-06
reconstruction_w8_c1.0_step100,reconstruction,reconstruction,8,1.0,100,57.0281867980957,0.9997356534004211,53.01832962036133,52.515506744384766,0.0,2.294716804840391e-06,True,3.0354662925446976e-07,2.294716804840391e-06
reconstruction_w8_c1.0_step200,reconstruction,reconstruction,8,1.0,200,57.06727981567383,0.9997396469116211,53.18885040283203,52.62982940673828,0.0,2.260233142692414e-06,True,2.9614943990452504e-07,2.260233142692414e-06
reconstruction_w8_c1.0_step300,reconstruction,reconstruction,8,1.0,300,57.007110595703125,0.9997336268424988,53.35857009887695,52.760231018066406,0.0,2.2685908305675186e-06,True,3.2106034950629694e-07,2.2685908305675186e-06
reconstruction_w8_c1.0_step400,reconstruction,reconstruction,8,1.0,400,57.002342224121094,0.9997236132621765,53.302547454833984,52.79316711425781,0.0,2.273034115773953e-06,True,3.5564080285155343e-07,2.273034115773953e-06
reconstruction_w8_c1.0_step500,reconstruction,reconstruction,8,1.0,500,57.1185188293457,0.9997283816337585,53.45302200317383,52.907310485839844,0.0,2.2093356591312842e-06,True,3.116638328748422e-07,2.2093356591312842e-06
reconstruction_w8_c1.0_step600,reconstruction,reconstruction,8,1.0,600,57.15394973754883,0.9997339248657227,53.637935638427734,53.00241470336914,0.0,2.182779437021054e-06,True,3.113011779021235e-07,2.182779437021054e-06
reconstruction_w8_c1.0_step700,reconstruction,reconstruction,8,1.0,700,57.11962890625,0.9997243881225586,53.620887756347656,52.97378921508789,0.0,2.197147381366449e-06,True,3.17118471926392e-07,2.197147381366449e-06
reconstruction_w8_c1.0_step800,reconstruction,reconstruction,8,1.0,800,57.1712532043457,0.9997256994247437,53.639991760253906,53.055782318115234,0.0,2.173630483071065e-06,True,3.138023565441017e-07,2.173630483071065e-06
reconstruction_w8_c1.0_step900,reconstruction,reconstruction,8,1.0,900,57.14728927612305,0.9997230768203735,53.615074157714844,53.02438735961914,0.0,2.1853286540363115e-06,True,3.2124103661601565e-07,2.1853286540363115e-06
reconstruction_w8_c1.0_step1000,reconstruction,reconstruction,8,1.0,1000,57.126792907714844,0.9997307062149048,53.668907165527344,52.99104690551758,0.0,2.190949078340054e-06,True,3.235989670002937e-07,2.190949078340054e-06
