method,quality_policy,test_quality_valid,search_quality_valid,selection_status,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,interpretation
marked_reference_test,report,True,,,120.0,1.0,120.0,120.0,0.0,9.730290727929969e-05,True,0.0,
pseudo_target_test,report,True,,,41.636995010375976,0.9925714315192385,,,,,True,,"Direct smoothing hypothesis, not a clean target or quantized model"
fixed_ptq_w4_c1.0_test,report,True,True,selected,33.00655746459961,0.9395577311515808,28.131155014038086,27.743331909179688,0.0,0.0005622724550630665,True,8.791840951744234e-05,
reconstruction_w4_c1.0_test,report,True,True,selected,37.13715744018555,0.9719850420951843,31.98991584777832,31.15210723876953,0.0,0.0002669459557364462,True,1.36399955727029e-05,
fixed_ptq_w8_c1.0_test,report,True,True,selected,56.706695556640625,0.9997078776359558,52.11763000488281,50.77616882324219,0.0,9.846782229942619e-05,True,3.369866121971654e-07,
reconstruction_w8_c1.0_test,report,True,True,selected,56.82390594482422,0.9997003078460693,52.68870544433594,51.10805892944336,0.0,9.646730069107434e-05,True,4.018001818906214e-07,
natural_residual_w4_c1.0_test,report,True,True,selected,29.501510620117188,0.8212257623672485,23.755765914916992,22.55160903930664,0.36000001430511475,0.0012629819501307792,True,5.3933657727611714e-05,
natural_residual_qat_w4_c1.0_test,report,True,True,selected,29.938840866088867,0.8378954529762268,24.228424072265625,22.98822593688965,0.30000001192092896,0.0011331742072070482,True,5.030355423514265e-05,
natural_residual_w8_c1.0_test,report,True,True,selected,37.941646575927734,0.9792725443840027,32.348785400390625,31.81551170349121,0.0,0.00019013331087080587,True,1.3041722688740265e-05,
natural_residual_qat_w8_c1.0_test,report,True,True,selected,38.2627067565918,0.9807573556900024,32.69886779785156,32.05674362182617,0.0,0.0001789680689762463,True,1.1880568774813582e-05,
natural_full_finetune_fp32_test,report,True,True,selected,28.863515853881836,0.8138473629951477,23.175952911376953,22.4530029296875,0.4099999964237213,0.001413329122151481,True,0.00011373269448085921,
reconstruction_w4_c1.0_final_test,report,True,True,selected,37.13325119018555,0.9718992114067078,31.986616134643555,31.004159927368164,0.0,0.00026798686074471336,True,1.370055666029657e-05,
reconstruction_w8_c1.0_final_test,report,True,True,selected,56.7983512878418,0.9997053742408752,52.74317932128906,51.078895568847656,0.0,9.683636648333049e-05,True,4.082583364706238e-07,
