step,applied,reason,joint_w4_loss,cycle_loss,teacher_mse,budget_penalty,dual_mse,dual_ssim,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate,reconstruction_gradient_norm,cycle_gradient_norm,joint_w4_gradient_norm
1,True,,0.013294962234795094,0.02697402611374855,,0.0,,,,,,0.004551718011498451,0.07249654084444046,0.0,0.025366075336933136,0.0,0.0,0.0,0.0,0.15437348186969757,2.5e-05,,,
2,True,,0.009887661784887314,0.03730900585651398,,0.0,,,,,,0.0027509897481650114,0.05461137741804123,0.0,0.018472880125045776,0.0,0.0,0.0,0.0,0.11330938339233398,5e-05,,,
3,True,,0.009486682713031769,0.024111058562994003,,0.0,,,,,,0.002961281454190612,0.05640878900885582,0.0,0.018329953774809837,0.0,0.0,0.0,0.0,0.10928925126791,7.500000000000001e-05,,,
4,True,,0.008684965781867504,0.026841064915060997,,0.0,,,,,,0.002535419538617134,0.055492207407951355,0.0,0.017038017511367798,0.0,0.0,0.0,0.0,0.11328314244747162,0.0001,,,
5,True,,0.01294189877808094,0.020658131688833237,,0.0,,,,,,0.004660734906792641,0.07576119899749756,0.0,0.025385335087776184,0.0,0.0,0.0,0.0,0.11216548830270767,0.000125,,,
6,True,,0.017056383192539215,0.030315104871988297,,0.0,,,,,,0.00611074548214674,0.09981755912303925,0.0,0.03345203399658203,0.0,0.0,0.0,0.0,0.12086079269647598,0.00015000000000000001,,,
7,True,,0.014706341549754143,0.03801266476511955,,0.0,,,,,,0.004622108768671751,0.08624988794326782,0.0,0.028333565220236778,0.0,0.0,0.0,0.0,0.13435621559619904,0.000175,,,
8,True,,0.010431447066366673,0.0295889750123024,,0.0,,,,,,0.0033655278384685516,0.06108316034078598,0.0,0.0202011801302433,0.0,0.0,0.0,0.0,0.16698023676872253,0.0002,,,
9,True,,0.022871490567922592,0.03169923648238182,,0.0,,,,,,0.009989641606807709,0.11911641061306,0.0,0.04508976638317108,0.0,0.0,0.0,0.0,0.17214755713939667,0.00022500000000000002,,,
10,True,,0.010463809594511986,0.025801362469792366,,0.0,,,,,,0.0026854677125811577,0.06534291803836823,0.0,0.019941583275794983,0.0,0.0,0.0,0.0,0.1919991821050644,0.00025,,,
11,True,,0.015183656476438046,0.028895296156406403,,0.0,,,,,,0.00444982573390007,0.0976276695728302,0.0,0.02968520298600197,0.0,0.0,0.0,0.0,0.24405640363693237,0.00027499999999999996,,,
12,True,,0.012795102782547474,0.026842204853892326,,0.0,,,,,,0.0038308254443109035,0.08435149490833282,0.0,0.025329500436782837,0.0,0.0,0.0,0.0,0.1122913509607315,0.00030000000000000003,,,
13,True,,0.013828720897436142,0.03309646248817444,,0.0,,,,,,0.003850660752505064,0.09285575151443481,0.0,0.027295920997858047,0.0,0.0,0.0,0.0,0.14236702024936676,0.00032500000000000004,,,
14,True,,0.014692598022520542,0.029114291071891785,,0.0,,,,,,0.005565721541643143,0.08147811889648438,0.0,0.02869727462530136,0.0,0.0,0.0,0.0,0.13035358488559723,0.00035,,,
15,True,,0.012996049597859383,0.025740649551153183,,0.0,,,,,,0.004111460875719786,0.07944218814373016,0.0,0.025309136137366295,0.0,0.0,0.0,0.0,0.12099099159240723,0.000375,,,
16,True,,0.013932997360825539,0.029382780194282532,,0.0,,,,,,0.003870983375236392,0.08985012769699097,0.0,0.02708282135426998,0.0,0.0,0.0,0.0,0.147283673286438,0.0004,,,
17,True,,0.012122981250286102,0.03047976642847061,,0.0,,,,,,0.003330607432872057,0.07942765951156616,0.0,0.023701151832938194,0.0,0.0,0.0,0.0,0.16747550666332245,0.00042500000000000003,,,
18,True,,0.016103452071547508,0.03702232241630554,,0.0,,,,,,0.004612097982317209,0.10285307466983795,0.0,0.03137107938528061,0.0,0.0,0.0,0.0,0.18847155570983887,0.00045000000000000004,,,
19,True,,0.017990432679653168,0.03633842617273331,,0.0,,,,,,0.0068115247413516045,0.09673784673213959,0.0,0.034839123487472534,0.0,0.0,0.0,0.0,0.18110902607440948,0.000475,,,
20,True,,0.007932715117931366,0.032813675701618195,,0.0,,,,,,0.0018453027587383986,0.04934339225292206,0.0,0.015040493570268154,0.0,0.0,0.0,0.0,0.24223051965236664,0.0005,,,
21,True,,0.01717456988990307,0.038791682571172714,,0.0,,,,,,0.00702425092458725,0.09445714950561523,0.0,0.03403245285153389,0.0,0.0,0.0,0.0,0.1894279271364212,0.0005,,,
22,True,,0.010199529118835926,0.033155642449855804,,0.0,,,,,,0.0019745377358049154,0.07117291539907455,0.0,0.019622914493083954,0.0,0.0,0.0,0.0,0.2506507635116577,0.0004999997164950878,,,
23,True,,0.01041859295219183,0.025928886607289314,,0.0,,,,,,0.0028716314118355513,0.0629773661494255,0.0,0.01984724961221218,0.0,0.0,0.0,0.0,0.1680806428194046,0.0004999988659810655,,,
24,True,,0.013258948922157288,0.07562550157308578,,0.0,,,,,,0.0029758610762655735,0.08398722112178802,0.0,0.025389786809682846,0.0,0.0,0.0,0.0,0.22990769147872925,0.0004999974484600767,,,
25,True,,0.013474849052727222,0.036934517323970795,,0.0,,,,,,0.004030048847198486,0.08408011496067047,0.0,0.026282254606485367,0.0,0.0,0.0,0.0,0.1746249794960022,0.0004999954639356932,,,
26,True,,0.01849379576742649,0.03810318931937218,,0.0,,,,,,0.006165539845824242,0.11175879091024399,0.0,0.03621624782681465,0.0,0.0,0.0,0.0,0.15162818133831024,0.0004999929124129165,,,
27,True,,0.012086983770132065,0.03224530443549156,,0.0,,,,,,0.003917631693184376,0.07255911827087402,0.0,0.023582980036735535,0.0,0.0,0.0,0.0,0.13132257759571075,0.0004999897938981763,,,
28,True,,0.010478517040610313,0.034773632884025574,,0.0,,,,,,0.0026829715352505445,0.06928180158138275,0.0,0.02043740451335907,0.0,0.0,0.0,0.0,0.1999058872461319,0.0004999861083993315,,,
29,True,,0.012011932209134102,0.03478257358074188,,0.0,,,,,,0.0034065209329128265,0.07949526607990265,0.0,0.023715805262327194,0.0,0.0,0.0,0.0,0.12374887615442276,0.0004999818559256697,,,
30,True,,0.017096607014536858,0.04570988565683365,,0.0,,,,,,0.005793177522718906,0.10169333219528198,0.0,0.03351621702313423,0.0,0.0,0.0,0.0,0.16846022009849548,0.0004999770364879073,,,
31,True,,0.014243208803236485,0.047593533992767334,,0.0,,,,,,0.0031682979315519333,0.09731236100196838,0.0,0.02761867828667164,0.0,0.0,0.0,0.0,0.15029174089431763,0.0004999716500981894,,,
32,True,,0.016215264797210693,0.03482497110962868,,0.0,,,,,,0.00551860686391592,0.09000365436077118,0.0,0.031082486733794212,0.0,0.0,0.0,0.0,0.1645107865333557,0.0004999656967700901,,,
33,True,,0.014043180271983147,0.045080170035362244,,0.0,,,,,,0.0036209747195243835,0.0905279815196991,0.0,0.027167756110429764,0.0,0.0,0.0,0.0,0.20559276640415192,0.000499959176518612,,,
34,True,,0.014697980135679245,0.0657285749912262,,0.0,,,,,,0.004245315678417683,0.09125375747680664,0.0,0.02872595749795437,0.0,0.0,0.0,0.0,0.1374940723180771,0.0004999520893601865,,,
35,True,,0.014878845773637295,0.03876405954360962,,0.0,,,,,,0.004929766058921814,0.09300076216459274,0.0,0.0294963289052248,0.0,0.0,0.0,0.0,0.18602252006530762,0.0004999444353126733,,,
36,True,,0.014556048437952995,0.054413508623838425,,0.0,,,,,,0.004371535964310169,0.08968505263328552,0.0,0.02844022586941719,0.0,0.0,0.0,0.0,0.21718749403953552,0.000499936214395361,,,
