step,applied,reason,joint_w4_loss,cycle_loss,teacher_mse,budget_penalty,dual_mse,dual_ssim,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate,reconstruction_gradient_norm,residual_gradient_norm,cycle_gradient_norm,preservation_gradient_norm
1,True,,,0.03328896313905716,,0.0,,,,,,0.003799453843384981,0.0541805699467659,4.181037002126686e-05,0.03443605825304985,0.024015765637159348,0.0848984345793724,0.0,0.0,0.0008038763189688325,5e-05,,,,
2,True,,,0.04831657558679581,,0.0,,,,,,0.002188649959862232,0.04437250643968582,8.300004992634058e-05,0.02387404255568981,0.01587449014186859,0.08489836752414703,0.0,0.0,0.0006525886128656566,0.0001,,,,
3,True,,,0.024324467405676842,,0.0,,,,,,0.002242874354124069,0.04078981280326843,4.107535278308205e-05,0.02008761651813984,0.012652996927499771,0.08489823341369629,0.0,0.0,0.000803223461844027,0.00015000000000000001,,,,
4,True,,,0.03740210831165314,,0.0,,,,,,0.0020633358508348465,0.03601423278450966,8.033138874452561e-05,0.018398340791463852,0.011470413766801357,0.08489809185266495,0.0,0.0,0.0005069710896350443,0.0002,,,,
5,True,,,0.032066576182842255,,0.0,,,,,,0.003843043465167284,0.056309379637241364,4.8101712309289724e-05,0.036284856498241425,0.02561718039214611,0.08489783853292465,0.0,0.0,0.0007725019240751863,0.00025,,,,
6,True,,,0.044505517929792404,,0.0,,,,,,0.005406375043094158,0.07339790463447571,6.275133637245744e-05,0.046467170119285583,0.03239559754729271,0.08489755541086197,0.0,0.0,0.0010025619994848967,0.00030000000000000003,,,,
7,True,,,0.05605069920420647,,0.0,,,,,,0.00392808485776186,0.061380401253700256,3.079832822550088e-05,0.03526498004794121,0.023773975670337677,0.08489725738763809,0.0,0.0,0.0008331775316037238,0.00035,,,,
8,True,,,0.03403067961335182,,0.0,,,,,,0.0027221746277064085,0.04808163642883301,4.308111238060519e-05,0.02458125911653042,0.01584010384976864,0.08489695936441422,0.0,0.0,0.0007373925764113665,0.0004,,,,
9,True,,,0.03775567561388016,,0.0,,,,,,0.008802561089396477,0.08974392712116241,4.181037002126686e-05,0.07524854689836502,0.056224167346954346,0.08489660918712616,0.0,0.0,0.0014891476603224874,0.00045000000000000004,,,,
10,True,,,0.025842655450105667,,0.0,,,,,,0.0019573208410292864,0.04370155185461044,8.300004992634058e-05,0.01982797682285309,0.012351610697805882,0.0848962664604187,0.0,0.0,0.0005380521179176867,0.0005,,,,
11,True,,,0.03416901081800461,,0.0,,,,,,0.003514916403219104,0.06366842985153198,4.107535278308205e-05,0.03379162773489952,0.02269867993891239,0.08489590883255005,0.0,0.0,0.0008253210107795894,0.0005499999999999999,,,,
12,True,,,0.03318452090024948,,0.0,,,,,,0.0031673102639615536,0.0563187375664711,8.033138874452561e-05,0.028457295149564743,0.01843714527785778,0.0848955288529396,0.0,0.0,0.000659057404845953,0.0006000000000000001,,,,
13,True,,,0.03970475494861603,,0.0,,,,,,0.003260285360738635,0.06235774606466293,4.8101712309289724e-05,0.03360573947429657,0.022839626297354698,0.08489517122507095,0.0,0.0,0.0007217619568109512,0.0006500000000000001,,,,
14,True,,,0.03223488852381706,,0.0,,,,,,0.004871223587542772,0.06034582108259201,6.275133637245744e-05,0.04381030797958374,0.03170182928442955,0.0848948210477829,0.0,0.0,0.0007925743702799082,0.0007,,,,
15,True,,,0.031215909868478775,,0.0,,,,,,0.0033873103093355894,0.055859699845314026,3.079832822550088e-05,0.03092319145798683,0.02077341079711914,0.08489442616701126,0.0,0.0,0.0006565435905940831,0.00075,,,,
16,True,,,0.038786426186561584,,0.0,,,,,,0.0031722746789455414,0.06341533362865448,4.308111238060519e-05,0.033389557152986526,0.02261740155518055,0.08489403128623962,0.0,0.0,0.0007148421136662364,0.0008,,,,
17,True,,,0.02748160809278488,,0.0,,,,,,0.002549441996961832,0.050667278468608856,4.181037002126686e-05,0.025133557617664337,0.01637272909283638,0.08489364385604858,0.0,0.0,0.0006767846643924713,0.0008500000000000001,,,,
18,True,,,0.040159016847610474,,0.0,,,,,,0.0038381563499569893,0.06563664972782135,8.300004992634058e-05,0.03616882115602493,0.0244749765843153,0.08489324152469635,0.0,0.0,0.000798551831394434,0.0009000000000000001,,,,
19,True,,,0.04021647199988365,,0.0,,,,,,0.005948612000793219,0.06259545683860779,4.107535278308205e-05,0.056417208164930344,0.042937424033880234,0.08489277213811874,0.0,0.0,0.0009203053778037429,0.00095,,,,
20,True,,,0.029150301590561867,,0.0,,,,,,0.0012060812441632152,0.02780357375741005,8.033138874452561e-05,0.011688930913805962,0.006521899718791246,0.08489234745502472,0.0,0.0,0.0006178049370646477,0.001,,,,
21,True,,,0.03708730265498161,,0.0,,,,,,0.005673801526427269,0.05720854550600052,4.8101712309289724e-05,0.0461098775267601,0.033471379429101944,0.0848919078707695,0.0,0.0,0.0008624134352430701,0.001,,,,
22,True,,,0.029859263449907303,,0.0,,,,,,0.0014982328284531832,0.03945007175207138,6.275133637245744e-05,0.01707313023507595,0.010451005771756172,0.08489154279232025,0.0,0.0,0.0005525111919268966,0.0009999994329901755,,,,
23,True,,,0.02364993840456009,,0.0,,,,,,0.0018863945733755827,0.03730074316263199,3.079832822550088e-05,0.017939502373337746,0.011222222819924355,0.08489114791154861,0.0,0.0,0.0006105602951720357,0.000999997731962131,,,,
24,True,,,0.039964459836483,,0.0,,,,,,0.0023304629139602184,0.046751707792282104,4.308111238060519e-05,0.021351732313632965,0.013076003640890121,0.08489075303077698,0.0,0.0,0.0006584433722309768,0.0009999948969201533,,,,
25,True,,,0.029419569298624992,,0.0,,,,,,0.0031465203501284122,0.04764866828918457,4.181037002126686e-05,0.029210662469267845,0.020135268568992615,0.08489038050174713,0.0,0.0,0.0007664274889975786,0.0009999909278713864,,,,
26,True,,,0.03906930238008499,,0.0,,,,,,0.005188317503780127,0.07297098636627197,8.300004992634058e-05,0.048529643565416336,0.03476313129067421,0.08489001542329788,0.0,0.0,0.0010422561317682266,0.000999985824825833,,,,
27,True,,,0.028801726177334785,,0.0,,,,,,0.0031387819908559322,0.04365059360861778,4.107535278308205e-05,0.026571940630674362,0.01791064813733101,0.0848897397518158,0.0,0.0,0.0007125296979211271,0.0009999795877963526,,,,
28,True,,,0.03154013305902481,,0.0,,,,,,0.001837645540945232,0.03404107689857483,8.033138874452561e-05,0.01788420043885708,0.011437986046075821,0.08488950878381729,0.0,0.0,0.0005978959379717708,0.000999972216798663,,,,
29,True,,,0.026232663542032242,,0.0,,,,,,0.0027138690929859877,0.04923456162214279,4.8101712309289724e-05,0.026141390204429626,0.017368795350193977,0.08488921821117401,0.0,0.0,0.0006420373683795333,0.0009999637118513394,,,,
30,True,,,0.04210306704044342,,0.0,,,,,,0.004342866595834494,0.05841479450464249,6.275133637245744e-05,0.04210919514298439,0.030623553320765495,0.0848889946937561,0.0,0.0,0.0009693274623714387,0.0009999540729758146,,,,
31,True,,,0.038768377155065536,,0.0,,,,,,0.002443490317091346,0.052484575659036636,3.079832822550088e-05,0.02227739617228508,0.013333478942513466,0.08488881587982178,0.0,0.0,0.0006791719933971763,0.0009999433001963787,,,,
32,True,,,0.030301524326205254,,0.0,,,,,,0.004053774755448103,0.060767658054828644,4.308111238060519e-05,0.03570403531193733,0.024400051683187485,0.08488857746124268,0.0,0.0,0.0008730535046197474,0.0009999313935401802,,,,
33,True,,,0.03237273544073105,,0.0,,,,,,0.00277715059928596,0.05228481441736221,4.181037002126686e-05,0.024609709158539772,0.015410559251904488,0.08488842099905014,0.0,0.0,0.0008207659120671451,0.000999918353037224,,,,
34,True,,,0.06317491084337234,,0.0,,,,,,0.0034700899850577116,0.05751660466194153,8.300004992634058e-05,0.031758684664964676,0.021014804020524025,0.08488824963569641,0.0,0.0,0.000598483020439744,0.000999904178720373,,,,
35,True,,,0.03134746849536896,,0.0,,,,,,0.0037658929359167814,0.05646893382072449,4.107535278308205e-05,0.04001885652542114,0.029423173516988754,0.08488814532756805,0.0,0.0,0.0010473664151504636,0.0009998888706253465,,,,
36,True,,,0.0383286215364933,,0.0,,,,,,0.0034712578635662794,0.05563604459166527,8.033138874452561e-05,0.032411765307188034,0.022104568779468536,0.08488809317350388,0.0,0.0,0.0006577007588930428,0.000999872428790722,,,,
37,True,,,0.034955717623233795,,0.0,,,,,,0.004550641402602196,0.06626766920089722,4.8101712309289724e-05,0.042911555618047714,0.030511656776070595,0.0848880261182785,0.0,0.0,0.0010307513875886798,0.000999854853257934,,,,
38,True,,,0.026552977040410042,,0.0,,,,,,0.0017683015903458,0.0431876964867115,6.275133637245744e-05,0.018748510628938675,0.011515654623508453,0.08488809317350388,0.0,0.0,0.000616242818068713,0.000999836144071273,,,,
39,True,,,0.036632273346185684,,0.0,,,,,,0.0023455643095076084,0.04836028069257736,3.079832822550088e-05,0.021257130429148674,0.012844935059547424,0.08488815277814865,0.0,0.0,0.0006433623493649065,0.0009998163012778871,,,,
40,True,,,0.03139433637261391,,0.0,,,,,,0.002178346272557974,0.0385906845331192,4.308111238060519e-05,0.02065020427107811,0.013428423553705215,0.08488821238279343,0.0,0.0,0.0007674578228034079,0.0009997953249277812,,,,
41,True,,,0.05476188659667969,,0.0,,,,,,0.00550644239410758,0.06274972856044769,4.181037002126686e-05,0.044689420610666275,0.03149060159921646,0.08488823473453522,0.0,0.0,0.0022614288609474897,0.0009997732150738164,,,,
42,True,,,0.03353852033615112,,0.0,,,,,,0.004174262285232544,0.06274928152561188,8.300004992634058e-05,0.03899410367012024,0.027319148182868958,0.08488821238279343,0.0,0.0,0.0008694070857018232,0.0009997499717717107,,,,
43,True,,,0.03917836397886276,,0.0,,,,,,0.0032555710058659315,0.059976134449243546,4.107535278308205e-05,0.02860063873231411,0.018086250871419907,0.0848882794380188,0.0,0.0,0.0007472155848518014,0.0009997255950800381,,,,
44,True,,,0.02956533059477806,,0.0,,,,,,0.002319023013114929,0.045437462627887726,8.033138874452561e-05,0.024634554982185364,0.01658708229660988,0.08488842844963074,0.0,0.0,0.0007499335333704948,0.0009997000850602291,,,,
45,True,,,0.0367778055369854,,0.0,,,,,,0.005440215580165386,0.06281156837940216,4.8101712309289724e-05,0.045555923134088516,0.03259383514523506,0.08488865196704865,0.0,0.0,0.0010242408607155085,0.0009996734417765697,,,,
46,True,,,0.039098095148801804,,0.0,,,,,,0.00296189496293664,0.0600966140627861,6.275133637245744e-05,0.02959670126438141,0.019353900104761124,0.08488893508911133,0.0,0.0,0.0009352090419270098,0.0009996456652962024,,,,
47,True,,,0.03479432687163353,,0.0,,,,,,0.0022861191537231207,0.04054148122668266,3.079832822550088e-05,0.02250727452337742,0.014954773709177971,0.08488915860652924,0.0,0.0,0.0006229537539184093,0.0009996167556891253,,,,
48,True,,,0.03256044536828995,,0.0,,,,,,0.0038737382274121046,0.06449414789676666,4.308111238060519e-05,0.037853848189115524,0.026334654539823532,0.08488938957452774,0.0,0.0,0.0007552248425781727,0.0009995867130281916,,,,
49,True,,,0.023753926157951355,,0.0,,,,,,0.0012747431173920631,0.033235225826501846,4.181037002126686e-05,0.012388108298182487,0.006682501174509525,0.08488970249891281,0.0,0.0,0.0005512583302333951,0.0009995555373891103,,,,
50,True,,,0.03300177678465843,,0.0,,,,,,0.0018144923960790038,0.040709808468818665,8.300004992634058e-05,0.017832642421126366,0.010726752690970898,0.08488994836807251,0.0,0.0,0.000583061424549669,0.000999523228850445,,,,
51,True,,,0.024610618129372597,,0.0,,,,,,0.0018587717786431313,0.041259296238422394,4.107535278308205e-05,0.017403677105903625,0.010303432121872902,0.08489013463258743,0.0,0.0,0.0005512961652129889,0.0009994897874936151,,,,
52,True,,,0.05431132763624191,,0.0,,,,,,0.0041167945601046085,0.049545127898454666,8.033138874452561e-05,0.033461276441812515,0.022957785055041313,0.08489033579826355,0.0,0.0,0.0010135233169421554,0.0009994552134028943,,,,
