step,applied,reason,joint_w4_loss,cycle_loss,teacher_mse,budget_penalty,dual_mse,dual_ssim,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate,reconstruction_gradient_norm,preservation_gradient_norm
1,True,,,,,0.0,,,,,,0.004646326880902052,0.08248104155063629,5.96660356677603e-05,0.012924264185130596,0.0,0.0,0.0,0.0,0.00021643454965669662,0.0005,,
2,True,,,,,0.0,,,,,,0.002848581178113818,0.068526990711689,0.00013141962699592113,0.009766989387571812,0.0,0.0,0.0,0.0,0.0002136427938239649,0.001,,
3,True,,,,,0.0,,,,,,0.0030888961628079414,0.06217224523425102,9.638398478273302e-05,0.009354312904179096,0.0,0.0,0.0,0.0,0.00014213896065484732,0.0015,,
4,True,,,,,0.0,,,,,,0.0026485752314329147,0.06191299110651016,0.00010841536277439445,0.00889408215880394,0.0,0.0,0.0,0.0,0.0001763105537975207,0.002,,
5,True,,,,,0.0,,,,,,0.004847953096032143,0.08438442647457123,6.577663589268923e-05,0.013319284655153751,0.0,0.0,0.0,0.0,0.00017764452786650509,0.0025,,
6,True,,,,,0.0,,,,,,0.006328171119093895,0.10831934213638306,9.799223334994167e-05,0.01720910333096981,0.0,0.0,0.0,0.0,0.00018839580297935754,0.003,,
7,True,,,,,0.0,,,,,,0.004781655501574278,0.09752487391233444,5.2785610023420304e-05,0.014560536481440067,0.0,0.0,0.0,0.0,0.0002056779048871249,0.0035000000000000005,,
8,True,,,,,0.0,,,,,,0.0035441946238279343,0.06567125022411346,4.8819463700056076e-05,0.010135729797184467,0.0,0.0,0.0,0.0,0.0001541005476610735,0.004,,
9,True,,,,,0.0,,,,,,0.009928157553076744,0.12625330686569214,3.5671233490575105e-05,0.022571323439478874,0.0,0.0,0.0,0.0,0.0001965201663551852,0.0045,,
10,True,,,,,0.0,,,,,,0.0025215137284249067,0.0633358582854271,8.275109576061368e-05,0.008896475657820702,0.0,0.0,0.0,0.0,0.00018842289864551276,0.005,,
11,True,,,,,0.0,,,,,,0.004302256740629673,0.09099140763282776,6.0335594753269106e-05,0.013431564904749393,0.0,0.0,0.0,0.0,0.00016643558046780527,0.0055,,
12,True,,,,,0.0,,,,,,0.003933948464691639,0.07712442427873611,8.306388917844743e-05,0.011687923222780228,0.0,0.0,0.0,0.0,0.00013658458192367107,0.006,,
13,True,,,,,0.0,,,,,,0.004145314916968346,0.08319444954395294,4.446423554327339e-05,0.01248699240386486,0.0,0.0,0.0,0.0,0.0001279886782867834,0.006500000000000001,,
14,True,,,,,0.0,,,,,,0.005906200036406517,0.08058058470487595,9.454194514546543e-05,0.014011530205607414,0.0,0.0,0.0,0.0,0.00012880544818472117,0.007000000000000001,,
15,True,,,,,0.0,,,,,,0.0042059775441884995,0.07392174005508423,4.925761459162459e-05,0.011622780002653599,0.0,0.0,0.0,0.0,0.00010778008436318487,0.0075,,
16,True,,,,,0.0,,,,,,0.003827124834060669,0.0805877223610878,4.1370523831574246e-05,0.011906582862138748,0.0,0.0,0.0,0.0,0.00013838877202942967,0.008,,
17,True,,,,,0.0,,,,,,0.003130907891318202,0.06760167330503464,4.0494283894076943e-05,0.00991132203489542,0.0,0.0,0.0,0.0,0.00010472423309693113,0.0085,,
18,True,,,,,0.0,,,,,,0.0044908104464411736,0.09033823013305664,0.00010124802065547556,0.013575257733464241,0.0,0.0,0.0,0.0,0.0001316107955062762,0.009,,
19,True,,,,,0.0,,,,,,0.006688634864985943,0.08756685256958008,4.8095069359987974e-05,0.015469367615878582,0.0,0.0,0.0,0.0,0.00012664325186051428,0.0095,,
20,True,,,,,0.0,,,,,,0.0017013829201459885,0.04395477846264839,8.030719618545845e-05,0.006137014366686344,0.0,0.0,0.0,0.0,0.00012276099005248398,0.01,,
21,True,,,,,0.0,,,,,,0.006519755348563194,0.07568176835775375,5.296649396768771e-05,0.014114415273070335,0.0,0.0,0.0,0.0,0.00012379234249237925,0.01,,
22,True,,,,,0.0,,,,,,0.0018920793663710356,0.05236078053712845,7.199982064776123e-05,0.007164157461374998,0.0,0.0,0.0,0.0,0.00010025168739957735,0.009999994329901755,,
23,True,,,,,0.0,,,,,,0.0024602392222732306,0.04868343845009804,3.673227911349386e-05,0.007346949074417353,0.0,0.0,0.0,0.0,8.63046880112961e-05,0.00999997731962131,,
24,True,,,,,0.0,,,,,,0.0028674686327576637,0.05907152593135834,3.9979611756280065e-05,0.008794611319899559,0.0,0.0,0.0,0.0,0.00010374889097874984,0.009999948969201533,,
25,True,,,,,0.0,,,,,,0.0037264199927449226,0.062319476157426834,3.756602745852433e-05,0.009977150708436966,0.0,0.0,0.0,0.0,9.9033466540277e-05,0.009999909278713864,,
26,True,,,,,0.0,,,,,,0.0059135183691978455,0.0899796336889267,8.47259652800858e-05,0.01495384518057108,0.0,0.0,0.0,0.0,0.00011349545093253255,0.00999985824825833,,
