step,applied,reason,joint_w4_loss,cycle_loss,teacher_mse,budget_penalty,dual_mse,dual_ssim,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate,reconstruction_gradient_norm,teacher_gradient_norm,preservation_gradient_norm
1,True,,,,0.001035912660881877,0.0,,,,,,0.004646326880902052,0.08248104155063629,5.96660356677603e-05,0.013960177078843117,0.0,0.0,0.0,0.0,0.00022641323448624462,0.0005,,,
2,True,,,,0.003147832117974758,0.0,,,,,,0.0028436356224119663,0.06859229505062103,0.0001306442281929776,0.012916019186377525,0.0,0.0,0.0,0.0,0.0002328447299078107,0.001,,,
3,True,,,,0.0014542185235768557,0.0,,,,,,0.003081164788454771,0.062231242656707764,9.24450796446763e-05,0.010804729536175728,0.0,0.0,0.0,0.0,0.00015600120241288096,0.0015,,,
4,True,,,,0.0023637216072529554,0.0,,,,,,0.0026282942853868008,0.06210882216691971,0.00010773538815556094,0.011256766505539417,0.0,0.0,0.0,0.0,0.00019292002252768725,0.002,,,
5,True,,,,0.0012866780161857605,0.0,,,,,,0.004800106398761272,0.08477788418531418,6.186423706822097e-05,0.014595504850149155,0.0,0.0,0.0,0.0,0.00019183475524187088,0.0025,,,
6,True,,,,0.0021583091001957655,0.0,,,,,,0.006231352221220732,0.1101517453789711,8.941347186919302e-05,0.019449543207883835,0.0,0.0,0.0,0.0,0.00019484035146888345,0.003,,,
7,True,,,,0.0011679830495268106,0.0,,,,,,0.0046899570152163506,0.09781566262245178,5.205210982239805e-05,0.015665533021092415,0.0,0.0,0.0,0.0,0.0002054236683761701,0.0035000000000000005,,,
8,True,,,,0.0012473268434405327,0.0,,,,,,0.0034518351312726736,0.06583724915981293,4.551711754174903e-05,0.011305646039545536,0.0,0.0,0.0,0.0,0.0001561834360472858,0.004,,,
9,True,,,,0.0009248398127965629,0.0,,,,,,0.009784581139683723,0.12983432412147522,3.500545790302567e-05,0.023710357025265694,0.0,0.0,0.0,0.0,0.00020077764929737896,0.0045,,,
10,True,,,,0.0027904845774173737,0.0,,,,,,0.0024357191286981106,0.06323687732219696,9.574391879141331e-05,0.011597763746976852,0.0,0.0,0.0,0.0,0.00019942730432376266,0.005,,,
11,True,,,,0.0013003273634240031,0.0,,,,,,0.004172118380665779,0.09156996011734009,5.867119034519419e-05,0.014658777974545956,0.0,0.0,0.0,0.0,0.00016172838513739407,0.0055,,,
12,True,,,,0.002154620597139001,0.0,,,,,,0.003781702369451523,0.07786788046360016,8.785016689216718e-05,0.01376703567802906,0.0,0.0,0.0,0.0,0.00013419712195172906,0.006,,,
13,True,,,,0.001124077825807035,0.0,,,,,,0.003981584683060646,0.08470793068408966,5.691029946319759e-05,0.013604910112917423,0.0,0.0,0.0,0.0,0.00012285761476960033,0.006500000000000001,,,
14,True,,,,0.0018828685861080885,0.0,,,,,,0.005717994645237923,0.08200298249721527,0.00011274977441644296,0.01585753634572029,0.0,0.0,0.0,0.0,0.00013362482422962785,0.007000000000000001,,,
15,True,,,,0.0010375534184277058,0.0,,,,,,0.00407237745821476,0.07417700439691544,5.511441850103438e-05,0.012555189430713654,0.0,0.0,0.0,0.0,0.00010349268995923921,0.0075,,,
16,True,,,,0.0011020693928003311,0.0,,,,,,0.003723759902641177,0.08112572133541107,4.590881144395098e-05,0.012961355969309807,0.0,0.0,0.0,0.0,0.0001357026631012559,0.008,,,
17,True,,,,0.0008174741524271667,0.0,,,,,,0.003083470044657588,0.06740184873342514,4.850123877986334e-05,0.010665379464626312,0.0,0.0,0.0,0.0,0.00010493388253962621,0.0085,,,
18,True,,,,0.0024217520840466022,0.0,,,,,,0.004375821445137262,0.09127917885780334,0.00013970237341709435,0.015995342284440994,0.0,0.0,0.0,0.0,0.00013293290976434946,0.009,,,
19,True,,,,0.0011388740967959166,0.0,,,,,,0.00654200604185462,0.08862508833408356,5.5209191486937925e-05,0.01657099276781082,0.0,0.0,0.0,0.0,0.000128835323266685,0.0095,,,
20,True,,,,0.0019090273417532444,0.0,,,,,,0.0016620047390460968,0.04322174936532974,8.621470624348149e-05,0.00793631374835968,0.0,0.0,0.0,0.0,0.00011828318383777514,0.01,,,
21,True,,,,0.0009699339861981571,0.0,,,,,,0.006316500715911388,0.07739526778459549,5.495110963238403e-05,0.01505343709141016,0.0,0.0,0.0,0.0,0.0001266103790840134,0.01,,,
22,True,,,,0.0015858011320233345,0.0,,,,,,0.001826993189752102,0.05156244710087776,0.00012377375969663262,0.008630925789475441,0.0,0.0,0.0,0.0,0.00011751920828828588,0.009999994329901755,,,
23,True,,,,0.0009121049079112709,0.0,,,,,,0.0023728022351861,0.04839181900024414,4.4007436372339725e-05,0.008146093226969242,0.0,0.0,0.0,0.0,8.039349631872028e-05,0.00999997731962131,,,
24,True,,,,0.000978195108473301,0.0,,,,,,0.0027730660513043404,0.05896919220685959,5.3615833166986704e-05,0.009674988687038422,0.0,0.0,0.0,0.0,0.000100955534435343,0.009999948969201533,,,
25,True,,,,0.0007432750426232815,0.0,,,,,,0.003588460385799408,0.06268281489610672,4.375331263872795e-05,0.010621894150972366,0.0,0.0,0.0,0.0,0.00010188601299887523,0.009999909278713864,,,
26,True,,,,0.002173661720007658,0.0,,,,,,0.005694741383194923,0.09171085804700851,8.599401189712808e-05,0.017082486301660538,0.0,0.0,0.0,0.0,0.00011255608114879578,0.00999985824825833,,,
27,True,,,,0.0010018572211265564,0.0,,,,,,0.003484344109892845,0.0588776171207428,5.297318421071395e-05,0.010400449857115746,0.0,0.0,0.0,0.0,0.00012740235251840204,0.009999795877963527,,,
28,True,,,,0.0017694418784230947,0.0,,,,,,0.0021669836714863777,0.04725492745637894,8.145369793055579e-05,0.00870264507830143,0.0,0.0,0.0,0.0,0.00011419751535868272,0.00999972216798663,,,
29,True,,,,0.0008657778380438685,0.0,,,,,,0.0030684105586260557,0.06391216814517975,5.727189272874966e-05,0.010354042053222656,0.0,0.0,0.0,0.0,0.00010528817801969126,0.009999637118513394,,,
30,True,,,,0.0013554360484704375,0.0,,,,,,0.004949751775711775,0.07471351325511932,0.00010965419642161578,0.01383136585354805,0.0,0.0,0.0,0.0,0.00010146341810468584,0.009999540729758146,,,
31,True,,,,0.0008399225771427155,0.0,,,,,,0.002753948327153921,0.07143358886241913,4.6013781684450805e-05,0.010760236531496048,0.0,0.0,0.0,0.0,0.00011775624443544075,0.009999433001963789,,,
32,True,,,,0.0008963537402451038,0.0,,,,,,0.004596801474690437,0.07887768745422363,5.141095243743621e-05,0.013406628742814064,0.0,0.0,0.0,0.0,0.00012549987877719104,0.009999313935401802,,,
33,True,,,,0.0006701539969071746,0.0,,,,,,0.0032427585683763027,0.0669253021478653,4.3333966459613293e-05,0.010627109557390213,0.0,0.0,0.0,0.0,0.00011860420636367053,0.009999183530372241,,,
34,True,,,,0.0020315228030085564,0.0,,,,,,0.003820299869403243,0.07525888085365295,0.0001163998240372166,0.013435911387205124,0.0,0.0,0.0,0.0,0.00011225151683902368,0.00999904178720373,,,
35,True,,,,0.0009493499528616667,0.0,,,,,,0.00444421824067831,0.0703645795583725,5.7110759371425956e-05,0.01245858147740364,0.0,0.0,0.0,0.0,0.00010525414836592972,0.009998888706253465,,,
36,True,,,,0.0017619193531572819,0.0,,,,,,0.00394770223647356,0.06907915323972702,8.507847087457776e-05,0.012660074979066849,0.0,0.0,0.0,0.0,0.00012386971502564847,0.009998724287907221,,,
37,True,,,,0.0008546371245756745,0.0,,,,,,0.005088634788990021,0.08100363612174988,5.2014289394719526e-05,0.014069642871618271,0.0,0.0,0.0,0.0,0.00010584960546111688,0.00999854853257934,,,
38,True,,,,0.001359369489364326,0.0,,,,,,0.002083885483443737,0.05394459888339043,9.541248437017202e-05,0.008885420858860016,0.0,0.0,0.0,0.0,9.76666560745798e-05,0.00999836144071273,,,
39,True,,,,0.0007905511884018779,0.0,,,,,,0.00273791397921741,0.06286156177520752,4.6889501390978694e-05,0.00983806699514389,0.0,0.0,0.0,0.0,0.00010360967280576006,0.00999816301277887,,,
40,True,,,,0.0008420640369877219,0.0,,,,,,0.0025343182496726513,0.05016915500164032,5.51694211026188e-05,0.008420882746577263,0.0,0.0,0.0,0.0,0.0001063023810274899,0.00999795324927781,,,
41,True,,,,0.0006153062568046153,0.0,,,,,,0.006389564834535122,0.08087680488824844,5.939220864092931e-05,0.015122247859835625,0.0,0.0,0.0,0.0,0.00018103439651895314,0.009997732150738165,,,
42,True,,,,0.0018380190012976527,0.0,,,,,,0.0046670688316226006,0.07834679633378983,0.00013691069034393877,0.014408222399652004,0.0,0.0,0.0,0.0,0.00010639821994118392,0.009997499717717106,,,
43,True,,,,0.0008702727500349283,0.0,,,,,,0.003579400246962905,0.08146099001169205,7.419285248033702e-05,0.012632868252694607,0.0,0.0,0.0,0.0,0.000132817353005521,0.00999725595080038,,,
44,True,,,,0.0015961950412020087,0.0,,,,,,0.002739404793828726,0.057933688163757324,0.00010367155482526869,0.010180803947150707,0.0,0.0,0.0,0.0,8.281182090286165e-05,0.00999700085060229,,,
45,True,,,,0.0007758861174806952,0.0,,,,,,0.006150011904537678,0.07927412539720535,6.913718971190974e-05,0.014887879602611065,0.0,0.0,0.0,0.0,0.00010424512583995238,0.009996734417765699,,,
46,True,,,,0.0012333005433902144,0.0,,,,,,0.0033044381998479366,0.07216356694698334,0.00012412758951541036,0.011816158890724182,0.0,0.0,0.0,0.0,0.00011303924111416563,0.009996456652962026,,,
47,True,,,,0.000726353726349771,0.0,,,,,,0.0026285978965461254,0.05093691125512123,4.671906208386645e-05,0.008472002111375332,0.0,0.0,0.0,0.0,8.850419544614851e-05,0.009996167556891254,,,
48,True,,,,0.0008132311049848795,0.0,,,,,,0.004326644353568554,0.08014676719903946,5.2585466619348153e-05,0.01318084541708231,0.0,0.0,0.0,0.0,0.00012390247138682753,0.009995867130281916,,,
49,True,,,,0.0005924669094383717,0.0,,,,,,0.0014954721555113792,0.04259048402309418,4.491743675316684e-05,0.006369446404278278,0.0,0.0,0.0,0.0,7.774517871439457e-05,0.009995555373891102,,,
50,True,,,,0.0018047317862510681,0.0,,,,,,0.0021671203430742025,0.051911450922489166,0.00010408880189061165,0.009215041063725948,0.0,0.0,0.0,0.0,9.86315353657119e-05,0.009995232288504451,,,
51,True,,,,0.0008265564101748168,0.0,,,,,,0.002051507355645299,0.052744053304195404,6.254510662984103e-05,0.008183741942048073,0.0,0.0,0.0,0.0,9.537124424241483e-05,0.009994897874936152,,,
52,True,,,,0.0015582734486088157,0.0,,,,,,0.004820794798433781,0.06726516783237457,8.487829472869635e-05,0.013148024678230286,0.0,0.0,0.0,0.0,0.00012459234858397394,0.009994552134028943,,,
53,True,,,,0.0007707296754233539,0.0,,,,,,0.0026368163526058197,0.05582541972398758,5.335241439752281e-05,0.009016764350235462,0.0,0.0,0.0,0.0,0.00010268202458973974,0.009994195066654103,,,
54,True,,,,0.0011867028661072254,0.0,,,,,,0.004126640968024731,0.06751751154661179,8.170076762326062e-05,0.012105945497751236,0.0,0.0,0.0,0.0,0.00010403254418633878,0.009993826673711459,,,
55,True,,,,0.0007018428295850754,0.0,,,,,,0.005241747014224529,0.0739511027932167,4.735636684927158e-05,0.013362377882003784,0.0,0.0,0.0,0.0,9.657606278778985e-05,0.009993446956129378,,,
56,True,,,,0.0007656477391719818,0.0,,,,,,0.004214286804199219,0.06305202096700668,4.744316538562998e-05,0.01130885910242796,0.0,0.0,0.0,0.0,9.722750110086054e-05,0.009993055914864766,,,
57,True,,,,0.0005788183188997209,0.0,,,,,,0.0026930931489914656,0.054382771253585815,4.382766201160848e-05,0.008732101880013943,0.0,0.0,0.0,0.0,9.492885146755725e-05,0.009992653550903062,,,
58,True,,,,0.0017196123953908682,0.0,,,,,,0.005725875496864319,0.06441672891378403,0.00011479505337774754,0.013944558799266815,0.0,0.0,0.0,0.0,9.655030589783564e-05,0.009992239865258242,,,
59,True,,,,0.0008340859203599393,0.0,,,,,,0.0022198245860636234,0.047021254897117615,4.952093513566069e-05,0.0077807968482375145,0.0,0.0,0.0,0.0,8.323132351506501e-05,0.009991814858972811,,,
60,True,,,,0.0015553770354017615,0.0,,,,,,0.005628617014735937,0.06928560882806778,7.428570825140923e-05,0.014149697497487068,0.0,0.0,0.0,0.0,0.00010339315485907719,0.009991378533117804,,,
61,True,,,,0.0007528694113716483,0.0,,,,,,0.002485458506271243,0.05935864895582199,5.9059613704448566e-05,0.009203721769154072,0.0,0.0,0.0,0.0,0.00010071982978843153,0.00999093088879278,,,
62,True,,,,0.0011695565190166235,0.0,,,,,,0.0035892098676413298,0.06804469227790833,0.00012467967462725937,0.011625575833022594,0.0,0.0,0.0,0.0,0.00011200658627785742,0.009990471927125823,,,
63,True,,,,0.0006892416859045625,0.0,,,,,,0.0049062324687838554,0.06764787435531616,4.3757794628618285e-05,0.012382140383124352,0.0,0.0,0.0,0.0,0.00011967202590312809,0.009990001649273536,,,
64,True,,,,0.0007526588160544634,0.0,,,,,,0.0045151785016059875,0.06646278500556946,4.9925234634429216e-05,0.011939078569412231,0.0,0.0,0.0,0.0,9.079980372916907e-05,0.009989520056421041,,,
