candidate,source,method,bits,clip,step,psnr,ssim,budget_violation_fraction,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,selection_objective
reconstruction_w4_c1.0_step0,rtn_fallback,reconstruction,4,1.0,0,33.350563049316406,0.943604588508606,,29.569313049316406,28.79359245300293,0.0,0.0005406601558206603,True,8.52526811286225e-05,0.0005406601558206603
reconstruction_w4_c1.0_step100,reconstruction,reconstruction,4,1.0,100,35.84375,0.9674741625785828,,31.79499626159668,31.206867218017578,0.0,0.00030466386378975586,True,4.6102706392048276e-05,0.00030466386378975586
reconstruction_w4_c1.0_step200,reconstruction,reconstruction,4,1.0,200,36.82829284667969,0.97111976146698,,32.783145904541016,31.78563117980957,0.0,0.0002486154618964065,True,2.2882645134814082e-05,0.0002486154618964065
reconstruction_w4_c1.0_step300,reconstruction,reconstruction,4,1.0,300,36.93742752075195,0.9714078903198242,,32.56766891479492,31.876909255981445,0.0,0.00024319719086633994,True,1.754338306909631e-05,0.00024319719086633994
reconstruction_w4_c1.0_step400,reconstruction,reconstruction,4,1.0,400,36.551841735839844,0.9714049100875854,,32.7285270690918,31.88634490966797,0.0,0.000258275228770799,True,2.7973579290119232e-05,0.000258275228770799
reconstruction_w4_c1.0_step500,reconstruction,reconstruction,4,1.0,500,37.20824432373047,0.9727194905281067,,33.11270523071289,32.014530181884766,0.0,0.00022858105730847456,True,1.628926358989702e-05,0.00022858105730847456
reconstruction_w4_c1.0_step600,reconstruction,reconstruction,4,1.0,600,36.937686920166016,0.9729171991348267,,32.67874526977539,32.12339782714844,0.0,0.00024136254760378505,True,2.3170900021796115e-05,0.00024136254760378505
reconstruction_w4_c1.0_step700,reconstruction,reconstruction,4,1.0,700,36.956058502197266,0.9719606637954712,,32.74701690673828,32.03965759277344,0.0,0.00023931521063786932,True,2.225069479209196e-05,0.00023931521063786932
reconstruction_w4_c1.0_step800,reconstruction,reconstruction,4,1.0,800,37.258995056152344,0.9738953709602356,,33.070648193359375,32.296783447265625,0.0,0.00022452547746070194,True,2.02803959382436e-05,0.00022452547746070194
reconstruction_w4_c1.0_step900,reconstruction,reconstruction,4,1.0,900,36.4875373840332,0.9717909693717957,,32.43638610839844,31.996780395507812,0.0,0.00026046394486911595,True,3.291137572887237e-05,0.00026046394486911595
reconstruction_w4_c1.0_step1000,reconstruction,reconstruction,4,1.0,1000,37.13018035888672,0.9730199575424194,,32.93958282470703,32.153541564941406,0.0,0.0002312557197001297,True,1.6851427471920032e-05,0.0002312557197001297
reconstruction_w4_c1.0_step1100,reconstruction,reconstruction,4,1.0,1100,37.094993591308594,0.9734622240066528,,32.682735443115234,32.127010345458984,0.0,0.00023219829781737645,True,1.8410856455375324e-05,0.00023219829781737645
reconstruction_w4_c1.0_step1200,reconstruction,reconstruction,4,1.0,1200,37.170753479003906,0.9731181263923645,,32.88092041015625,32.3215217590332,0.0,0.00022859551318106243,True,2.0781178977813398e-05,0.00022859551318106243
reconstruction_w4_c1.0_step1300,reconstruction,reconstruction,4,1.0,1300,36.99635314941406,0.9734582901000977,,32.94209289550781,32.04218292236328,0.0,0.00023479613082599826,True,2.4170945744117488e-05,0.00023479613082599826
reconstruction_w4_c1.0_step1400,reconstruction,reconstruction,4,1.0,1400,37.472599029541016,0.9744383096694946,,33.093017578125,32.427146911621094,0.0,0.00021628585636790376,True,1.537480295610294e-05,0.00021628585636790376
reconstruction_w4_c1.0_step1500,reconstruction,reconstruction,4,1.0,1500,37.26737976074219,0.9744054079055786,,33.18147659301758,32.48772048950195,0.0,0.00022281787532847376,True,2.2711141446052353e-05,0.00022281787532847376
reconstruction_w4_c1.0_step1600,reconstruction,reconstruction,4,1.0,1600,37.203590393066406,0.9748161435127258,,33.33236312866211,32.27399444580078,0.0,0.0002244984410936013,True,2.0809338320759706e-05,0.0002244984410936013
reconstruction_w4_c1.0_step1700,reconstruction,reconstruction,4,1.0,1700,37.492027282714844,0.9748367071151733,,33.25804901123047,32.40210723876953,0.0,0.00021473487904586364,True,1.2927267084705818e-05,0.00021473487904586364
reconstruction_w4_c1.0_step1800,reconstruction,reconstruction,4,1.0,1800,37.35657501220703,0.9748333096504211,,33.25240707397461,32.32607650756836,0.0,0.00021890417629037983,True,1.802817992029304e-05,0.00021890417629037983
reconstruction_w4_c1.0_step1900,reconstruction,reconstruction,4,1.0,1900,37.35344696044922,0.9742242097854614,,32.994224548339844,32.39577102661133,0.0,0.0002199375878262799,True,1.587097253832326e-05,0.0002199375878262799
reconstruction_w4_c1.0_step2000,reconstruction,reconstruction,4,1.0,2000,37.53679656982422,0.9753938913345337,,33.248619079589844,32.39464569091797,0.0,0.0002130168602889171,True,1.3377067762121442e-05,0.0002130168602889171
