method,quality_policy,test_quality_valid,search_quality_valid,selection_status,psnr,ssim,budget_violation_fraction,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,interpretation
marked_reference_test,constrained,True,,,120.0,1.0,,120.0,120.0,0.0,9.730290727929969e-05,True,0.0,
pseudo_target_test,constrained,True,,,41.636995010375976,0.9925714315192385,,,,,,True,,"Direct smoothing hypothesis, not a clean target or quantized model"
fixed_ptq_w4_c1.0_test,constrained,True,True,selected,33.00655746459961,0.9395577311515808,,28.131155014038086,27.743331909179688,0.0,0.0005622724550630665,True,8.791840951744234e-05,
reconstruction_w4_c1.0_test,constrained,True,True,selected,37.14213562011719,0.9728888869285583,,31.809833526611328,31.099456787109375,0.0,0.00028399348047969397,True,1.666426447854974e-05,
natural_full_finetune_fp32_test,constrained,True,True,selected,28.824687957763672,0.8119484186172485,,23.390579223632812,22.63453483581543,0.4300000071525574,0.0014034332863229792,True,0.00012411962325131753,
natural_rounding_w4_c1.0_test,constrained,True,True,selected,30.3345890045166,0.8642621636390686,,24.826295852661133,23.93887710571289,0.20000000298023224,0.001003143916168483,True,7.151704479838373e-05,
natural_teacher_rounding_w4_c1.0_test,constrained,True,True,selected,29.76599884033203,0.8389524817466736,,24.153810501098633,23.48243522644043,0.30000001192092896,0.0010997403023066,True,8.413323370405123e-05,
natural_residual_w4_c1.0_test,constrained,True,True,selected,29.242399215698242,0.8150275349617004,,23.605512619018555,22.51459503173828,0.38999998569488525,0.0013350171763886465,True,7.552652607955678e-05,
natural_joint_finetune_fp32_test,constrained,True,True,selected,28.78493881225586,0.810214638710022,,23.360857009887695,22.41014862060547,0.41999998688697815,0.0014151384351134765,True,0.00011887315431522439,
natural_residual_qat_warm_w4_c1.0_test,constrained,True,True,selected,29.25726890563965,0.8150539398193359,,23.609342575073242,22.503549575805664,0.4000000059604645,0.0013297540588246193,True,7.041982018563431e-05,
natural_residual_cycle_qat_warm_w4_c1.0_test,constrained,True,True,selected,29.257349014282227,0.8149343729019165,,23.61933135986328,22.500804901123047,0.4000000059604645,0.0013322466841054848,True,6.992722323047929e-05,
natural_finetune_rtn_w4_c1.0_test,constrained,True,True,selected,28.355079650878906,0.8062745928764343,,23.04033851623535,22.211166381835938,0.4699999988079071,0.0015395428368356078,True,0.00019727467300981516,
natural_rounding_w4_c1.0_final_test,constrained,True,True,selected,30.328107833862305,0.8643569946289062,,24.809032440185547,23.9078426361084,0.20999999344348907,0.0010032022962695919,True,7.458670343112317e-05,
natural_teacher_rounding_w4_c1.0_final_test,constrained,True,True,selected,29.761962890625,0.8387625217437744,,24.158491134643555,23.49969482421875,0.3100000023841858,0.0011071404884569348,True,8.833579049678519e-05,
natural_joint_finetune_rtn_w4_c1.0_test,constrained,True,True,selected,28.665054321289062,0.8071792125701904,,23.352447509765625,22.185569763183594,0.4300000071525574,0.0014538782504678238,True,0.000123899621576129,
natural_residual_qat_warm_w4_c1.0_final_test,constrained,True,True,selected,29.25605010986328,0.8149128556251526,,23.6135196685791,22.50244903564453,0.4000000059604645,0.0013304574255744229,True,7.116086480891681e-05,
natural_residual_cycle_qat_warm_w4_c1.0_final_test,constrained,True,True,selected,29.249984741210938,0.8146976232528687,,23.611736297607422,22.49256134033203,0.4000000059604645,0.0013356874098826666,True,7.109900914656464e-05,
