method,reference_valid,primary_budget,joint_success_count,joint_success_denominator,joint_success_rate,quality_pass_count,quality_pass_rate,joint_min_psnr,joint_min_ssim,ci95_low,ci95_high
marked_reference_test,True,True,0,99,0.0,100,1.0,25.0,0.8,0.0,0.037353212067827386
marked_reference_test,True,False,0,99,0.0,100,1.0,25.0,0.9,0.0,0.037353212067827386
marked_reference_test,True,False,0,99,0.0,100,1.0,25.0,0.95,0.0,0.037353212067827386
pseudo_target_test,True,True,0,99,0.0,100,1.0,25.0,0.8,0.0,0.037353212067827386
pseudo_target_test,True,False,0,99,0.0,100,1.0,25.0,0.9,0.0,0.037353212067827386
pseudo_target_test,True,False,0,99,0.0,100,1.0,25.0,0.95,0.0,0.037353212067827386
fixed_ptq_w4_c1.0_test,True,True,0,99,0.0,100,1.0,25.0,0.8,0.0,0.037353212067827386
fixed_ptq_w4_c1.0_test,True,False,0,99,0.0,93,0.93,25.0,0.9,0.0,0.037353212067827386
fixed_ptq_w4_c1.0_test,True,False,0,99,0.0,39,0.39,25.0,0.95,0.0,0.037353212067827386
reconstruction_w4_c1.0_test,True,True,0,99,0.0,100,1.0,25.0,0.8,0.0,0.037353212067827386
reconstruction_w4_c1.0_test,True,False,0,99,0.0,100,1.0,25.0,0.9,0.0,0.037353212067827386
reconstruction_w4_c1.0_test,True,False,0,99,0.0,95,0.95,25.0,0.95,0.0,0.037353212067827386
natural_rounding_w4_c1.0_test,True,True,17,99,0.1717171717171717,80,0.8,25.0,0.8,0.1100666097813685,0.25789256985912423
natural_rounding_w4_c1.0_test,True,False,12,99,0.12121212121212122,33,0.33,25.0,0.9,0.07071551497720936,0.20000661537720532
natural_rounding_w4_c1.0_test,True,False,1,99,0.010101010101010102,4,0.04,25.0,0.95,0.0017853072791700758,0.05501531464587292
natural_residual_w4_c1.0_test,True,True,33,99,0.3333333333333333,61,0.61,25.0,0.8,0.2482381641078801,0.43087957324806236
natural_residual_w4_c1.0_test,True,False,10,99,0.10101010101010101,20,0.2,25.0,0.9,0.05579667502880499,0.1760306356111785
natural_residual_w4_c1.0_test,True,False,0,99,0.0,1,0.01,25.0,0.95,0.0,0.037353212067827386
natural_residual_qat_warm_w4_c1.0_test,True,True,32,99,0.32323232323232326,60,0.6,25.0,0.8,0.23920000643397268,0.42047032106475424
natural_residual_qat_warm_w4_c1.0_test,True,False,10,99,0.10101010101010101,20,0.2,25.0,0.9,0.05579667502880499,0.1760306356111785
natural_residual_qat_warm_w4_c1.0_test,True,False,0,99,0.0,1,0.01,25.0,0.95,0.0,0.037353212067827386
