method,role,comparison_group,threat_model,ssim,psnr,lpips,absolute_evasion,conditional_evasion,reference_valid,baseline_detected,original_quality_valid,min_ssim_view,aggregate_quality_valid,per_image_quality_violation_fraction,joint_quality_and_evasion_on_baseline_detected,interpretation
marked_reference_test,reference,,unspecified,1.0,120.0,0.0,0.010000000000000009,0.0,True,99,True,0.8,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
marked_reference_test,reference,,unspecified,1.0,120.0,0.0,0.010000000000000009,0.0,True,99,True,0.82,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
marked_reference_test,reference,,unspecified,1.0,120.0,0.0,0.010000000000000009,0.0,True,99,True,0.85,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
marked_reference_test,reference,,unspecified,1.0,120.0,0.0,0.010000000000000009,0.0,True,99,True,0.86,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
marked_reference_test,reference,,unspecified,1.0,120.0,0.0,0.010000000000000009,0.0,True,99,True,0.9,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
marked_reference_test,reference,,unspecified,1.0,120.0,0.0,0.010000000000000009,0.0,True,99,True,0.95,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
pseudo_target_test,diagnostic,,unspecified,0.9925714315192385,41.636995010375976,0.01303590188268572,0.010000000000000009,0.0,True,99,True,0.8,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
pseudo_target_test,diagnostic,,unspecified,0.9925714315192385,41.636995010375976,0.01303590188268572,0.010000000000000009,0.0,True,99,True,0.82,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
pseudo_target_test,diagnostic,,unspecified,0.9925714315192385,41.636995010375976,0.01303590188268572,0.010000000000000009,0.0,True,99,True,0.85,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
pseudo_target_test,diagnostic,,unspecified,0.9925714315192385,41.636995010375976,0.01303590188268572,0.010000000000000009,0.0,True,99,True,0.86,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
pseudo_target_test,diagnostic,,unspecified,0.9925714315192385,41.636995010375976,0.01303590188268572,0.010000000000000009,0.0,True,99,True,0.9,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
pseudo_target_test,diagnostic,,unspecified,0.9925714315192385,41.636995010375976,0.01303590188268572,0.010000000000000009,0.0,True,99,True,0.95,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
fixed_ptq_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_only,0.9395577311515808,33.00655746459961,0.02316638145595789,0.010000000000000009,0.0,True,99,True,0.8,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
fixed_ptq_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_only,0.9395577311515808,33.00655746459961,0.02316638145595789,0.010000000000000009,0.0,True,99,True,0.82,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
fixed_ptq_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_only,0.9395577311515808,33.00655746459961,0.02316638145595789,0.010000000000000009,0.0,True,99,True,0.85,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
fixed_ptq_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_only,0.9395577311515808,33.00655746459961,0.02316638145595789,0.010000000000000009,0.0,True,99,True,0.86,True,0.01,0.0,posthoc view; does not retrain or change frozen checkpoint
fixed_ptq_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_only,0.9395577311515808,33.00655746459961,0.02316638145595789,0.010000000000000009,0.0,True,99,True,0.9,True,0.07,0.0,posthoc view; does not retrain or change frozen checkpoint
fixed_ptq_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_only,0.9395577311515808,33.00655746459961,0.02316638145595789,0.010000000000000009,0.0,True,99,True,0.95,False,0.61,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_only,0.9728888869285583,37.14213562011719,0.009744296884164214,0.010000000000000009,0.0,True,99,True,0.8,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_only,0.9728888869285583,37.14213562011719,0.009744296884164214,0.010000000000000009,0.0,True,99,True,0.82,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_only,0.9728888869285583,37.14213562011719,0.009744296884164214,0.010000000000000009,0.0,True,99,True,0.85,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_only,0.9728888869285583,37.14213562011719,0.009744296884164214,0.010000000000000009,0.0,True,99,True,0.86,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_only,0.9728888869285583,37.14213562011719,0.009744296884164214,0.010000000000000009,0.0,True,99,True,0.9,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_only,0.9728888869285583,37.14213562011719,0.009744296884164214,0.010000000000000009,0.0,True,99,True,0.95,True,0.05,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_rounding_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8642621636390686,30.3345890045166,0.040794726787135006,0.19999999999999996,0.1919191919191919,True,99,True,0.8,True,0.2,0.1717171717171717,posthoc view; does not retrain or change frozen checkpoint
natural_rounding_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8642621636390686,30.3345890045166,0.040794726787135006,0.19999999999999996,0.1919191919191919,True,99,True,0.82,True,0.23,0.1717171717171717,posthoc view; does not retrain or change frozen checkpoint
natural_rounding_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8642621636390686,30.3345890045166,0.040794726787135006,0.19999999999999996,0.1919191919191919,True,99,True,0.85,True,0.37,0.16161616161616163,posthoc view; does not retrain or change frozen checkpoint
natural_rounding_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8642621636390686,30.3345890045166,0.040794726787135006,0.19999999999999996,0.1919191919191919,True,99,True,0.86,True,0.43,0.15151515151515152,posthoc view; does not retrain or change frozen checkpoint
natural_rounding_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8642621636390686,30.3345890045166,0.040794726787135006,0.19999999999999996,0.1919191919191919,True,99,True,0.9,False,0.67,0.12121212121212122,posthoc view; does not retrain or change frozen checkpoint
natural_rounding_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8642621636390686,30.3345890045166,0.040794726787135006,0.19999999999999996,0.1919191919191919,True,99,True,0.95,False,0.96,0.010101010101010102,posthoc view; does not retrain or change frozen checkpoint
natural_residual_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8150275349617004,29.242399215698242,0.044124485487118364,0.5900000000000001,0.5858585858585859,True,99,True,0.8,True,0.39,0.3333333333333333,posthoc view; does not retrain or change frozen checkpoint
natural_residual_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8150275349617004,29.242399215698242,0.044124485487118364,0.5900000000000001,0.5858585858585859,True,99,True,0.82,False,0.51,0.26262626262626265,posthoc view; does not retrain or change frozen checkpoint
natural_residual_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8150275349617004,29.242399215698242,0.044124485487118364,0.5900000000000001,0.5858585858585859,True,99,True,0.85,False,0.59,0.21212121212121213,posthoc view; does not retrain or change frozen checkpoint
natural_residual_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8150275349617004,29.242399215698242,0.044124485487118364,0.5900000000000001,0.5858585858585859,True,99,True,0.86,False,0.6,0.20202020202020202,posthoc view; does not retrain or change frozen checkpoint
natural_residual_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8150275349617004,29.242399215698242,0.044124485487118364,0.5900000000000001,0.5858585858585859,True,99,True,0.9,False,0.8,0.10101010101010101,posthoc view; does not retrain or change frozen checkpoint
natural_residual_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8150275349617004,29.242399215698242,0.044124485487118364,0.5900000000000001,0.5858585858585859,True,99,True,0.95,False,0.99,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_warm_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8150539398193359,29.25726890563965,0.04422253176569939,0.6,0.5959595959595959,True,99,True,0.8,True,0.4,0.32323232323232326,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_warm_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8150539398193359,29.25726890563965,0.04422253176569939,0.6,0.5959595959595959,True,99,True,0.82,False,0.51,0.26262626262626265,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_warm_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8150539398193359,29.25726890563965,0.04422253176569939,0.6,0.5959595959595959,True,99,True,0.85,False,0.59,0.21212121212121213,posthoc view; does not retrain or change frozen checkpoint
