method,layer,n,local_owner_gain,absolute_local_quality_dot,negative_owner_dot_fraction,diagnostic_priority
fixed_ptq_w4_c1.0_test,up_blocks.2.resnets.1.conv1.weight,4,0.0017160223002257806,1.4282496285172429e-05,1.0,99.72046697244265
fixed_ptq_w4_c1.0_test,up_blocks.3.resnets.0.conv1.weight,4,0.0008321092383923681,6.398315841739742e-06,1.0,89.24241231539389
fixed_ptq_w4_c1.0_test,up_blocks.3.resnets.1.conv1.weight,4,0.0007818428739263157,8.077365181505172e-06,0.75,71.0559873166242
fixed_ptq_w4_c1.0_test,up_blocks.3.resnets.1.conv2.weight,4,0.0005100788678261629,4.353475640621189e-06,1.0,70.07246515242161
fixed_ptq_w4_c1.0_test,up_blocks.2.resnets.2.conv1.weight,4,0.0010868386958112716,1.2975660394225033e-05,1.0,68.34822971373016
fixed_ptq_w4_c1.0_test,up_blocks.3.resnets.0.conv_shortcut.weight,4,0.001318983258420459,1.9507142108647446e-05,1.0,58.79663520909036
fixed_ptq_w4_c1.0_test,up_blocks.2.resnets.1.conv2.weight,4,0.000754928067564751,1.5843624305405184e-05,1.0,40.221099052143366
fixed_ptq_w4_c1.0_test,up_blocks.2.upsamplers.0.conv.weight,4,0.0006928117054494299,1.7454968449529964e-05,0.75,33.993354986933696
fixed_ptq_w4_c1.0_test,up_blocks.1.resnets.1.conv2.weight,4,0.0007859103403263246,2.369634821999876e-05,0.75,29.520888318217494
fixed_ptq_w4_c1.0_test,up_blocks.1.resnets.0.conv2.weight,4,0.000741294608021997,2.869789595771289e-05,0.75,23.441090297542306
fixed_ptq_w4_c1.0_test,up_blocks.1.upsamplers.0.conv.weight,4,0.001038402915657634,5.622053164893519e-05,1.0,17.556497009676242
fixed_ptq_w4_c1.0_test,mid_block.attentions.0.to_v.weight,4,0.00010433777830152954,3.2514979745833933e-06,0.75,16.890439406364088
fixed_ptq_w4_c1.0_test,up_blocks.2.resnets.0.conv2.weight,4,0.0003857308838753817,2.1487869153896376e-05,1.0,15.799772358630069
fixed_ptq_w4_c1.0_test,up_blocks.3.resnets.0.conv2.weight,4,0.00014265829686857339,6.1934444141507145e-06,0.5,15.64360227872772
fixed_ptq_w4_c1.0_test,up_blocks.1.resnets.2.conv2.weight,4,0.00033075904076301294,1.9284760026930602e-05,0.75,14.891952228739454
fixed_ptq_w4_c1.0_test,up_blocks.0.resnets.1.conv2.weight,4,0.00035981778174113766,2.162580192374574e-05,1.0,14.655554778240953
