method,comparison_group,role,detector,test_quality_valid,search_quality_valid,bit_accuracy,tpr,n,evasion_rate,evasion_ci95_low,evasion_ci95_high,mean_abs_bit_accuracy_minus_half,detected_count,tpr_ci95_low,tpr_ci95_high,threshold_matches,lower_threshold_matches,lpips,psnr,ssim,highpass_energy_ratio,highpass_mse,reference_valid,total_bits,correct_bits,error_bits,net_additional_bit_errors,decoding_improved_images,decoding_worsened_images,decoding_tied_images,exact_message_accuracy,bit_accuracy_drop_pp,bit_accuracy_drop_ci95_low_pp,bit_accuracy_drop_ci95_high_pp,survival_on_originally_detected,evasion_on_originally_detected,survival_ci95_low,survival_ci95_high,tpr_drop_percentage_points,tpr_drop_ci95_low_pp,tpr_drop_ci95_high_pp,bit_accuracy_retained_percent,tpr_retained_percent,joint_success_count,joint_success_denominator,joint_success_rate,quality_pass_count,quality_pass_rate,joint_min_psnr,joint_min_ssim,joint_ci95_low,joint_ci95_high
marked_reference_test,,reference,double,True,,0.985625,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.485625,99,0.9455138038212946,0.9982325679358593,36,12,0.0,120.0,1.0,1.0,0.0,True,4800,4731,69,0,0,0,100,0.75,0.0,0.0,0.0,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,100.0,100.0,0,99,0.0,100,1.0,25.0,0.8,0.0,0.037353212067827386
pseudo_target_test,,diagnostic,double,True,,0.9814583333333331,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.48145833333333343,99,0.9455138038212946,0.9982325679358593,36,12,0.01303590188268572,41.636995010375976,0.9925714315192385,0.6611548715829849,6.312042258286965e-05,True,4800,4711,89,20,1,15,84,0.69,0.4166666666666667,0.20833333333333323,0.6666666666666664,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.57725639399702,100.0,0,99,0.0,100,1.0,25.0,0.8,0.0,0.037353212067827386
fixed_ptq_w4_c1.0_test,w4_c1.0_all,candidate,double,True,True,0.9835416666666669,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.48354166666666665,99,0.9455138038212946,0.9982325679358593,36,12,0.02316638145595789,33.00655746459961,0.9395577311515808,0.8951219093799591,0.00032946307237580186,True,4800,4721,79,10,6,11,83,0.71,0.20833333333333334,-0.04166666666666674,0.47916666666666635,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.78862819699854,100.0,0,99,0.0,100,1.0,25.0,0.8,0.0,0.037353212067827386
reconstruction_w4_c1.0_test,w4_c1.0_all,candidate,double,True,True,0.9841666666666665,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.4841666666666667,99,0.9455138038212946,0.9982325679358593,36,12,0.009744296884164214,37.14213562011719,0.9728888869285583,0.942272601723671,0.00015470754207854042,True,4800,4724,76,7,8,14,78,0.72,0.14583333333333334,-0.08333333333333315,0.375,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.85203973789896,100.0,0,99,0.0,100,1.0,25.0,0.8,0.0,0.037353212067827386
natural_rounding_w4_c1.0_test,w4_c1.0_all,candidate,double,True,True,0.7985416666666667,0.8,100,0.19999999999999996,0.13336693333103256,0.28882916559315897,0.2997916666666667,80,0.711170834406841,0.8666330666689674,36,12,0.040794726787135006,30.3345890045166,0.8642621636390686,0.6965654796361923,0.0007126247880660231,True,4800,3833,967,898,0,100,0,0.0,18.708333333333332,17.10364583333333,20.292187499999994,0.8080808080808081,0.19191919191919193,0.7195963938569908,0.8735496067880851,18.999999999999993,11.0,27.0,81.01881209046714,80.8080808080808,17,99,0.1717171717171717,80,0.8,25.0,0.8,0.1100666097813685,0.25789256985912423
natural_residual_w4_c1.0_test,w4_c1.0_all,candidate,double,True,True,0.7097916666666666,0.41,100,0.5900000000000001,0.4920143005341078,0.6813268697886348,0.21104166666666666,41,0.31867313021136523,0.5079856994658922,36,12,0.044124485487118364,29.242399215698242,0.8150275349617004,0.7428849020600319,0.0009235616482328624,True,4800,3407,1393,1324,0,100,0,0.0,27.583333333333332,25.687500000000004,29.437499999999993,0.41414141414141414,0.5858585858585859,0.3220949941765153,0.512602022037152,58.00000000000001,49.0,68.0,72.0143732826041,41.41414141414141,33,99,0.3333333333333333,61,0.61,25.0,0.8,0.2482381641078801,0.43087957324806236
natural_residual_qat_warm_w4_c1.0_test,w4_c1.0_all,candidate,double,True,True,0.7075,0.4,100,0.6,0.5020025867910618,0.6905987135675411,0.20958333333333334,40,0.3094012864324589,0.4979974132089382,36,12,0.04422253176569939,29.25726890563965,0.8150539398193359,0.7459360191226005,0.0009249615445878589,True,4800,3396,1404,1335,0,100,0,0.0,27.8125,25.936979166666667,29.666666666666664,0.40404040404040403,0.595959595959596,0.3127185681822428,0.502531038174209,59.0,49.975,69.0,71.78186429930247,40.4040404040404,32,99,0.32323232323232326,60,0.6,25.0,0.8,0.23920000643397268,0.42047032106475424
natural_residual_cycle_qat_warm_w4_c1.0_test,w4_c1.0_all,candidate,double,True,True,0.7110416666666667,0.41,100,0.5900000000000001,0.4920143005341078,0.6813268697886348,0.21270833333333328,41,0.31867313021136523,0.5079856994658922,36,12,0.04398977542296052,29.257349014282227,0.8149343729019165,0.7508228263258934,0.0009256474573339801,True,4800,3413,1387,1318,0,100,0,0.0,27.458333333333332,25.582812500000003,29.31302083333333,0.41414141414141414,0.5858585858585859,0.3220949941765153,0.512602022037152,58.00000000000001,48.0,68.0,72.14119636440499,41.41414141414141,32,99,0.32323232323232326,60,0.6,25.0,0.8,0.23920000643397268,0.42047032106475424
natural_teacher_rounding_w4_c1.0_test,w4_c1.0_all,candidate,double,True,True,0.7497916666666669,0.6,100,0.4,0.3094012864324589,0.4979974132089382,0.2527083333333333,60,0.5020025867910618,0.6905987135675411,36,12,0.04223677427507937,29.76599884033203,0.8389524817466736,0.6274710741639137,0.0007935590313718422,True,4800,3599,1201,1132,0,100,0,0.0,23.583333333333332,21.541666666666668,25.5625,0.6060606060606061,0.3939393939393939,0.5075800287258732,0.6966177747748907,39.0,28.999999999999996,48.0,76.07271190023253,60.60606060606061,31,99,0.31313131313131315,70,0.7,25.0,0.8,0.23020787273174334,0.4100150449097679
natural_full_finetune_fp32_test,fp32_unrestricted_decoder_control,finetune_control,double,True,True,0.5774999999999999,0.0,100,1.0,0.9630065017930143,1.0,0.1025,0,0.0,0.03699349820698568,36,12,0.047919911742210386,28.824687957763672,0.8119484186172485,0.646232388317585,0.0009303506938158534,True,4800,2772,2028,1959,0,100,0,0.0,40.8125,39.1875,42.479687500000004,0.0,1.0,0.0,0.037353212067827386,99.0,97.0,100.0,58.592263792010144,0.0,56,99,0.5656565656565656,57,0.57,25.0,0.8,0.46737456653572673,0.6590335975361747
