method,role,comparison_group,threat_model,ssim,psnr,lpips,absolute_evasion,conditional_evasion,reference_valid,baseline_detected,original_quality_valid
seed_3407_preserve_0.5: marked_reference_test,reference,,unspecified,1.0,120.0,0.0,0.010000000000000009,0.0,True,99,True
seed_3407_preserve_0.5: pseudo_target_test,diagnostic,,unspecified,0.9925714315192385,41.636995010375976,0.01303590188268572,0.010000000000000009,0.0,True,99,True
seed_3407_preserve_0.5: fixed_ptq_w4_c1.0_test,candidate,w4_c1.0_all_seed3407,marked_model_only,0.9395577311515808,33.00655746459961,0.02316638145595789,0.010000000000000009,0.0,True,99,True
seed_3407_preserve_0.5: reconstruction_w4_c1.0_test,candidate,w4_c1.0_all_seed3407,marked_model_only,0.9728888869285583,37.14213562011719,0.009744296884164214,0.010000000000000009,0.0,True,99,True
seed_3407_preserve_0.5: natural_rounding_w4_c1.0_test,candidate,w4_c1.0_all_seed3407,marked_model_plus_unpaired_natural_images,0.8642621636390686,30.3345890045166,0.040794726787135006,0.19999999999999996,0.1919191919191919,True,99,True
seed_3407_preserve_0.5: natural_residual_w4_c1.0_test,candidate,w4_c1.0_all_seed3407,marked_model_plus_unpaired_natural_images,0.8150275349617004,29.242399215698242,0.044124485487118364,0.5900000000000001,0.5858585858585859,True,99,True
seed_3407_preserve_0.5: natural_residual_qat_warm_w4_c1.0_test,candidate,w4_c1.0_all_seed3407,marked_model_plus_unpaired_natural_images,0.8150539398193359,29.25726890563965,0.04422253176569939,0.6,0.5959595959595959,True,99,True
seed_3407_preserve_0.5: natural_residual_cycle_qat_warm_w4_c1.0_test,candidate,w4_c1.0_all_seed3407,marked_model_plus_unpaired_natural_images,0.8149343729019165,29.257349014282227,0.04398977542296052,0.5900000000000001,0.5858585858585859,True,99,True
seed_3407_preserve_0.5: natural_teacher_rounding_w4_c1.0_test,candidate,w4_c1.0_all_seed3407,marked_model_plus_unpaired_natural_images,0.8389524817466736,29.76599884033203,0.04223677427507937,0.4,0.3939393939393939,True,99,True
seed_3407_preserve_0.5: natural_full_finetune_fp32_test,finetune_control,fp32_unrestricted_decoder_control_seed3407,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8119484186172485,28.824687957763672,0.047919911742210386,1.0,1.0,True,99,True
seed_3407_preserve_0.5: natural_joint_finetune_fp32_test,finetune_control,fp32_unrestricted_decoder_control_seed3407,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.810214638710022,28.78493881225586,0.04799688680097461,1.0,1.0,True,99,True
seed_3407_preserve_0.5: natural_finetune_rtn_w4_c1.0_test,finetune_control,finetune_then_w4_all_seed3407,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8062745928764343,28.355079650878906,0.05257347494363785,0.98,0.9797979797979798,True,99,True
seed_3407_preserve_0.5: natural_rounding_w4_c1.0_final_test,endpoint_control,w4_c1.0_all_seed3407,marked_model_plus_unpaired_natural_images,0.8643569946289062,30.328107833862305,0.04041421864181757,0.26,0.25252525252525254,True,99,True
seed_3407_preserve_0.5: natural_teacher_rounding_w4_c1.0_final_test,endpoint_control,w4_c1.0_all_seed3407,marked_model_plus_unpaired_natural_images,0.8387625217437744,29.761962890625,0.04082433677278459,0.4,0.3939393939393939,True,99,True
seed_3407_preserve_0.5: natural_joint_finetune_rtn_w4_c1.0_test,finetune_control,finetune_then_w4_all_seed3407,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8071792125701904,28.665054321289062,0.04915489822626114,1.0,1.0,True,99,True
seed_3407_preserve_0.5: natural_residual_qat_warm_w4_c1.0_final_test,endpoint_control,w4_c1.0_all_seed3407,marked_model_plus_unpaired_natural_images,0.8149128556251526,29.25605010986328,0.044151687398552894,0.5900000000000001,0.5858585858585859,True,99,True
seed_3407_preserve_0.5: natural_residual_cycle_qat_warm_w4_c1.0_final_test,endpoint_control,w4_c1.0_all_seed3407,marked_model_plus_unpaired_natural_images,0.8146976232528687,29.249984741210938,0.04399243585765362,0.5800000000000001,0.5757575757575758,True,99,True
